"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"115","VLC004_VLC009",15906,230399,246305
"3","JAE014_VLC004",12823,232335,245158
"117","VLC004_JAE008",14477,229375,243852
"45","TAF008_VLC004",22473,217587,240060
"33","JAE014_VLC009",7852,230516,238368
"75","TAF008_VLC009",15537,220086,235623
"35","JAE014_JAE008",6897,226188,233085
"477","VLC009_JAE008",15390,216345,231735
"97","VLC004_OAK005",20513,210942,231455
"1","JAE014_TAF008",14234,213400,227634
"87","VLC004_GOY005",73053,154322,227375
"313","OAK005_VLC009",14921,209726,224647
"77","TAF008_JAE008",21322,202245,223567
"57","TAF008_OAK005",17411,205549,222960
"15","JAE014_OAK005",11932,208075,220007
"315","OAK005_JAE008",15995,202307,218302
"153","GOY005_VLC009",66518,150933,217451
"5","JAE014_GOY005",63951,151350,215301
"155","GOY005_JAE008",64175,149967,214142
"107","VLC004_MTM009",57969,154644,212613
"47","TAF008_GOY005",66488,146035,212523
"123","VLC004_ECO004",23658,185570,209228
"101","VLC004_EMN001",41990,167209,209199
"423","MTM009_VLC009",53714,153748,207462
"93","VLC004_OAK002",53311,153756,207067
"67","TAF008_MTM009",55866,151080,206946
"105","VLC004_PES001",57584,148616,206200
"135","GOY005_OAK005",55344,149636,204980
"483","VLC009_ECO004",18239,183941,202180
"363","EMN001_VLC009",37012,164338,201350
"83","TAF008_ECO004",18335,182620,200955
"25","JAE014_MTM009",49589,151156,200745
"41","JAE014_ECO004",16368,183347,199715
"19","JAE014_EMN001",33903,165040,198943
"425","MTM009_JAE008",49692,148798,198490
"255","OAK002_VLC009",48745,149534,198279
"405","PES001_VLC009",52041,146083,198124
"365","EMN001_JAE008",33709,163075,196784
"61","TAF008_EMN001",37850,158645,196495
"491","JAE008_ECO004",19791,176514,196305
"11","JAE014_OAK002",44998,151224,196222
"65","TAF008_PES001",53260,142110,195370
"305","OAK005_MTM009",43468,151741,195209
"53","TAF008_OAK002",50370,144689,195059
"23","JAE014_PES001",49101,145883,194984
"257","OAK002_JAE008",44641,150046,194687
"321","OAK005_ECO004",15252,178846,194098
"407","PES001_JAE008",49247,143271,192518
"139","GOY005_EMN001",27769,164482,192251
"113","VLC004_KNP009",82749,109073,191822
"143","GOY005_PES001",11772,179922,191694
"299","OAK005_EMN001",27577,162714,190291
"131","GOY005_OAK002",28821,161303,190124
"145","GOY005_MTM009",66162,123605,189767
"237","OAK002_OAK005",38221,150037,188258
"303","OAK005_PES001",42792,145406,188198
"161","GOY005_ECO004",46003,141391,187394
"89","VLC004_KNP001",80867,105767,186634
"465","KNP009_VLC009",77543,106561,184104
"73","TAF008_KNP009",78511,103645,182156
"99","VLC004_EBO003",44874,137166,182040
"31","JAE014_KNP009",74737,106358,181095
"241","OAK002_EMN001",14735,165612,180347
"187","KNP001_KNP009",4880,175385,180265
"189","KNP001_VLC009",76243,103841,180084
"467","KNP009_JAE008",73874,106124,179998
"49","TAF008_KNP001",77316,101194,178510
"7","JAE014_KNP001",73287,103530,176817
"339","EBO003_VLC009",41449,134901,176350
"397","PES001_MTM009",48525,127442,175967
"431","MTM009_ECO004",42469,133397,175866
"353","EMN001_PES001",23772,151968,175740
"59","TAF008_EBO003",43903,131660,175563
"371","EMN001_ECO004",15400,160120,175520
"191","KNP001_JAE008",72104,103034,175138
"245","OAK002_PES001",27887,147239,175126
"311","OAK005_KNP009",69072,105475,174547
"355","EMN001_MTM009",42173,132156,174329
"247","OAK002_MTM009",52757,121082,173839
"263","OAK002_ECO004",28190,144936,173126
"413","PES001_ECO004",36462,136209,172671
"17","JAE014_EBO003",37154,135188,172342
"151","GOY005_KNP009",71408,100759,172167
"171","KNP001_OAK005",67897,102593,170490
"341","EBO003_JAE008",35566,133689,169255
"421","MTM009_KNP009",75249,92647,167896
"127","GOY005_KNP001",70183,97666,167849
"297","OAK005_EBO003",30467,136075,166542
"181","KNP001_MTM009",74086,90716,164802
"137","GOY005_EBO003",54468,108011,162479
"403","PES001_KNP009",67374,93382,160756
"331","EBO003_MTM009",47783,112174,159957
"473","KNP009_ECO004",62789,96024,158813
"361","EMN001_KNP009",57426,100581,158007
"253","OAK002_KNP009",61379,96438,157817
"179","KNP001_PES001",66610,90831,157441
"197","KNP001_ECO004",61743,93393,155136
"167","KNP001_OAK002",60389,93822,154211
"175","KNP001_EMN001",56457,97624,154081
"347","EBO003_ECO004",33902,116849,150751
"91","VLC004_KNP004",60010,90132,150142
"329","EBO003_PES001",46284,103787,150071
"221","KNP004_KNP009",4436,145072,149508
"325","EBO003_EMN001",35322,114136,149458
"239","OAK002_EBO003",43121,106182,149303
"165","KNP001_KNP004",6355,142554,148909
"337","EBO003_KNP009",27640,117992,145632
"109","VLC004_ECO002",13539,131304,144843
"223","KNP004_VLC009",56540,88256,144796
"51","TAF008_KNP004",57638,86247,143885
"173","KNP001_EBO003",27526,115381,142907
"9","JAE014_KNP004",53828,88287,142115
"69","TAF008_ECO002",9711,132253,141964
"439","ECO002_VLC009",9921,131843,141764
"225","KNP004_JAE008",52224,88150,140374
"27","JAE014_ECO002",8562,130348,138910
"205","KNP004_OAK005",49641,87222,136863
"129","GOY005_KNP004",53592,81743,135335
"441","ECO002_JAE008",10702,124165,134867
"307","OAK005_ECO002",8892,125627,134519
"215","KNP004_MTM009",56508,77138,133646
"147","GOY005_ECO002",35003,93018,128021
"213","KNP004_PES001",50826,76561,127387
"447","ECO002_ECO004",7450,118420,125870
"231","KNP004_ECO004",45487,79490,124977
"417","MTM009_ECO002",30744,93718,124462
"201","KNP004_OAK002",45089,79071,124160
"209","KNP004_EMN001",41238,82546,123784
"357","EMN001_ECO002",17326,102365,119691
"399","PES001_ECO002",28844,90671,119515
"249","OAK002_ECO002",25303,93421,118724
"207","KNP004_EBO003",18643,99884,118527
"121","VLC004_DJA002",44159,73516,117675
"125","VLC004_FUM002",31641,85414,117055
"471","KNP009_DJA002",8777,105267,114044
"481","VLC009_DJA002",41565,72247,113812
"195","KNP001_DJA002",9501,103844,113345
"81","TAF008_DJA002",42474,70331,112805
"485","VLC009_FUM002",28845,83832,112677
