"","Number_of_Positions","Sample_Name","Passed_Filter"
"3",272205,"VLC004",TRUE
"22",260260,"VLC009",TRUE
"1",257255,"JAE014",TRUE
"23",256925,"JAE008",TRUE
"2",252239,"TAF008",TRUE
"12",243616,"OAK005",TRUE
"4",242237,"GOY005",TRUE
"18",222817,"MTM009",TRUE
"14",221955,"EMN001",TRUE
"26",219532,"ECO004",TRUE
"9",218985,"OAK002",TRUE
"16",217348,"PES001",TRUE
"21",200216,"KNP009",TRUE
"7",194559,"KNP001",TRUE
"13",191147,"EBO003",TRUE
"8",156005,"KNP004",TRUE
"19",150062,"ECO002",TRUE
"25",122293,"DJA002",TRUE
"29",122003,"FUM002",TRUE
"15",52949,"OME005",TRUE
"24",47826,"OME002",TRUE
"20",38836,"OME003",TRUE
"11",14789,"KNP005",TRUE
"5",0,"LIB025.A1301",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"10",0,"LIB025.A1001",FALSE
"17",0,"LIB007.A0115",FALSE
"27",0,"LIB007.A0116",FALSE
"28",0,"LIB025.A0301",FALSE
