"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"257","OME005_VLC009",10412,3836,14248
"261","OME005_OME002",952,11961,12913
"297","VLC009_OME002",9090,3424,12514
"27","JAE014_VLC009",2770,9591,12361
"253","OME005_OME003",786,9612,10398
"19","JAE014_OME005",7100,2880,9980
"279","OME003_VLC009",6571,3069,9640
"283","OME003_OME002",827,8518,9345
"31","JAE014_OME002",6398,2630,9028
"23","JAE014_OME003",4598,2349,6947
"143","KNP001_VLC009",1407,1330,2737
"135","KNP001_OME005",1389,1165,2554
"89","VLC004_VLC009",628,1921,2549
"147","KNP001_OME002",1309,1103,2412
"295","VLC009_JAE008",586,1793,2379
"139","KNP001_OME003",1122,1058,2180
"7","JAE014_KNP001",1007,1110,2117
"81","VLC004_OME005",921,1190,2111
"259","OME005_JAE008",874,1154,2028
"117","GOY005_VLC009",1016,949,1965
"93","VLC004_OME002",840,1111,1951
"301","JAE008_OME002",793,1088,1881
"109","GOY005_OME005",1024,824,1848
"85","VLC004_OME003",730,1041,1771
"29","JAE014_JAE008",459,1280,1739
"121","GOY005_OME002",955,780,1735
"281","OME003_JAE008",695,1036,1731
"269","MTM009_VLC009",746,967,1713
"3","JAE014_VLC004",513,1118,1631
"251","OME005_MTM009",772,850,1622
"113","GOY005_OME003",854,760,1614
"5","JAE014_GOY005",756,838,1594
"273","MTM009_OME002",736,805,1541
"91","VLC004_JAE008",250,1278,1528
"265","MTM009_OME003",631,790,1421
"21","JAE014_MTM009",540,811,1351
"167","KNP004_VLC009",604,718,1322
"159","KNP004_OME005",658,654,1312
"243","EBO003_VLC009",731,579,1310
"171","KNP004_OME002",615,630,1245
"235","EBO003_OME005",733,512,1245
"287","KNP009_VLC009",486,750,1236
"255","OME005_KNP009",518,680,1198
"125","KNP001_KNP004",82,1113,1195
"97","GOY005_KNP001",487,692,1179
"137","KNP001_MTM009",331,844,1175
"247","EBO003_OME002",667,482,1149
"291","KNP009_OME002",518,630,1148
"51","TAF008_OME005",517,623,1140
"59","TAF008_VLC009",479,656,1135
"141","KNP001_KNP009",93,1025,1118
"163","KNP004_OME003",533,575,1108
"239","EBO003_OME003",640,449,1089
"17","JAE014_EBO003",565,518,1083
"277","OME003_KNP009",449,634,1083
"9","JAE014_KNP004",437,645,1082
"145","KNP001_JAE008",402,669,1071
"63","TAF008_OME002",482,574,1056
"111","GOY005_MTM009",314,698,1012
"69","VLC004_KNP001",400,601,1001
"219","OAK005_OME005",463,538,1001
"55","TAF008_OME003",423,547,970
"25","JAE014_KNP009",338,630,968
"227","OAK005_VLC009",415,543,958
"181","OAK002_OME005",445,481,926
"1","JAE014_TAF008",345,580,925
"189","OAK002_VLC009",436,485,921
"231","OAK005_OME002",417,494,911
"223","OAK005_OME003",381,491,872
"161","KNP004_MTM009",221,639,860
"193","OAK002_OME002",396,450,846
"15","JAE014_OAK005",296,538,834
"133","KNP001_EBO003",304,516,820
"185","OAK002_OME003",378,440,818
"263","OME005_DJA002",405,409,814
"99","GOY005_KNP004",343,465,808
"299","VLC009_DJA002",385,423,808
"201","KNP005_OME005",355,444,799
"101","GOY005_OAK002",142,656,798
"39","TAF008_KNP001",249,546,795
"209","KNP005_VLC009",303,486,789
"165","KNP004_KNP009",63,715,778
"11","JAE014_OAK002",337,439,776
"213","KNP005_OME002",347,425,772
"119","GOY005_JAE008",303,467,770
"107","GOY005_EBO003",369,399,768
"305","OME002_DJA002",377,385,762
"237","EBO003_MTM009",223,535,758
"37","TAF008_GOY005",223,527,750
"267","MTM009_KNP009",140,601,741
"67","VLC004_GOY005",310,430,740
"129","KNP001_KNP005",89,636,725
"285","OME003_DJA002",366,357,723
