"","Number_of_Positions","Sample_Name","Passed_Filter"
"22",26718,"VLC009",TRUE
"15",22677,"OME005",TRUE
"24",20081,"OME002",TRUE
"1",18655,"JAE014",TRUE
"20",15420,"OME003",TRUE
"7",4140,"KNP001",TRUE
"3",3641,"VLC004",TRUE
"23",3369,"JAE008",TRUE
"4",3033,"GOY005",TRUE
"18",2592,"MTM009",TRUE
"13",2044,"EBO003",TRUE
"8",2016,"KNP004",TRUE
"21",1864,"KNP009",TRUE
"2",1777,"TAF008",TRUE
"12",1536,"OAK005",TRUE
"9",1434,"OAK002",TRUE
"25",1280,"DJA002",TRUE
"11",1202,"KNP005",TRUE
"19",884,"ECO002",FALSE
"14",814,"EMN001",FALSE
"26",660,"ECO004",FALSE
"29",450,"FUM002",FALSE
"16",447,"PES001",FALSE
"27",2,"LIB007.A0116",FALSE
"28",1,"LIB025.A0301",FALSE
"5",0,"LIB025.A1301",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"10",0,"LIB025.A1001",FALSE
"17",0,"LIB007.A0115",FALSE
