"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"165","OAK002_VLC009",25504,85301,110805
"171","OAK002_ECO004",16640,92532,109172
"287","VLC009_JAE008",25680,83220,108900
"291","VLC009_ECO004",29737,78245,107982
"87","VLC004_VLC009",20141,87131,107272
"167","OAK002_JAE008",17322,89364,106686
"115","GOY005_VLC009",51995,54162,106157
"99","GOY005_OAK002",40346,65716,106062
"25","JAE014_VLC009",23319,81566,104885
"71","VLC004_OAK002",15161,89582,104743
"297","JAE008_ECO004",22047,81610,103657
"121","GOY005_ECO004",44416,58777,103193
"89","VLC004_JAE008",15423,86350,101773
"117","GOY005_JAE008",44530,56776,101306
"9","JAE014_OAK002",16081,85180,101261
"93","VLC004_ECO004",20037,80933,100970
"27","JAE014_JAE008",14892,85169,100061
"67","VLC004_GOY005",43022,55651,98673
"3","JAE014_VLC004",13958,84429,98387
"31","JAE014_ECO004",20284,77695,97979
"5","JAE014_GOY005",42282,54255,96537
"107","GOY005_PES001",16027,80149,96176
"241","PES001_VLC009",41097,51807,92904
"157","OAK002_PES001",29233,62183,91416
"207","EMN001_VLC009",30583,60590,91173
"103","GOY005_EMN001",29390,61338,90728
"153","OAK002_EMN001",18517,71605,90122
"247","PES001_ECO004",33564,55688,89252
"243","PES001_JAE008",34066,54053,88119
"213","EMN001_ECO004",22777,65289,88066
"209","EMN001_JAE008",22303,64815,87118
"79","VLC004_PES001",32574,53379,85953
"17","JAE014_PES001",32294,51825,84119
"75","VLC004_EMN001",21833,62280,84113
"13","JAE014_EMN001",20825,61996,82821
"199","EMN001_PES001",24282,56626,80908
"267","ECO002_VLC009",24068,44680,68748
"161","OAK002_ECO002",15115,52364,67479
"111","GOY005_ECO002",29121,37720,66841
"273","ECO002_ECO004",15901,50886,66787
"269","ECO002_JAE008",18321,47314,65635
"83","VLC004_ECO002",17734,46053,63787
"21","JAE014_ECO002",17249,45386,62635
"237","PES001_ECO002",23770,36149,59919
"203","EMN001_ECO002",16054,43068,59122
"187","OAK005_VLC009",9143,29004,38147
"151","OAK002_OAK005",2488,34538,37026
"101","GOY005_OAK005",14009,22328,36337
"193","OAK005_ECO004",6162,30080,36242
"189","OAK005_JAE008",6111,30043,36154
"73","VLC004_OAK005",5180,29921,35101
"11","JAE014_OAK005",5682,29170,34852
"179","OAK005_PES001",11058,22073,33131
"175","OAK005_EMN001",7163,25487,32650
"123","GOY005_FUM002",2640,28089,30729
"249","PES001_FUM002",3629,25906,29535
"293","VLC009_FUM002",11626,17824,29450
"173","OAK002_FUM002",7799,20211,28010
"299","JAE008_FUM002",9180,18547,27727
"305","ECO004_FUM002",9188,18461,27649
"183","OAK005_ECO002",6291,20975,27266
"95","VLC004_FUM002",8645,18331,26976
"215","EMN001_FUM002",6819,20087,26906
"33","JAE014_FUM002",8719,17924,26643
"275","ECO002_FUM002",7922,14469,22391
"57","TAF008_VLC009",8523,12171,20694
"37","TAF008_GOY005",8650,11800,20450
"41","TAF008_OAK002",6297,13675,19972
"53","TAF008_ECO002",4061,15520,19581
"59","TAF008_JAE008",7036,12517,19553
"63","TAF008_ECO004",6642,12711,19353
"35","TAF008_VLC004",6785,12370,19155
"49","TAF008_PES001",7720,11383,19103
"1","JAE014_TAF008",6564,12119,18683
"45","TAF008_EMN001",6319,12122,18441
"195","OAK005_FUM002",3979,9481,13460
"225","OME005_VLC009",7989,4360,12349
"77","VLC004_OME005",7532,4354,11886
"227","OME005_JAE008",7595,4264,11859
"105","GOY005_OME005",7792,3916,11708
"15","JAE014_OME005",7490,4202,11692
"155","OAK002_OME005",7220,4388,11608
"217","OME005_PES001",7390,3781,11171
