"","Number_of_Positions","Sample_Name","Passed_Filter"
"9",139155,"OAK002",TRUE
"22",138492,"VLC009",TRUE
"26",133448,"ECO004",TRUE
"4",132560,"GOY005",TRUE
"23",131844,"JAE008",TRUE
"3",128967,"VLC004",TRUE
"1",125121,"JAE014",TRUE
"16",113814,"PES001",TRUE
"14",111134,"EMN001",TRUE
"19",82210,"ECO002",TRUE
"12",43334,"OAK005",TRUE
"28",33940,"FUM002",TRUE
"2",24425,"TAF008",TRUE
"15",13899,"OME005",TRUE
"24",11126,"OME002",TRUE
"20",10882,"OME003",TRUE
"18",10347,"MTM009",TRUE
"8",1845,"KNP004",TRUE
"21",898,"KNP009",FALSE
"7",722,"KNP001",FALSE
"11",401,"KNP005",FALSE
"13",148,"EBO003",FALSE
"25",142,"DJA002",FALSE
"10",8,"LIB025.A1001",FALSE
"27",7,"LIB025.A0301",FALSE
"5",0,"LIB025.A1301",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"17",0,"LIB007.A0115",FALSE
