"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"31","JAE014_VLC009",13955,126055,140010
"401","VLC009_JAE008",17624,112061,129685
"355","MTM009_VLC009",71376,56355,127731
"33","JAE014_JAE008",13848,112046,125894
"405","VLC009_DJA002",66035,57731,123766
"23","JAE014_MTM009",69459,53318,122777
"361","MTM009_DJA002",25861,95417,121278
"37","JAE014_DJA002",63851,54678,118529
"391","KNP009_VLC009",58497,56766,115263
"357","MTM009_JAE008",66398,46837,113235
"201","KNP004_VLC009",56359,55063,111422
"353","MTM009_KNP009",36691,73708,110399
"29","JAE014_KNP009",56804,53584,110388
"199","KNP004_KNP009",1956,108151,110107
"411","JAE008_DJA002",61328,47972,109300
"193","KNP004_MTM009",40211,68050,108261
"397","KNP009_DJA002",31225,76670,107895
"9","JAE014_KNP004",54720,51984,106704
"207","KNP004_DJA002",36454,69357,105811
"393","KNP009_JAE008",54411,47261,101672
"149","KNP001_KNP004",9334,90327,99661
"255","KNP005_VLC009",46730,52403,99133
"171","KNP001_VLC009",47125,51537,98662
"203","KNP004_JAE008",52228,45885,98113
"169","KNP001_KNP009",9370,87580,96950
"253","KNP005_KNP009",8841,88006,96847
"105","VLC004_VLC009",9476,86916,96392
"247","KNP005_MTM009",26419,69582,96001
"163","KNP001_MTM009",36219,59761,95980
"13","JAE014_KNP005",45409,49820,95229
"261","KNP005_DJA002",20716,74114,94830
"7","JAE014_KNP001",45629,48777,94406
"177","KNP001_DJA002",32559,61278,93837
"183","KNP004_KNP005",10119,83180,93299
"3","JAE014_VLC004",8040,83503,91543
"257","KNP005_JAE008",43462,43713,87175
"173","KNP001_JAE008",43643,42889,86532
"107","VLC004_JAE008",10715,74422,85137
"153","KNP001_KNP005",9884,74647,84531
"279","OAK005_VLC009",12777,71248,84025
"97","VLC004_MTM009",45800,37034,82834
"111","VLC004_DJA002",42416,38053,80469
"15","JAE014_OAK005",11485,68509,79994
"307","EBO003_DJA002",3696,73901,77597
"281","OAK005_JAE008",12230,64059,76289
"103","VLC004_KNP009",37859,37204,75063
"139","GOY005_VLC009",22550,52264,74814
"293","EBO003_MTM009",17413,57388,74801
"301","EBO003_VLC009",31450,42981,74431
"83","VLC004_KNP004",36519,36383,72902
"69","TAF008_VLC009",14081,58593,72674
"271","OAK005_MTM009",42728,29837,72565
"17","JAE014_EBO003",30367,40584,70951
"5","JAE014_GOY005",17917,52690,70607
"285","OAK005_DJA002",39799,30449,70248
"187","KNP004_EBO003",24306,45432,69738
"299","EBO003_KNP009",20395,49175,69570
"1","JAE014_TAF008",11288,58267,69555
"141","GOY005_JAE008",11664,56169,67833
"71","TAF008_JAE008",8959,58292,67251
"81","VLC004_KNP001",30695,34204,64899
"87","VLC004_KNP005",30192,34676,64868
"303","EBO003_JAE008",29298,35383,64681
"131","GOY005_MTM009",41729,22866,64595
