"","Number_of_Positions","Sample_Name","Passed_Filter"
"22",158742,"VLC009",TRUE
"1",153001,"JAE014",TRUE
"23",141762,"JAE008",TRUE
"18",140283,"MTM009",TRUE
"25",134692,"DJA002",TRUE
"21",127242,"KNP009",TRUE
"8",122467,"KNP004",TRUE
"11",109429,"KNP005",TRUE
"7",108054,"KNP001",TRUE
"3",103021,"VLC004",TRUE
"12",90252,"OAK005",TRUE
"4",80723,"GOY005",TRUE
"13",80352,"EBO003",TRUE
"2",78562,"TAF008",TRUE
"19",31800,"ECO002",TRUE
"26",9084,"ECO004",TRUE
"14",5856,"EMN001",TRUE
"20",2945,"OME003",TRUE
"24",2909,"OME002",TRUE
"9",2068,"OAK002",TRUE
"16",1750,"PES001",TRUE
"15",593,"OME005",FALSE
"28",441,"FUM002",FALSE
"27",7,"LIB025.A0301",FALSE
"5",0,"LIB025.A1301",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"10",0,"LIB025.A1001",FALSE
"17",0,"LIB007.A0115",FALSE
