"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"385","OME003_OME002",33,54041,54074
"101","VLC004_OME003",23756,26823,50579
"27","JAE014_OME003",16366,32574,48940
"3","JAE014_VLC004",8609,33256,41865
"197","KNP004_OME003",25719,15987,41706
"379","OME003_KNP009",21784,18016,39800
"383","OME003_JAE008",10168,28127,38295
"109","VLC004_OME002",17539,19779,37318
"35","JAE014_OME002",11970,24238,36208
"103","VLC004_KNP009",10483,25275,35758
"83","VLC004_KNP004",17880,17638,35518
"9","JAE014_KNP004",16898,17404,34302
"251","KNP005_OME003",19375,13883,33258
"107","VLC004_JAE008",7849,24705,32554
"183","KNP004_KNP005",4081,27996,32077
"199","KNP004_KNP009",6262,25756,32018
"29","JAE014_KNP009",10873,20992,31865
"33","JAE014_JAE008",4916,26149,31065
"205","KNP004_OME002",18862,11797,30659
"149","KNP001_KNP004",1542,28684,30226
"389","OME003_ECO004",10814,19149,29963
"395","KNP009_OME002",15981,13310,29291
"87","VLC004_KNP005",12739,16425,29164
"167","KNP001_OME003",16844,12210,29054
"409","JAE008_OME002",7275,20912,28187
"13","JAE014_KNP005",12035,15864,27899
"253","KNP005_KNP009",4392,22695,27087
"297","EBO003_OME003",12862,13852,26714
"203","KNP004_JAE008",14035,12321,26356
"81","VLC004_KNP001",11647,14099,25746
"113","VLC004_ECO004",6896,18607,25503
"153","KNP001_KNP005",2338,23136,25474
"39","JAE014_ECO004",4372,20773,25145
"259","KNP005_OME002",14238,10384,24622
"7","JAE014_KNP001",10629,13899,24528
"393","KNP009_JAE008",9254,15235,24489
"169","KNP001_KNP009",3715,20478,24193
"91","VLC004_EBO003",6013,18003,24016
"17","JAE014_EBO003",5270,17208,22478
"417","OME002_ECO004",8018,14313,22331
"209","KNP004_ECO004",11142,11041,22183
"175","KNP001_OME002",12498,9122,21620
"187","KNP004_EBO003",7392,13992,21384
"257","KNP005_JAE008",9979,11267,21246
"399","KNP009_ECO004",7768,12228,19996
"299","EBO003_KNP009",4633,15350,19983
"305","EBO003_OME002",9459,10158,19617
"413","JAE008_ECO004",4229,14966,19195
"173","KNP001_JAE008",8949,9949,18898
"275","OAK005_OME003",6505,12151,18656
"263","KNP005_ECO004",8452,9909,18361
"241","KNP005_EBO003",6116,11953,18069
"89","VLC004_OAK005",3313,14473,17786
