"","Number_of_Positions","Sample_Name","Passed_Filter"
"20",87262,"OME003",TRUE
"3",67077,"VLC004",TRUE
"1",64512,"JAE014",TRUE
"24",63842,"OME002",TRUE
"8",55345,"KNP004",TRUE
"21",52414,"KNP009",TRUE
"23",49384,"JAE008",TRUE
"11",43439,"KNP005",TRUE
"26",38967,"ECO004",TRUE
"7",37990,"KNP001",TRUE
"13",34497,"EBO003",TRUE
"12",24242,"OAK005",TRUE
"4",22351,"GOY005",TRUE
"18",20611,"MTM009",TRUE
"2",17135,"TAF008",TRUE
"25",11498,"DJA002",TRUE
"22",9653,"VLC009",TRUE
"14",6793,"EMN001",TRUE
"9",5022,"OAK002",TRUE
"16",4843,"PES001",TRUE
"19",1712,"ECO002",TRUE
"29",141,"FUM002",FALSE
"15",108,"OME005",FALSE
"5",0,"LIB025.A1301",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"10",0,"LIB025.A1001",FALSE
"17",0,"LIB007.A0115",FALSE
"27",0,"LIB007.A0116",FALSE
"28",0,"LIB025.A0301",FALSE
