Species	Virulence_factor	Locus_tag
Tannerella_forsythia	TfsA	BFO_RS07205
Tannerella_forsythia	TfsB	BFO_RS07215
Tannerella_forsythia	BspA	BFO_RS14345
Tannerella_forsythia	SiaHI	BFO_RS05255
Tannerella_forsythia	NanH	BFO_RS09605
Tannerella_forsythia	SusB	BFO_RS09855
Tannerella_forsythia	WecC	BFO_RS04595
Tannerella_forsythia	HexA	BFO_RS08365
Treponema_denticola	LrrA	TDE2258
Treponema_denticola	methionine-alpha-deamino-gamma-mercaptomethane_lyase_METase	TDE2200
Treponema_denticola	cystalysin	TDE1669
Treponema_denticola	dentilisn_prcB	TDE0760
Treponema_denticola	dentilisn_prcA	TDE0761
Treponema_denticola	dentilisn_prtP	TDE0762
Treponema_denticola	opdB	TDE2140
Treponema_denticola	Msp	TDE0405
Treponema_denticola	FhbB	TDE0108
Treponema_denticola	CfpA	TDE0842
Porphyromonas_gingivalis	RgpA	PGN_RS09325
Porphyromonas_gingivalis	RgpB	PGN_RS07000
Porphyromonas_gingivalis	HagA	PGN_RS05340
Porphyromonas_gingivalis	Kgp	PGN_RS08215
Porphyromonas_gingivalis	Mfa1	PGN_RS01375
Porphyromonas_gingivalis	Mfa2	PGN_RS01380
Porphyromonas_gingivalis	Mfa3	PGN_RS01385
Porphyromonas_gingivalis	FimA	PGN_RS00835
