Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/25,DJA002.A0101,127354,127354,5176,122178,100.000,1.042,1.599,2.683,48.09,34.9,25.12,17.41,11.55,0.0773,0.072,0.0559,0.0506,42.06,38.0,63.71
Sample 2/25,EBO003.A0101,607652,607652,51882,555770,100.000,1.093,7.8056,10.7926,71.39,60.04,53.46,49,45.45,0.0759,0.0717,0.0554,0.0519,45.13,41.0,63.47
Sample 3/25,ECO002.B0101,291761,291761,9700,282061,100.000,1.034,3.5436,3.7784,81.38,69.28,56.09,43.35,32.07,0.5326,0.3297,0.4649,0.2645,40.37,38.0,59.36
Sample 4/25,ECO004.B0101,181997,181997,9367,172630,100.000,1.054,2.1333,2.635,72.67,52.91,35.17,21.58,12.5,0.5494,0.3375,0.4828,0.2784,39.71,37.0,59.13
Sample 5/25,EMN001.A0101,6949,6949,355,6594,100.000,1.054,0.1115,1.6725,6.71,0.72,0.23,0.14,0.12,0.3003,0.1695,0.2472,0.1206,54.34,48.0,59.64
Sample 6/25,FUM002.A0101,64800,64800,4666,60134,100.000,1.078,0.8958,2.3826,43.08,22.78,10.87,4.65,1.93,0.4015,0.23,0.319,0.1675,47.87,43.0,60.76
Sample 7/25,GOY005.A0101,12986,12986,483,12503,100.000,1.039,0.165,1.4951,11.33,1.65,0.37,0.19,0.13,0.2224,0.1417,0.1759,0.111,42.4,39.0,61.29
Sample 8/25,JAE008.A0101,179913,179913,5407,174506,100.000,1.031,4.451,5.1606,86.89,80.04,71.01,59.76,47.09,0.0172,0.0192,0.0161,0.0145,81.97,76.0,61.89
Sample 9/25,JAE014.A0101,1441148,1441148,95559,1345589,100.000,1.071,34.6653,19.8916,92.41,90.62,89.41,88.4,87.45,0.0188,0.0184,0.0201,0.0172,82.79,76.0,62.18
Sample 10/25,KNP001.A0102,30687,30687,719,29968,100.000,1.024,0.6052,1.9472,29.69,14.15,6.69,3.14,1.5,0.113,0.1068,0.0885,0.0894,64.9,64.0,61.8
Sample 11/25,KNP004.A0102,1902,1902,27,1875,100.000,1.014,0.038,0.2049,3.56,0.21,0.02,0,0,0.0651,0.05,0.0549,0.0576,65.16,66.0,62.63
Sample 12/25,KNP005.A0102,37823,37823,877,36946,100.000,1.024,0.8005,1.7234,35.38,19.75,10.89,5.68,2.92,0.0641,0.0744,0.0532,0.062,69.62,75.0,61.99
Sample 13/25,KNP009.A0102,50453,50453,1090,49363,100.000,1.022,1.003,2.1004,38.59,23.36,14.4,8.58,5.05,0.1115,0.1024,0.0838,0.083,65.3,65.0,62.2
Sample 14/25,MTM009.A0101,1695,1695,116,1579,100.000,1.073,0.0206,0.5932,0.72,0.19,0.11,0.08,0.07,0.1092,0.0865,0.0538,0.0565,41.87,38.0,59.6
Sample 15/25,OAK002.A0101,7630,7630,733,6897,100.000,1.106,0.0887,2.0037,3.66,0.53,0.25,0.17,0.13,0.2733,0.1712,0.1895,0.1482,41.32,37.0,58.16
Sample 16/25,OAK005.A0101,1009115,1009115,27582,981533,100.000,1.028,18.5972,12.4744,91.66,89.46,87.93,86.56,85.12,0.2172,0.1395,0.1876,0.1129,60.89,55.0,61.11
Sample 17/25,OME002.A0101,4321,4321,240,4081,100.000,1.059,0.0597,1.9935,0.92,0.38,0.23,0.18,0.14,0.1201,0.0945,0.0759,0.0506,47.02,43.0,57.25
Sample 18/25,OME003.A0101,3882,3882,216,3666,100.000,1.059,0.0547,2.0176,0.74,0.27,0.16,0.12,0.11,0.1141,0.119,0.0678,0.0723,47.93,44.0,56.27
Sample 19/25,OME005.A0101,2294,2294,127,2167,100.000,1.059,0.0346,1.5305,0.3,0.12,0.09,0.08,0.07,0.1145,0.1017,0.0694,0.0555,51.34,47.0,55.76
Sample 20/25,PES001.B0101,93967,93967,9684,84283,100.000,1.115,1.4585,2.329,53.11,36.12,23.42,14.13,7.96,0.3105,0.1615,0.2577,0.1312,55.61,54.0,61.93
Sample 21/25,PLV001.A0101,5763,5763,377,5386,100.000,1.070,0.0851,1.3812,4.98,0.48,0.16,0.11,0.09,0.2059,0.1277,0.1473,0.0866,50.75,44.0,59.98
Sample 22/25,RIG001.A0101,131718,131718,22735,108983,100.000,1.209,1.6034,3.4645,55.48,38.82,25.35,15.07,8.39,0.2874,0.178,0.2242,0.1322,47.28,43.0,61.17
Sample 23/25,TAF008.B0101,709483,709483,109393,600090,100.000,1.182,8.6231,7.7985,86.52,83.06,79.21,74.8,69.71,0.444,0.2495,0.385,0.1927,46.18,42.0,61.14
Sample 24/25,VLC004.A0101,754854,754854,20091,734763,100.000,1.027,24.2612,13.7631,91.91,90.38,88.91,87.57,86.34,0.0445,0.0389,0.0379,0.0328,106.11,97.0,61.72
Sample 25/25,VLC009.A0101,261911,261911,8395,253516,100.000,1.033,8.8204,7.4598,88.69,82.77,77.12,71.22,65.05,0.0308,0.0308,0.0248,0.0237,111.81,103.0,61.97
