"Datasets"	"Sum"
"[Actinobacillus] rossii"	13
"[Desulfobacterium] catecholicum"	51
"[Flavobacterium] lutescens"	11
"[Pasteurella] aerogenes"	415
"[Pasteurella] mairii"	17
"[Polyangium] brachysporum"	25073
"Acetobacter aceti NBRC 14818"	20
"Acetobacter cerevisiae"	53
"Acetobacter cibinongensis"	31
"Acetobacter estunensis"	232
"Acetobacter fabarum"	36
"Acetobacter farinalis"	8
"Acetobacter ghanensis"	976
"Acetobacter indonesiensis"	23
"Acetobacter malorum"	5
"Acetobacter nitrogenifigens DSM 23921 = LMG 23498"	466
"Acetobacter oeni"	60
"Acetobacter okinawensis JCM 25146"	6
"Acetobacter orientalis"	27
"Acetobacter papayae JCM 25143"	144
"Acetobacter pasteurianus 386B"	69
"Acetobacter pasteurianus NBRC 101655"	2071
"Acetobacter pasteurianus subsp. ascendens"	6
"Acetobacter pasteurianus subsp. pasteurianus LMG 1262 = NBRC 106471"	5
"Acetobacter peroxydans"	113
"Acetobacter pomorum"	21
"Acetobacter senegalensis"	1109
"Acetobacter sicerae"	21
"Acetobacter sp. LMG 1506"	5
"Acetobacter sp. LMG 1507"	9
"Acetobacter sp. LMG 1620"	22
"Acetobacter sp. RG2"	19
"Acetobacter sp. SLV-7"	385
"Acetobacter suratthaniensis"	14
"Acetobacter tropicalis"	5
"Acetobacteraceae bacterium MS302e"	6
"Achromobacter animicus"	142
"Achromobacter denitrificans"	3387
"Achromobacter insolitus"	165
"Achromobacter insuavis"	126
"Achromobacter marplatensis"	41
"Achromobacter mucicolens"	67
"Achromobacter piechaudii"	91
"Achromobacter pulmonis"	87
"Achromobacter ruhlandii"	43
"Achromobacter sp. A25"	25
"Achromobacter sp. A52"	12
"Achromobacter sp. A6"	15
"Achromobacter sp. AO22"	20
"Achromobacter sp. CCUG 2349"	24
"Achromobacter sp. CCUG 27767"	5
"Achromobacter sp. CCUG 307"	5
"Achromobacter sp. CCUG 3353"	5
"Achromobacter sp. CCUG 44449"	15
"Achromobacter sp. CCUG 48135"	9
"Achromobacter sp. CCUG 54268"	21
"Achromobacter sp. CCUG 56202"	12
"Achromobacter sp. CYS1"	5
"Achromobacter sp. DMG18"	31
"Achromobacter sp. DWV12"	5
"Achromobacter sp. JA81"	24
"Achromobacter sp. LM16"	3483
"Achromobacter sp. LU6"	30
"Achromobacter sp. YD35"	124
"Achromobacter spanius"	425
"Achromobacter xylosoxidans A8"	15871
"Achromobacter xylosoxidans C54"	4028
"Achromobacter xylosoxidans NH44784-1996"	5725
"Acidiphilium acidophilum"	26
"Acidiphilium cryptum JF-5"	1136
"Acidiphilium multivorum AIU301"	1431
"Acidithiobacillus caldus ATCC 51756"	248
