species	isolation_source
Prevotella buccae ATCC 33574	oral, gingival crevices
Aggregatibacter actinomycetemcomitans Y4	oral cavity, subgingival dental plaque
Aggregatibacter actinomycetemcomitans Y4	oral cavity, subgingival dental plaque
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Leptotrichia wadei F0279	supragingival plaque biofilm of a molar
Capnocytophaga sp. oral taxon 863 str. F0517	supragingival plaque biofilm of a molar
Capnocytophaga sp. oral taxon 863 str. F0517	supragingival plaque biofilm of a molar
Capnocytophaga sp. oral taxon 324 str. F0483	oral cavity
Capnocytophaga sp. oral taxon 324 str. F0483	oral cavity
Capnocytophaga sp. oral taxon 324 str. F0483	oral cavity
Capnocytophaga sp. oral taxon 324 str. F0483	oral cavity
Capnocytophaga sp. oral taxon 324 str. F0483	oral cavity
Capnocytophaga sp. oral taxon 326 str. F0382	oral cavity
Capnocytophaga sp. oral taxon 332 str. F0381	oral cavity
Capnocytophaga sp. oral taxon 332 str. F0381	oral cavity
Capnocytophaga sp. oral taxon 380 str. F0488	oral cavity
Capnocytophaga sp. oral taxon 380 str. F0488	oral cavity
Capnocytophaga sp. oral taxon 380 str. F0488	oral cavity
Capnocytophaga sp. oral taxon 380 str. F0488	oral cavity
Capnocytophaga sp. oral taxon 329 str. F0087	oral cavity
Capnocytophaga sp. oral taxon 329 str. F0087	oral cavity
Capnocytophaga sp. oral taxon 329 str. F0087	oral cavity
Capnocytophaga sp. oral taxon 329 str. F0087	oral cavity
Capnocytophaga sp. oral taxon 329 str. F0087	oral cavity
Capnocytophaga sp. oral taxon 329 str. F0087	oral cavity
Capnocytophaga sp. oral taxon 329 str. F0087	oral cavity
Capnocytophaga sp. oral taxon 329 str. F0087	oral cavity
Capnocytophaga sp. oral taxon 329 str. F0087	oral cavity
Capnocytophaga sp. oral taxon 329 str. F0087	oral cavity
Capnocytophaga sp. oral taxon 329 str. F0087	oral cavity
Capnocytophaga sp. oral taxon 329 str. F0087	oral cavity
Capnocytophaga sp. oral taxon 863 str. F0517	supragingival plaque biofilm of a molar
Capnocytophaga sp. oral taxon 863 str. F0517	supragingival plaque biofilm of a molar
Capnocytophaga sp. oral taxon 326 str. F0382	oral cavity
Capnocytophaga sp. oral taxon 324 str. F0483	oral cavity
Capnocytophaga sp. oral taxon 324 str. F0483	oral cavity
Capnocytophaga sp. oral taxon 324 str. F0483	oral cavity
Capnocytophaga sp. oral taxon 324 str. F0483	oral cavity
Capnocytophaga sp. oral taxon 324 str. F0483	oral cavity
