Host_Genus	Protein	Species	Count	PC1code	PC2code	PC1nomodcode	PC2nomodcode
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax avenae	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax ebreus	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. MR-S7	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter sp. NIPH 899	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Actinobacillus pleuropneumoniae	7.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Actinobacillus porcitonsillarum	7.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Actinobacillus succinogenes	16.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Aeromonas veronii	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Afipia sp. GAS231	2.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Aggregatibacter actinomycetemcomitans	1138.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Aggregatibacter aphrophilus	91.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Aggregatibacter segnis	24.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Aggregatibacter sp. oral taxon 458	24.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Agrobacterium sp. 10MFCol1.1	1.0	none	pc2p5	none	pc2p8nomod
Alouatta	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Azorhizobium doebereinerae	3.0	none	pc2p5	none	pc2p8nomod
