Host_Genus	Protein	Species	Count	PC1code	PC2code	PC1nomodcode	PC2nomodcode
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax avenae	3.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax carolinensis	1.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax ebreus	3.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. 1608163	2.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. JS42	1.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. MR-S7	4.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. RAC01	3.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter baumannii	18.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter beijerinckii	1.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter bereziniae	10.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter bohemicus	18.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter bouvetii	3.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter calcoaceticus	1.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter defluvii	13.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter equi	3.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter gerneri	2.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter guillouiae	8.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter gyllenbergii	1.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter haemolyticus	3.0	none	pc2p5	none	pc2p8nomod
Gorilla	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter johnsonii	17.0	none	pc2p5	none	pc2p8nomod
