Host_Genus	Protein	Species	Count	PC1code	PC2code	PC1nomodcode	PC2nomodcode
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidihalobacter prosperus	6.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax avenae	7.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax carolinensis	29.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax cattleyae	1.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax ebreus	4.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. 1608163	20.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. JS42	1.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. KKS102	6.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. MR-S7	42.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. RAC01	8.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. T1	14.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter baumannii	7.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter bohemicus	2.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter bouvetii	1.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter guillouiae	8.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter johnsonii	111.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter junii	14.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter lactucae	2.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter lwoffii	10.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter pittii	3.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter schindleri	2.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter sp. ACNIH1	1.0	none	pc2p5	none	pc2p8nomod
