Host_Genus	Protein	Species	Count	PC1code	PC2code	PC1nomodcode	PC2nomodcode
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax ebreus	1.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. KKS102	2.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. MR-S7	19.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter junii	1.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter sp. ACNIH1	1.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter sp. ANC 3862	1.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter sp. NIPH 899	4.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Actinobacillus pleuropneumoniae	4.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Actinobacillus suis	2.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Actinobacillus ureae	1.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Aggregatibacter actinomycetemcomitans	17.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Aggregatibacter aphrophilus	115.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Aggregatibacter segnis	23.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Anaerococcus vaginalis	3.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Aurantimonas manganoxydans	1.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Azorhizobium caulinodans	3.0	none	pc2p5	none	pc2p8nomod
Homo	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bacillus tuaregi	1.0	none	pc2p5	none	pc2p8nomod
