Host_Genus	Protein	Species	Count	PC1code	PC2code	PC1nomodcode	PC2nomodcode
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax avenae	3.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. KKS102	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acidovorax sp. MR-S7	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter bereziniae	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Acinetobacter radioresistens	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Aggregatibacter actinomycetemcomitans	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Aggregatibacter aphrophilus	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Agrobacterium sp. 10MFCol1.1	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Alicycliphilus denitrificans	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Altererythrobacter sp. NS1	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Aminobacter sp. MSH1	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Arcticibacterium luteifluviistationis	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bacteroidetes oral taxon 274	747.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bosea vaviloviae	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium diazoefficiens	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium icense	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium sp. BTAi1	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium sp. Ec3.3	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium sp. ORS 278	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium sp. ORS 285	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium sp. SK17	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Bradyrhizobium sp. WSM2793	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Breoghania sp. L-A4	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Brevirhabdus pacifica	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Brevundimonas diminuta	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Brevundimonas subvibrioides	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Burkholderia sp. KK1	4.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga granulosa	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga ochracea	4.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga sp. ChDC OS43	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga sp. oral taxon 323	6.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga sp. oral taxon 336	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga sp. oral taxon 338	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga sp. oral taxon 380	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Capnocytophaga sputigena	3.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Cardiobacterium hominis	3.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Cardiobacterium valvarum	3.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Castellaniella defragrans	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Celeribacter baekdonensis	3.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Chelatococcus daeguensis	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Chelatococcus sp. CO-6	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Desulfobulbus oralis	192.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Desulfomicrobium orale	6.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Devosia sp. I507	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Dokdonella koreensis	3.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Eikenella corrodens	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Eikenella sp. HMSC071B05	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Enterobacter roggenkampii	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Flavobacterium anhuiense	3.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Hoeflea sp. 108	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Kiloniella laminariae	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Kingella oralis	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Lautropia mirabilis	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Leisingera caerulea	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Luteimonas sp. JM171	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Martelella endophytica	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Martelella sp. AD-3	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Melaminivora sp. SC2-7	4.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Melaminivora sp. SC2-9	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Mesorhizobium australicum	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Mesorhizobium ciceri	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Mesorhizobium loti	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylobacterium brachiatum	7.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylobacterium nodulans	3.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylobacterium sp. 17SD2-17	2.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylobacterium sp. 4-46	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methyloceanibacter caenitepidi	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Methylosarcina fibrata	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Microbulbifer aggregans	1.0	none	pc2p5	none	pc2p8nomod
Pan	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	Microvirga lotononidis	15.0	none	pc2p5	none	pc2p8nomod
