Genus	Sum	Percent	Protein	Host_Genus
Aeromonas	2	0.0021883035176979	pc1n1	Homo
Aggregatibacter	19865	21.7353246895344	pc1n1	Homo
Agrobacterium	1	0.00109415175884895	pc1n1	Homo
Bosea	1	0.00109415175884895	pc1n1	Homo
Cardiobacterium	4709	5.15236063241972	pc1n1	Homo
Cronobacter	4	0.00437660703539581	pc1n1	Homo
Dyella	2	0.0021883035176979	pc1n1	Homo
Enterobacter	1	0.00109415175884895	pc1n1	Homo
Erwinia	2	0.0021883035176979	pc1n1	Homo
Escherichia	2	0.0021883035176979	pc1n1	Homo
Glutamicibacter	2	0.0021883035176979	pc1n1	Homo
Haemophilus	1969	2.15438481317359	pc1n1	Homo
Hyphomicrobium	1	0.00109415175884895	pc1n1	Homo
Klebsiella	7	0.00765906231194267	pc1n1	Homo
Lautropia	50523	55.2798293123256	pc1n1	Homo
Lysobacter	9	0.00984736582964057	pc1n1	Homo
Mannheimia	3	0.00328245527654686	pc1n1	Homo
Marinobacter	1	0.00109415175884895	pc1n1	Homo
Methylobacillus	1	0.00109415175884895	pc1n1	Homo
Methylobacterium	8	0.00875321407079162	pc1n1	Homo
Methylomonas	1	0.00109415175884895	pc1n1	Homo
Methylophaga	1	0.00109415175884895	pc1n1	Homo
Methylorubrum	2	0.0021883035176979	pc1n1	Homo
Mycobacteroides	1	0.00109415175884895	pc1n1	Homo
Neisseria	14164	15.4975655123366	pc1n1	Homo
Nitrobacter	6	0.00656491055309371	pc1n1	Homo
Nitrococcus	1	0.00109415175884895	pc1n1	Homo
Nocardia	1	0.00109415175884895	pc1n1	Homo
Oligotropha	1	0.00109415175884895	pc1n1	Homo
Pandoraea	1	0.00109415175884895	pc1n1	Homo
Pantoea	45	0.0492368291482029	pc1n1	Homo
Paraburkholderia	2	0.0021883035176979	pc1n1	Homo
Paracoccus	1	0.00109415175884895	pc1n1	Homo
Patulibacter	1	0.00109415175884895	pc1n1	Homo
Pluralibacter	1	0.00109415175884895	pc1n1	Homo
Pseudoxanthomonas	1	0.00109415175884895	pc1n1	Homo
Rahnella	21	0.022977186935828	pc1n1	Homo
Raoultella	3	0.00328245527654686	pc1n1	Homo
Rhodobacter	1	0.00109415175884895	pc1n1	Homo
Rhodothermaceae	1	0.00109415175884895	pc1n1	Homo
Rudaea	1	0.00109415175884895	pc1n1	Homo
Serratia	3	0.00328245527654686	pc1n1	Homo
Shewanella	6	0.00656491055309371	pc1n1	Homo
Snodgrassella	1	0.00109415175884895	pc1n1	Homo
Sphingobium	1	0.00109415175884895	pc1n1	Homo
Staphylococcus	3	0.00328245527654686	pc1n1	Homo
Stenotrophomonas	1	0.00109415175884895	pc1n1	Homo
Streptomyces	1	0.00109415175884895	pc1n1	Homo
Thiobacillus	3	0.00328245527654686	pc1n1	Homo
