Genus	Sum	Percent	Protein	Host_Genus
Aggregatibacter	767	19.0511674118232	pc1n1nomod	Homo
Cardiobacterium	149	3.70094386487829	pc1n1nomod	Homo
Cronobacter	1	0.0248385494287134	pc1n1nomod	Homo
Erwinia	2	0.0496770988574267	pc1n1nomod	Homo
Haemophilus	1	0.0248385494287134	pc1n1nomod	Homo
Klebsiella	2	0.0496770988574267	pc1n1nomod	Homo
Lautropia	2704	67.1634376552409	pc1n1nomod	Homo
Marinobacter	1	0.0248385494287134	pc1n1nomod	Homo
Methylobacillus	1	0.0248385494287134	pc1n1nomod	Homo
Methylobacterium	1	0.0248385494287134	pc1n1nomod	Homo
Neisseria	381	9.46348733233979	pc1n1nomod	Homo
Nitrobacter	3	0.0745156482861401	pc1n1nomod	Homo
Nitrococcus	1	0.0248385494287134	pc1n1nomod	Homo
Oligotropha	1	0.0248385494287134	pc1n1nomod	Homo
Pantoea	2	0.0496770988574267	pc1n1nomod	Homo
Paraburkholderia	2	0.0496770988574267	pc1n1nomod	Homo
Rhodobacter	1	0.0248385494287134	pc1n1nomod	Homo
Rudaea	1	0.0248385494287134	pc1n1nomod	Homo
Thiobacillus	2	0.0496770988574267	pc1n1nomod	Homo
Xanthomonas	3	0.0745156482861401	pc1n1nomod	Homo
Total	4026	100	pc1n1nomod	Homo
Aeromonas	1	4	pc1n1nomod	Pan
Aquamicrobium	1	4	pc1n1nomod	Pan
Bacillus	1	4	pc1n1nomod	Pan
Bosea	1	4	pc1n1nomod	Pan
Cellulosimicrobium	1	4	pc1n1nomod	Pan
Defluviimonas	1	4	pc1n1nomod	Pan
Erwinia	1	4	pc1n1nomod	Pan
Glutamicibacter	3	12	pc1n1nomod	Pan
Lysobacter	2	8	pc1n1nomod	Pan
Methylobacterium	2	8	pc1n1nomod	Pan
Neisseria	1	4	pc1n1nomod	Pan
Nitrobacter	2	8	pc1n1nomod	Pan
Paracoccus	1	4	pc1n1nomod	Pan
Polymorphum	2	8	pc1n1nomod	Pan
Pseudoclavibacter	1	4	pc1n1nomod	Pan
Rhodobacteraceae	1	4	pc1n1nomod	Pan
Shinella	2	8	pc1n1nomod	Pan
Staphylococcus	1	4	pc1n1nomod	Pan
Total	25	100	pc1n1nomod	Pan
[Mannheimia]	93	1.67236108613559	pc1n1nomod	Gorilla
Achromobacter	8	0.143859018162201	pc1n1nomod	Gorilla
Actinobacillus	57	1.02499550440568	pc1n1nomod	Gorilla
Aeromonas	13	0.233770904513577	pc1n1nomod	Gorilla
Aggregatibacter	299	5.37673080381226	pc1n1nomod	Gorilla
Anoxybacillus	2	0.0359647545405503	pc1n1nomod	Gorilla
Bacillus	8	0.143859018162201	pc1n1nomod	Gorilla
Brenneria	7	0.125876640891926	pc1n1nomod	Gorilla
Cardiobacterium	12	0.215788527243302	pc1n1nomod	Gorilla
Citrobacter	18	0.323682790864952	pc1n1nomod	Gorilla
Corynebacterium	5	0.0899118863513757	pc1n1nomod	Gorilla
Cronobacter	2	0.0359647545405503	pc1n1nomod	Gorilla
Dickeya	8	0.143859018162201	pc1n1nomod	Gorilla
Dokdonella	1	0.0179823772702751	pc1n1nomod	Gorilla
Enterobacter	6	0.107894263621651	pc1n1nomod	Gorilla
Erwinia	2	0.0359647545405503	pc1n1nomod	Gorilla
Escherichia	46	0.827189354432656	pc1n1nomod	Gorilla
Gibbsiella	1	0.0179823772702751	pc1n1nomod	Gorilla
Glutamicibacter	3	0.0539471318108254	pc1n1nomod	Gorilla
Haemophilus	8	0.143859018162201	pc1n1nomod	Gorilla
Hafnia	4	0.0719295090811005	pc1n1nomod	Gorilla
Klebsiella	15	0.269735659054127	pc1n1nomod	Gorilla
Kosakonia	1	0.0179823772702751	pc1n1nomod	Gorilla
Kurthia	1	0.0179823772702751	pc1n1nomod	Gorilla
Lautropia	958	17.2271174249236	pc1n1nomod	Gorilla
Leclercia	1	0.0179823772702751	pc1n1nomod	Gorilla
Lelliottia	6	0.107894263621651	pc1n1nomod	Gorilla
Leucobacter	2	0.0359647545405503	pc1n1nomod	Gorilla
Lysinibacillus	11	0.197806149973026	pc1n1nomod	Gorilla
Lysobacter	1	0.0179823772702751	pc1n1nomod	Gorilla
Mannheimia	5	0.0899118863513757	pc1n1nomod	Gorilla
Methylobacterium	1	0.0179823772702751	pc1n1nomod	Gorilla
Methylorubrum	2	0.0359647545405503	pc1n1nomod	Gorilla
Morganella	2	0.0359647545405503	pc1n1nomod	Gorilla
Mycolicibacterium	1	0.0179823772702751	pc1n1nomod	Gorilla
Necropsobacter	2	0.0359647545405503	pc1n1nomod	Gorilla
Neisseria	3497	62.8843733141521	pc1n1nomod	Gorilla
Nitrobacter	1	0.0179823772702751	pc1n1nomod	Gorilla
Nitrosomonas	1	0.0179823772702751	pc1n1nomod	Gorilla
Oceanisphaera	1	0.0179823772702751	pc1n1nomod	Gorilla
Oligella	1	0.0179823772702751	pc1n1nomod	Gorilla
Oligotropha	2	0.0359647545405503	pc1n1nomod	Gorilla
Pantoea	12	0.215788527243302	pc1n1nomod	Gorilla
Pectobacterium	3	0.0539471318108254	pc1n1nomod	Gorilla
Proteus	7	0.125876640891926	pc1n1nomod	Gorilla
Providencia	77	1.38464304981119	pc1n1nomod	Gorilla
Pseudomonas	5	0.0899118863513757	pc1n1nomod	Gorilla
Pseudoxanthomonas	9	0.161841395432476	pc1n1nomod	Gorilla
Pusillimonas	1	0.0179823772702751	pc1n1nomod	Gorilla
Raoultella	1	0.0179823772702751	pc1n1nomod	Gorilla
Salmonella	14	0.251753281783852	pc1n1nomod	Gorilla
Serratia	2	0.0359647545405503	pc1n1nomod	Gorilla
Shewanella	37	0.66534795900018	pc1n1nomod	Gorilla
Sphingopyxis	1	0.0179823772702751	pc1n1nomod	Gorilla
Staphylococcus	56	1.00701312713541	pc1n1nomod	Gorilla
Stenotrophomonas	206	3.70436971767668	pc1n1nomod	Gorilla
Tolumonas	3	0.0539471318108254	pc1n1nomod	Gorilla
Treponema	1	0.0179823772702751	pc1n1nomod	Gorilla
Xanthomonas	9	0.161841395432476	pc1n1nomod	Gorilla
Xenorhabdus	1	0.0179823772702751	pc1n1nomod	Gorilla
Yersinia	1	0.0179823772702751	pc1n1nomod	Gorilla
Total	5561	100	pc1n1nomod	Gorilla
[Mannheimia]	2	0.272108843537415	pc1n1nomod	Alouatta
Actinobacillus	2	0.272108843537415	pc1n1nomod	Alouatta
Aggregatibacter	144	19.5918367346939	pc1n1nomod	Alouatta
Cardiobacterium	168	22.8571428571429	pc1n1nomod	Alouatta
Citrobacter	1	0.136054421768707	pc1n1nomod	Alouatta
Dickeya	2	0.272108843537415	pc1n1nomod	Alouatta
Erwinia	1	0.136054421768707	pc1n1nomod	Alouatta
Escherichia	1	0.136054421768707	pc1n1nomod	Alouatta
Haemophilus	14	1.9047619047619	pc1n1nomod	Alouatta
Hymenobacter	1	0.136054421768707	pc1n1nomod	Alouatta
Kosakonia	4	0.54421768707483	pc1n1nomod	Alouatta
Lautropia	35	4.76190476190476	pc1n1nomod	Alouatta
Leucobacter	1	0.136054421768707	pc1n1nomod	Alouatta
Lysobacter	1	0.136054421768707	pc1n1nomod	Alouatta
Methylobacterium	3	0.408163265306122	pc1n1nomod	Alouatta
Neisseria	328	44.6258503401361	pc1n1nomod	Alouatta
Nitrobacter	1	0.136054421768707	pc1n1nomod	Alouatta
Nitrosomonas	2	0.272108843537415	pc1n1nomod	Alouatta
Pantoea	1	0.136054421768707	pc1n1nomod	Alouatta
Photobacterium	1	0.136054421768707	pc1n1nomod	Alouatta
Plautia	1	0.136054421768707	pc1n1nomod	Alouatta
Pluralibacter	1	0.136054421768707	pc1n1nomod	Alouatta
Salmonella	7	0.952380952380952	pc1n1nomod	Alouatta
Stenotrophomonas	2	0.272108843537415	pc1n1nomod	Alouatta
Tolumonas	4	0.54421768707483	pc1n1nomod	Alouatta
Verrucomicrobium	1	0.136054421768707	pc1n1nomod	Alouatta
Vitreoscilla	1	0.136054421768707	pc1n1nomod	Alouatta
Xanthomonas	4	0.54421768707483	pc1n1nomod	Alouatta
Zymomonas	1	0.136054421768707	pc1n1nomod	Alouatta
Total	735	100	pc1n1nomod	Alouatta
Acinetobacter	116	6.32497273718648	pc1n2nomod	Homo
Actinobacillus	4	0.218102508178844	pc1n2nomod	Homo
Actinomycetospora	1	0.054525627044711	pc1n2nomod	Homo
Aeromicrobium	1	0.054525627044711	pc1n2nomod	Homo
Aggregatibacter	1588	86.5866957470011	pc1n2nomod	Homo
Allochromatium	1	0.054525627044711	pc1n2nomod	Homo
Azoarcus	1	0.054525627044711	pc1n2nomod	Homo
Chlorobaculum	1	0.054525627044711	pc1n2nomod	Homo
Chlorobium	33	1.79934569247546	pc1n2nomod	Homo
Comamonas	1	0.054525627044711	pc1n2nomod	Homo
Desulfomicrobium	4	0.218102508178844	pc1n2nomod	Homo
Dickeya	1	0.054525627044711	pc1n2nomod	Homo
Duganella	1	0.054525627044711	pc1n2nomod	Homo
Enterobacter	4	0.218102508178844	pc1n2nomod	Homo
Gordonia	1	0.054525627044711	pc1n2nomod	Homo
Kineococcus	1	0.054525627044711	pc1n2nomod	Homo
Kingella	6	0.327153762268266	pc1n2nomod	Homo
Lautropia	1	0.054525627044711	pc1n2nomod	Homo
Lelliottia	2	0.109051254089422	pc1n2nomod	Homo
Mycobacterium	2	0.109051254089422	pc1n2nomod	Homo
Neisseria	27	1.4721919302072	pc1n2nomod	Homo
Nocardia	1	0.054525627044711	pc1n2nomod	Homo
Nocardioides	2	0.109051254089422	pc1n2nomod	Homo
Pantoea	6	0.327153762268266	pc1n2nomod	Homo
Pseudomonas	26	1.41766630316249	pc1n2nomod	Homo
Xanthomonas	2	0.109051254089422	pc1n2nomod	Homo
Total	1834	100	pc1n2nomod	Homo
Acinetobacter	54	38.2978723404255	pc1n2nomod	Pan
