Genus	Sum	Percent	Protein	Host_Genus
[Clostridium]	3	0.00257953568357696	pc2p1	Homo
[Eubacterium]	2	0.00171969045571797	pc2p1	Homo
[Mannheimia]	3	0.00257953568357696	pc2p1	Homo
[Polyangium]	3	0.00257953568357696	pc2p1	Homo
[Pseudomonas]	2	0.00171969045571797	pc2p1	Homo
Acetobacter	1	0.000859845227858985	pc2p1	Homo
Acetobacteraceae	2	0.00171969045571797	pc2p1	Homo
Achromobacter	36	0.0309544282029235	pc2p1	Homo
Acidiphilium	2	0.00171969045571797	pc2p1	Homo
Acidobacteriaceae	6	0.00515907136715391	pc2p1	Homo
Acidocella	8	0.00687876182287188	pc2p1	Homo
Acidovorax	244	0.209802235597592	pc2p1	Homo
Acinetobacter	393	0.337919174548581	pc2p1	Homo
Actinoplanes	4	0.00343938091143594	pc2p1	Homo
Advenella	1	0.000859845227858985	pc2p1	Homo
Aeromonas	22	0.0189165950128977	pc2p1	Homo
Afipia	45	0.0386930352536543	pc2p1	Homo
Aggregatibacter	36210	31.1349957007739	pc2p1	Homo
Agrobacterium	39	0.0335339638865004	pc2p1	Homo
Alcaligenes	2	0.00171969045571797	pc2p1	Homo
Alcanivorax	4	0.00343938091143594	pc2p1	Homo
Alicycliphilus	54	0.0464316423043852	pc2p1	Homo
Alistipes	4	0.00343938091143594	pc2p1	Homo
Allokutzneria	1	0.000859845227858985	pc2p1	Homo
Altererythrobacter	1	0.000859845227858985	pc2p1	Homo
Aminobacter	3	0.00257953568357696	pc2p1	Homo
Amycolatopsis	1	0.000859845227858985	pc2p1	Homo
Anaeromassilibacillus	2	0.00171969045571797	pc2p1	Homo
Anaeromyxobacter	34	0.0292347377472055	pc2p1	Homo
Anaerostipes	1	0.000859845227858985	pc2p1	Homo
Ancylobacter	6	0.00515907136715391	pc2p1	Homo
Anoxybacillus	1	0.000859845227858985	pc2p1	Homo
Aquamicrobium	8	0.00687876182287188	pc2p1	Homo
Aquitalea	2	0.00171969045571797	pc2p1	Homo
Archangium	1	0.000859845227858985	pc2p1	Homo
Arcobacter	10	0.00859845227858985	pc2p1	Homo
Arenimonas	6	0.00515907136715391	pc2p1	Homo
Aromatoleum	9	0.00773860705073087	pc2p1	Homo
Arthrobacter	14	0.0120378331900258	pc2p1	Homo
Aurantimonas	1	0.000859845227858985	pc2p1	Homo
Aureimonas	4	0.00343938091143594	pc2p1	Homo
Azoarcus	31	0.0266552020636285	pc2p1	Homo
Azonexus	1	0.000859845227858985	pc2p1	Homo
Azorhizobium	9	0.00773860705073087	pc2p1	Homo
Azospira	3	0.00257953568357696	pc2p1	Homo
Azospirillum	54	0.0464316423043852	pc2p1	Homo
Bacteroides	13	0.0111779879621668	pc2p1	Homo
Bacteroidetes	22861	19.6569217540843	pc2p1	Homo
Beijerinckia	2	0.00171969045571797	pc2p1	Homo
Betaproteobacteria	6	0.00515907136715391	pc2p1	Homo
Bibersteinia	1	0.000859845227858985	pc2p1	Homo
Blastochloris	9	0.00773860705073087	pc2p1	Homo
Bordetella	34	0.0292347377472055	pc2p1	Homo
Bosea	21	0.0180567497850387	pc2p1	Homo
Brachybacterium	5	0.00429922613929493	pc2p1	Homo
Bradyrhizobiaceae	6	0.00515907136715391	pc2p1	Homo
Bradyrhizobium	333	0.286328460877042	pc2p1	Homo
Brevibacterium	1	0.000859845227858985	pc2p1	Homo
Brevundimonas	3	0.00257953568357696	pc2p1	Homo
Brucella	2	0.00171969045571797	pc2p1	Homo
Burkholderia	6953	5.97850386930353	pc2p1	Homo
Burkholderiales	10	0.00859845227858985	pc2p1	Homo
Butyricimonas	2	0.00171969045571797	pc2p1	Homo
Caldimonas	1	0.000859845227858985	pc2p1	Homo
Calothrix	2	0.00171969045571797	pc2p1	Homo
Campylobacter	154	0.132416165090284	pc2p1	Homo
Candidatus	10	0.00859845227858985	pc2p1	Homo
Capnocytophaga	25116	21.5958727429063	pc2p1	Homo
Cardiobacterium	308	0.264832330180567	pc2p1	Homo
Castellaniella	4	0.00343938091143594	pc2p1	Homo
Catelliglobosispora	2	0.00171969045571797	pc2p1	Homo
Caulobacter	17	0.0146173688736028	pc2p1	Homo
Cellvibrio	3	0.00257953568357696	pc2p1	Homo
Chelativorans	1	0.000859845227858985	pc2p1	Homo
Chelatococcus	2	0.00171969045571797	pc2p1	Homo
Chitiniphilus	3	0.00257953568357696	pc2p1	Homo
Chitinophaga	2	0.00171969045571797	pc2p1	Homo
Chlorobaculum	22	0.0189165950128977	pc2p1	Homo
Chlorobium	81	0.0696474634565778	pc2p1	Homo
Chondromyces	4	0.00343938091143594	pc2p1	Homo
Chromatiaceae	1	0.000859845227858985	pc2p1	Homo
Chromobacterium	25	0.0214961306964746	pc2p1	Homo
Chryseobacterium	14	0.0120378331900258	pc2p1	Homo
Citromicrobium	2	0.00171969045571797	pc2p1	Homo
Clavibacter	1	0.000859845227858985	pc2p1	Homo
Clostridium	1	0.000859845227858985	pc2p1	Homo
