Genus	Sum	Percent	Protein	Host_Genus
Alloprevotella	6	3.82165605095541	pc2p1nomod	Homo
Bacteroides	16	10.1910828025478	pc2p1nomod	Homo
Capnocytophaga	12	7.64331210191083	pc2p1nomod	Homo
Empedobacter	2	1.27388535031847	pc2p1nomod	Homo
Flavobacterium	1	0.636942675159236	pc2p1nomod	Homo
Porphyromonas	91	57.9617834394904	pc2p1nomod	Homo
Prevotella	28	17.8343949044586	pc2p1nomod	Homo
Sphingobacterium	1	0.636942675159236	pc2p1nomod	Homo
Total	157	100	pc2p1nomod	Homo
[Clostridium]	1	0.020271639975674	pc2p1nomod	Pan
Alistipes	3	0.0608149199270221	pc2p1nomod	Pan
Alloprevotella	35	0.709507399148591	pc2p1nomod	Pan
Arachidicoccus	1	0.020271639975674	pc2p1nomod	Pan
Bacteroides	569	11.5345631461585	pc2p1nomod	Pan
Capnocytophaga	13	0.263531319683762	pc2p1nomod	Pan
Chitinophaga	1	0.020271639975674	pc2p1nomod	Pan
Chryseobacterium	86	1.74336103790797	pc2p1nomod	Pan
Dysgonomonas	1	0.020271639975674	pc2p1nomod	Pan
Empedobacter	1	0.020271639975674	pc2p1nomod	Pan
Flavobacterium	8	0.162173119805392	pc2p1nomod	Pan
Gabonibacter	2	0.0405432799513481	pc2p1nomod	Pan
Mariniflexile	1	0.020271639975674	pc2p1nomod	Pan
Mucinivorans	1	0.020271639975674	pc2p1nomod	Pan
Myroides	1	0.020271639975674	pc2p1nomod	Pan
Parabacteroides	11	0.222988039732414	pc2p1nomod	Pan
Paraprevotella	11	0.222988039732414	pc2p1nomod	Pan
Phocaeicola	1	0.020271639975674	pc2p1nomod	Pan
Porphyromonas	2263	45.8747212649503	pc2p1nomod	Pan
Prevotella	1658	33.6103790796675	pc2p1nomod	Pan
Prevotellaceae	1	0.020271639975674	pc2p1nomod	Pan
Pseudopedobacter	1	0.020271639975674	pc2p1nomod	Pan
Sphingobacterium	6	0.121629839854044	pc2p1nomod	Pan
Tannerella	255	5.16926819379688	pc2p1nomod	Pan
Tenacibaculum	2	0.0405432799513481	pc2p1nomod	Pan
Total	4933	100	pc2p1nomod	Pan
Alistipes	4	0.446428571428571	pc2p1nomod	Gorilla
Alloprevotella	2	0.223214285714286	pc2p1nomod	Gorilla
Bacteroides	59	6.58482142857143	pc2p1nomod	Gorilla
Capnocytophaga	31	3.45982142857143	pc2p1nomod	Gorilla
Chryseobacterium	5	0.558035714285714	pc2p1nomod	Gorilla
Elizabethkingia	2	0.223214285714286	pc2p1nomod	Gorilla
Empedobacter	4	0.446428571428571	pc2p1nomod	Gorilla
Mediterranea	1	0.111607142857143	pc2p1nomod	Gorilla
Mucinivorans	1	0.111607142857143	pc2p1nomod	Gorilla
Myroides	2	0.223214285714286	pc2p1nomod	Gorilla
Parabacteroides	9	1.00446428571429	pc2p1nomod	Gorilla
Paraprevotella	1	0.111607142857143	pc2p1nomod	Gorilla
Porphyromonas	353	39.3973214285714	pc2p1nomod	Gorilla
Prevotella	370	41.2946428571429	pc2p1nomod	Gorilla
Prevotellaceae	1	0.111607142857143	pc2p1nomod	Gorilla
Prevotellamassilia	1	0.111607142857143	pc2p1nomod	Gorilla
Sediminibacterium	1	0.111607142857143	pc2p1nomod	Gorilla
Sphingobacterium	8	0.892857142857143	pc2p1nomod	Gorilla
Tannerella	41	4.57589285714286	pc2p1nomod	Gorilla
Total	896	100	pc2p1nomod	Gorilla
Alistipes	1	0.0922509225092251	pc2p1nomod	Alouatta
Alloprevotella	15	1.38376383763838	pc2p1nomod	Alouatta
Arachidicoccus	1	0.0922509225092251	pc2p1nomod	Alouatta
Bacteroides	62	5.71955719557196	pc2p1nomod	Alouatta
Capnocytophaga	576	53.1365313653137	pc2p1nomod	Alouatta
Chitinophaga	3	0.276752767527675	pc2p1nomod	Alouatta
Dysgonomonas	2	0.18450184501845	pc2p1nomod	Alouatta
Elizabethkingia	3	0.276752767527675	pc2p1nomod	Alouatta
Flavobacterium	4	0.3690036900369	pc2p1nomod	Alouatta
Leadbetterella	1	0.0922509225092251	pc2p1nomod	Alouatta
Metaprevotella	1	0.0922509225092251	pc2p1nomod	Alouatta
Myroides	8	0.738007380073801	pc2p1nomod	Alouatta
Parabacteroides	5	0.461254612546125	pc2p1nomod	Alouatta
Porphyromonas	120	11.070110701107	pc2p1nomod	Alouatta
Prevotella	228	21.0332103321033	pc2p1nomod	Alouatta
Prevotellaceae	3	0.276752767527675	pc2p1nomod	Alouatta
Pseudopedobacter	10	0.922509225092251	pc2p1nomod	Alouatta
Riemerella	1	0.0922509225092251	pc2p1nomod	Alouatta
Seonamhaeicola	1	0.0922509225092251	pc2p1nomod	Alouatta
Sphingobacterium	24	2.2140221402214	pc2p1nomod	Alouatta
Tannerella	13	1.19926199261993	pc2p1nomod	Alouatta
Vaginella	2	0.18450184501845	pc2p1nomod	Alouatta
Total	1084	100	pc2p1nomod	Alouatta
Alloprevotella	1	0.176678445229682	pc2p2nomod	Homo
Bacteroides	14	2.47349823321555	pc2p2nomod	Homo
Capnocytophaga	28	4.9469964664311	pc2p2nomod	Homo
Chryseobacterium	7	1.23674911660777	pc2p2nomod	Homo
Dysgonomonas	1	0.176678445229682	pc2p2nomod	Homo
Empedobacter	1	0.176678445229682	pc2p2nomod	Homo
Flavobacterium	10	1.76678445229682	pc2p2nomod	Homo
Porphyromonas	185	32.6855123674912	pc2p2nomod	Homo
Prevotella	15	2.65017667844523	pc2p2nomod	Homo
Segetibacter	1	0.176678445229682	pc2p2nomod	Homo
Sphingobacterium	1	0.176678445229682	pc2p2nomod	Homo
Tannerella	302	53.356890459364	pc2p2nomod	Homo
Total	566	100	pc2p2nomod	Homo
[Clostridium]	1	0.0172503018802829	pc2p2nomod	Pan
Alistipes	4	0.0690012075211316	pc2p2nomod	Pan
Alloprevotella	7	0.12075211316198	pc2p2nomod	Pan
Bacteroides	444	7.65913403484561	pc2p2nomod	Pan
Capnocytophaga	13	0.224253924443678	pc2p2nomod	Pan
Chryseobacterium	6	0.103501811281697	pc2p2nomod	Pan
Dysgonomonas	4	0.0690012075211316	pc2p2nomod	Pan
Echinicola	2	0.0345006037605658	pc2p2nomod	Pan
Elizabethkingia	8	0.138002415042263	pc2p2nomod	Pan
Flavobacterium	1	0.0172503018802829	pc2p2nomod	Pan
Lachnospiraceae	1	0.0172503018802829	pc2p2nomod	Pan
Leadbetterella	1	0.0172503018802829	pc2p2nomod	Pan
Mediterranea	2	0.0345006037605658	pc2p2nomod	Pan
Methanosarcina	1	0.0172503018802829	pc2p2nomod	Pan
Myroides	1	0.0172503018802829	pc2p2nomod	Pan
Parabacteroides	9	0.155252716922546	pc2p2nomod	Pan
Paraprevotella	1	0.0172503018802829	pc2p2nomod	Pan
Porphyromonas	3650	62.9636018630326	pc2p2nomod	Pan
Prevotella	827	14.265999654994	pc2p2nomod	Pan
Pseudopedobacter	3	0.0517509056408487	pc2p2nomod	Pan
Riemerella	2	0.0345006037605658	pc2p2nomod	Pan
Roseburia	3	0.0517509056408487	pc2p2nomod	Pan
Sphingobacterium	7	0.12075211316198	pc2p2nomod	Pan
Streptococcus	2	0.0345006037605658	pc2p2nomod	Pan
Tannerella	796	13.7312402967052	pc2p2nomod	Pan
Vaginella	1	0.0172503018802829	pc2p2nomod	Pan
Total	5797	100	pc2p2nomod	Pan
Alistipes	3	0.305810397553517	pc2p2nomod	Gorilla
Alloprevotella	6	0.611620795107034	pc2p2nomod	Gorilla
Asinibacterium	1	0.101936799184506	pc2p2nomod	Gorilla
Bacteroides	57	5.81039755351682	pc2p2nomod	Gorilla
Capnocytophaga	33	3.36391437308868	pc2p2nomod	Gorilla
Chitinophaga	1	0.101936799184506	pc2p2nomod	Gorilla
Chryseobacterium	17	1.7329255861366	pc2p2nomod	Gorilla
Dyadobacter	2	0.203873598369011	pc2p2nomod	Gorilla
Dysgonomonas	8	0.815494393476045	pc2p2nomod	Gorilla
Echinicola	2	0.203873598369011	pc2p2nomod	Gorilla
Elizabethkingia	7	0.713557594291539	pc2p2nomod	Gorilla
Empedobacter	5	0.509683995922528	pc2p2nomod	Gorilla
Flavobacterium	3	0.305810397553517	pc2p2nomod	Gorilla
Leadbetterella	1	0.101936799184506	pc2p2nomod	Gorilla
Mediterranea	1	0.101936799184506	pc2p2nomod	Gorilla
Parabacteroides	6	0.611620795107034	pc2p2nomod	Gorilla
Paraprevotella	2	0.203873598369011	pc2p2nomod	Gorilla
Porphyromonas	288	29.3577981651376	pc2p2nomod	Gorilla
Prevotella	366	37.3088685015291	pc2p2nomod	Gorilla
Prevotellamassilia	3	0.305810397553517	pc2p2nomod	Gorilla
Pseudopedobacter	1	0.101936799184506	pc2p2nomod	Gorilla
Sphingobacterium	14	1.42711518858308	pc2p2nomod	Gorilla
Tannerella	153	15.5963302752294	pc2p2nomod	Gorilla
Vaginella	1	0.101936799184506	pc2p2nomod	Gorilla
Total	981	100	pc2p2nomod	Gorilla
Alistipes	1	0.0829187396351575	pc2p2nomod	Alouatta
Alloprevotella	3	0.248756218905473	pc2p2nomod	Alouatta
Arenibacter	1	0.0829187396351575	pc2p2nomod	Alouatta
Bacteroides	21	1.74129353233831	pc2p2nomod	Alouatta
Capnocytophaga	596	49.4195688225539	pc2p2nomod	Alouatta
Chitinophaga	23	1.90713101160862	pc2p2nomod	Alouatta
Chryseobacterium	3	0.248756218905473	pc2p2nomod	Alouatta
Echinicola	1	0.0829187396351575	pc2p2nomod	Alouatta
Elizabethkingia	1	0.0829187396351575	pc2p2nomod	Alouatta
Empedobacter	1	0.0829187396351575	pc2p2nomod	Alouatta
Flavobacterium	10	0.829187396351575	pc2p2nomod	Alouatta
Leadbetterella	2	0.165837479270315	pc2p2nomod	Alouatta
Mediterranea	1	0.0829187396351575	pc2p2nomod	Alouatta
Myroides	42	3.48258706467662	pc2p2nomod	Alouatta
Niabella	1	0.0829187396351575	pc2p2nomod	Alouatta
Parabacteroides	7	0.580431177446103	pc2p2nomod	Alouatta
Paraprevotella	1	0.0829187396351575	pc2p2nomod	Alouatta
Pontibacter	1	0.0829187396351575	pc2p2nomod	Alouatta
