"nt"	"refseq"	"No_taxa_shared"	"TotalTaxa_nt_block"	"No_taxa_shared_percent"	"Visual_Could_Consider_RefseqBlock_Merge_To_Match_nt?"	"Refseq_to_nt_merge_sum"
1	1	8	19	42.1052631578947	"T"	52.6315789473684
1	3	5	19	26.3157894736842	"T"	
1	"NA"	2	19	10.5263157894737	"F"	
1	2	1	19	5.26315789473684	"F"	
1	14	1	19	5.26315789473684	"F"	
1	17	1	19	5.26315789473684	"F"	
1	18	1	19	5.26315789473684	"F"	
2	2	6	14	42.8571428571429	"T"	
2	"NA"	4	14	28.5714285714286	"F"	
2	13	2	14	14.2857142857143	"F"	
2	7	1	14	7.14285714285714	"F"	
2	15	1	14	7.14285714285714	"F"	
3	9	5	10	50	"T"	
3	"NA"	2	10	20		
3	8	1	10	10		
3	13	1	10	10	"T"	
3	15	1	10	10	"F"	
4	6	6	10	60	"T"	
4	10	2	10	20	"T"	
4	4	1	10	10		
4	19	1	10	10		
5	"NA"	5	17	29.4117647058824		
5	6	4	17	23.5294117647059		
5	9	2	17	11.7647058823529		
5	20	2	17	11.7647058823529		
5	5	1	17	5.88235294117647		
5	10	1	17	5.88235294117647		
5	13	1	17	5.88235294117647		
5	17	1	17	5.88235294117647		
6	11	1	2	50		
6	19	1	2	50		
7	15	3	3	100		
8	"NA"	4	6	66.6666666666667		
8	17	1	6	16.6666666666667		
8	18	1	6	16.6666666666667		
9	"NA"	10	23	43.4782608695652		
9	14	7	23	30.4347826086957		
9	18	5	23	21.7391304347826		
9	17	1	23	4.34782608695652		
10	"NA"	7	15	46.6666666666667		
10	19	3	15	20		
10	20	3	15	20		
10	11	1	15	6.66666666666667		
10	13	1	15	6.66666666666667		
11	"NA"	19	19	100		
12	"NA"	31	40	77.5		
12	20	6	40	15		
12	5	1	40	2.5		
12	13	1	40	2.5		
12	19	1	40	2.5		
