Database	Taxon Genus	Taxon	Block ID	Host Genus Grouping
mp2	Propionibacterium	Propionibacterium_propionicum	1	Hominid core
mp2	Desulfobulbus	Desulfobulbus_sp_oral_taxon_041	1	Hominid core
mp2	Streptococcus	Streptococcus_sanguinis	2	Homo specific
mp2	Lautropia	Lautropia_mirabilis	2	Homo specific
mp2	Rothia	Rothia_unclassified	3	Gorilla/Alouatta specific
mp2	Neisseria	Neisseria_unclassified	3	Gorilla/Alouatta specific
mp2	Bacteroidetes	Bacteroidetes_oral_taxon_274	4	Pan/Homo specific
mp2	Tannerella	Tannerella_forsythia	4	Pan/Homo specific
mp2	Fretibacterium	Fretibacterium_fastidiosum	4	Pan/Homo specific
mp2	Bacteroidetes	Bacteroidetes_bacterium_oral_taxon_272	4	Pan/Homo specific
mp2	Pseudoramibacter	Pseudoramibacter_alactolyticus	5	Pan dominant (weak in modern day humans)
mp2	Pyramidobacter	Pyramidobacter_piscolens	5	Pan dominant (weak in modern day humans)
mp2	Olsenella	Olsenella_uli	5	Pan dominant (weak in modern day humans)
mp2	Dialister	Dialister_invisus	5	Pan dominant (weak in modern day humans)
mp2	Anaeroglobus	Anaeroglobus_geminatus	5	Pan dominant (weak in modern day humans)
mp2	Corynebacterium	Corynebacterium_matruchotii	6	Homo specific (modern and non-pan assoicated humans)
mp2	Methanobrevibacter	Methanobrevibacter_unclassified	7	Homo specific (most ancient humans)
mp2	Aggregatibacter	Aggregatibacter_actinomycetemcomitans	8	Gorilla/Alouatta specific
mp2	Actinomyces	Actinomyces_massiliensis	9	Pan/Homo specific
mp2	Propionibacterium	Propionibacterium_sp_oral_taxon_192	10	Homo specific (ancient humans only)
mp2	Actinomyces	Actinomyces_cardiffensis	10	Homo specific (ancient humans only)
mp2	Rothia	Rothia_dentocariosa	11	Gorilla/Homo specific (not Alouatta)
mp2	Aggregatibacter	Aggregatibacter_unclassified	12	Gorilla specific (not Alouatta)
mp2	Rothia	Rothia_aeria	13	Homo specific
mp2	Abiotrophia	Abiotrophia_defectiva	13	Homo specific
mp2	Eikenella	Eikenella_corrodens	13	Homo specific
mp2	Capnocytophaga	Capnocytophaga_unclassified	13	Homo specific
mp2	Johnsonella	Johnsonella_ignava	NA	
mp2	Mogibacterium	Mogibacterium_sp_CM50	NA	
mp2	Eubacterium	Eubacterium_saphenum	NA	
mp2	Treponema	Treponema_socranskii	14	Pan/Homo specific
mp2	Treponema	Treponema_maltophilum	14	Pan/Homo specific
