"Database"	"Taxon Genus"	"Taxon"	"Block ID"	"Host Genus Grouping"
"nt"	"Anaerolineaceae"	"Anaerolineaceae_bacterium_oral_taxon_439"	1	"Homo/Pan Dominant"
"nt"	"Candidatus"	"Candidatus_Saccharibacteria_oral_taxon_TM7x"	1	"Homo/Pan Dominant"
"nt"	"Desulfomicrobium"	"Desulfomicrobium_orale"	1	"Homo/Pan Dominant"
"nt"	"Filifactor"	"Filifactor_alocis"	1	"Homo/Pan Dominant"
"nt"	"Fretibacterium"	"Fretibacterium_fastidiosum"	1	"Homo/Pan Dominant"
"nt"	"Gemella"	"Gemella_sp._oral_taxon_928"	1	"Homo/Pan Dominant"
"nt"	"Mogibacterium"	"Mogibacterium_pumilum"	1	"Homo/Pan Dominant"
"nt"	"Olsenella"	"Olsenella_sp._oral_taxon_807"	1	"Homo/Pan Dominant"
"nt"	"Olsenella"	"Olsenella_uli"	1	"Homo/Pan Dominant"
"nt"	"Ottowia"	"Ottowia_sp._oral_taxon_894"	1	"Homo/Pan Dominant"
"nt"	"Parvimonas"	"Parvimonas_micra"	1	"Homo/Pan Dominant"
"nt"	"Porphyromonas"	"Porphyromonas_gingivalis"	1	"Homo/Pan Dominant"
"nt"	"Prevotella"	"Prevotella_intermedia"	1	"Homo/Pan Dominant"
"nt"	"Streptococcus"	"Streptococcus_constellatus"	1	"Homo/Pan Dominant"
"nt"	"Tannerella"	"Tannerella_forsythia"	1	"Homo/Pan Dominant"
"nt"	"Tannerella"	"Tannerella_sp._oral_taxon_HOT-286"	1	"Homo/Pan Dominant"
"nt"	"Treponema"	"Treponema_denticola"	1	"Homo/Pan Dominant"
"nt"	"Treponema"	"Treponema_putidum"	1	"Homo/Pan Dominant"
"nt"	"Treponema"	"Treponema_sp._OMZ_838"	1	"Homo/Pan Dominant"
"nt"	"Actinomyces"	"Actinomyces_hongkongensis"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
"nt"	"Actinomyces"	"Actinomyces_meyeri"	2	"Anthropoid Core (Reduced in Gorilla/Alouatta)"
