Taxon	aggregate_oxygen_tol	aggregate_gram_stain	oral_related
Abiotrophia_defectiva	anaerobe	NA	NA
Actinomyces_cardiffensis	anaerobe	NA	NA
Actinomyces_dentalis	anaerobe	positive	TRUE
Actinomyces_georgiae	anaerobe/facultative anaerobe	positive	TRUE
Actinomyces_gerencseriae	microaerophile/anaerobe	positive	NA
Actinomyces_israelii	anaerobe	NA	NA
Actinomyces_johnsonii	anaerobe	NA	TRUE
Actinomyces_massiliensis	anaerobe/microaerophile	positive	NA
Actinomyces_meyeri	anaerobe	positive	NA
Actinomyces_naeslundii	anaerobe	NA	NA
Actinomyces_odontolyticus	anaerobe/microaerophile	NA	TRUE
Actinomyces_radicidentis	microaerophile	NA	NA
Actinomyces_ruminicola	obligate anaerobe	NA	NA
Actinomyces_timonensis	anaerobe/microaerophile	positive	NA
Actinomyces_urogenitalis	microaerophile/facultative anaerobe	positive	NA
Actinomyces_viscosus	anaerobe/microaerophile	NA	TRUE
Aggregatibacter_actinomycetemcomitans	microaerophile	NA	NA
Aggregatibacter_aphrophilus	microaerophile	NA	NA
Aggregatibacter_segnis	microaerophile	NA	TRUE
Alloprevotella_tannerae	anaerobe	NA	TRUE
Anaeroglobus_geminatus	anaerobe	NA	NA
Atopobium_parvulum	anaerobe	NA	NA
Atopobium_rimae	anaerobe	NA	TRUE
Bacteroides_heparinolyticus	anaerobe	NA	TRUE
Bacteroides_pyogenes	anaerobe	NA	NA
Bacteroides_zoogleoformans	anaerobe	NA	TRUE
Basfia_succiniciproducens	aerobe/facultative anaerobe/microaerophile	negative	NA
Brachymonas_chironomi	aerobe	negative	NA
Brachymonas_denitrificans	aerobe	NA	NA
Campylobacter_concisus	anaerobe/microaerophile	NA	TRUE
Campylobacter_curvus	anaerobe/microaerophile	NA	NA
Campylobacter_gracilis	anaerobe	NA	TRUE
Campylobacter_showae	anaerobe/microaerophile	negative	TRUE
Capnocytophaga_gingivalis	anaerobe/microaerophile	NA	TRUE
Capnocytophaga_granulosa	facultative anaerobe	NA	TRUE
Capnocytophaga_leadbetteri	microaerophile/anaerobe	negative	TRUE
Capnocytophaga_ochracea	anaerobe/microaerophile	NA	TRUE
Capnocytophaga_sputigena	anaerobe/microaerophile	NA	TRUE
Cardiobacterium_hominis	microaerophile	NA	NA
Cardiobacterium_valvarum	microaerophile	NA	NA
Centipeda_periodontii	anaerobe	NA	TRUE
Corynebacterium_durum	aerobe	positive	NA
Cryptobacterium_curtum	anaerobe/obligate anaerobe	positive	TRUE
Denitrobacterium_detoxificans	anaerobe	NA	NA
Desulfomicrobium_orale	anaerobe	NA	TRUE
Dialister_invisus	anaerobe/obligate anaerobe	NA	NA
Eggerthella_lenta	anaerobe	NA	NA
Eggerthia_catenaformis	anaerobe	NA	NA
Filifactor_alocis	anaerobe	NA	TRUE
Fusobacterium_necrophorum	anaerobe	NA	NA
Fusobacterium_nucleatum	anaerobe	NA	TRUE
Fusobacterium_periodonticum	anaerobe	NA	TRUE
Gemella_cuniculi	microaerophile/anaerobe	NA	NA
Gemella_morbillorum	anaerobe	NA	NA
Granulicatella_adiacens	anaerobe/microaerophile	NA	NA
Haemophilus_influenzae	microaerophile	NA	NA
Haemophilus_parainfluenzae	microaerophile	NA	NA
Jonquetella_anthropi	anaerobe	negative	NA
Kingella_oralis	microaerophile/aerobe	NA	TRUE
