Taxon Genus	Taxon	Block ID (nt)	Host Genus Grouping (nt)
Anaerolineaceae	Anaerolineaceae_bacterium_oral_taxon_439	1	Homo/Pan Dominant
Candidatus	Candidatus_Saccharibacteria_oral_taxon_TM7x	1	Homo/Pan Dominant
Desulfomicrobium	Desulfomicrobium_orale	1	Homo/Pan Dominant
Filifactor	Filifactor_alocis	1	Homo/Pan Dominant
Fretibacterium	Fretibacterium_fastidiosum	1	Homo/Pan Dominant
Gemella	Gemella_sp._oral_taxon_928	1	Homo/Pan Dominant
Mogibacterium	Mogibacterium_pumilum	1	Homo/Pan Dominant
Olsenella	Olsenella_uli	1	Homo/Pan Dominant
Olsenella	Olsenella_sp._oral_taxon_807	1	Homo/Pan Dominant
Ottowia	Ottowia_sp._oral_taxon_894	1	Homo/Pan Dominant
Parvimonas	Parvimonas_micra	1	Homo/Pan Dominant
Porphyromonas	Porphyromonas_gingivalis	1	Homo/Pan Dominant
Prevotella	Prevotella_intermedia	1	Homo/Pan Dominant
Streptococcus	Streptococcus_constellatus	1	Homo/Pan Dominant
Tannerella	Tannerella_sp._oral_taxon_HOT-286	1	Homo/Pan Dominant
Tannerella	Tannerella_forsythia	1	Homo/Pan Dominant
Treponema	Treponema_sp._OMZ_838	1	Homo/Pan Dominant
Treponema	Treponema_putidum	1	Homo/Pan Dominant
Treponema	Treponema_denticola	1	Homo/Pan Dominant
Actinomyces	Actinomyces_sp._oral_taxon_414	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_meyeri	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_hongkongensis	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_oris	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_naeslundii	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_sp._Chiba101	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_succiniciruminis	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_radicidentis	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Campylobacter	Campylobacter_gracilis	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Fusobacterium	Fusobacterium_nucleatum	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Pseudopropionibacterium	Pseudopropionibacterium_propionicum	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Streptococcus	Streptococcus_intermedius	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Streptococcus	Streptococcus_anginosus	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
