Taxon Genus	Taxon	Block ID (nt)	Host Genus Grouping (nt)
Methanobrevibacter	Methanobrevibacter_oralis	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Desulfomicrobium	Desulfomicrobium_orale	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Streptococcus	Streptococcus_sp._DD04	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Actinomyces	Actinomyces_sp._oral_taxon_170	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Actinomyces	Actinomyces_johnsonii	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Actinomyces	Actinomyces_sp._oral_taxon_448	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Actinomyces	Actinomyces_ruminicola	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Prevotella	Prevotella_intermedia	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Oribacterium	Oribacterium_sp._oral_taxon_078	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Dialister	Dialister_invisus	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Anaeroglobus	Anaeroglobus_geminatus	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Johnsonella	Johnsonella_ignava	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Catonella	Catonella_morbi	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Pseudoramibacter	Pseudoramibacter_alactolyticus	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Porphyromonas	Porphyromonas_gingivalis	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Slackia	Slackia_exigua	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Olsenella	Olsenella_uli	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Treponema	Treponema_lecithinolyticum	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Filifactor	Filifactor_alocis	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Mogibacterium	Mogibacterium_pumilum	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Actinomyces	Actinomyces_cardiffensis	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Peptostreptococcaceae	Peptostreptococcaceae_bacterium_oral_taxon_113	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Parvimonas	Parvimonas_micra	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Lachnospiraceae	Lachnospiraceae_bacterium_oral_taxon_500	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Tannerella	Tannerella_sp._oral_taxon_HOT-286	1	Homo/Pan Dominant (Gorilla/Alouatta/Ancient human spordaic)
Ottowia	Ottowia_sp._oral_taxon_894	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Fusobacterium	Fusobacterium_nucleatum	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Campylobacter	Campylobacter_gracilis	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_massiliensis	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_israelii	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_oris	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_naeslundii	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_gerencseriae	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Pseudopropionibacterium	Pseudopropionibacterium_propionicum	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_sp._oral_taxon_414	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Actinomyces	Actinomyces_dentalis	2	Anthropoid Core (Reduced in Gorilla/Alouatta)
Candidatus	Candidatus_Saccharibacteria_oral_taxon_TM7x	3	Homo/Pan Dominant (Gorilla only)
Olsenella	Olsenella_sp._oral_taxon_807	3	Homo/Pan Dominant (Gorilla only)
Desulfobulbus	Desulfobulbus_sp._ORNL	3	Homo/Pan Dominant (Gorilla only)
Anaerolineaceae	Anaerolineaceae_bacterium_oral_taxon_439	3	Homo/Pan Dominant (Gorilla only)
Phocaeicola	Phocaeicola_abscessus	3	Homo/Pan Dominant (Gorilla only)
Tannerella	Tannerella_forsythia	3	Homo/Pan Dominant (Gorilla only)
Campylobacter	Campylobacter_showae	3	Homo/Pan Dominant (Gorilla only)
Bacteroidetes	Bacteroidetes_oral_taxon_274	3	Homo/Pan Dominant (Gorilla only)
Treponema	Treponema_socranskii	3	Homo/Pan Dominant (Gorilla only)
Treponema	Treponema_maltophilum	3	Homo/Pan Dominant (Gorilla only)
Treponema	Treponema_denticola	3	Homo/Pan Dominant (Gorilla only)
Corynebacterium	Corynebacterium_matruchotii	3	Homo/Pan Dominant (Gorilla only)
Neisseria	Neisseria_sp._oral_taxon_014	4	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific)
Aggregatibacter	Aggregatibacter_segnis	4	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific)
Aggregatibacter	Aggregatibacter_aphrophilus	4	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific)
Corynebacterium	Corynebacterium_durum	5	Gorilla/Alouatta/Homo specific (non-pan related anicent humans specific)
Actinomyces	Actinomyces_odontolyticus	5	Gorilla/Alouatta/Homo specific (non-pan related anicent humans specific)
Streptococcus	Streptococcus_salivarius	5	Gorilla/Alouatta/Homo specific (non-pan related anicent humans specific)
Gemella	Gemella_morbillorum	5	Gorilla/Alouatta/Homo specific (non-pan related anicent humans specific)
Leptotrichia	Leptotrichia_sp._oral_taxon_212	5	Gorilla/Alouatta/Homo specific (non-pan related anicent humans specific)
Abiotrophia	Abiotrophia_sp._HMSC24B09	5	Gorilla/Alouatta/Homo specific (non-pan related anicent humans specific)
Abiotrophia	Abiotrophia_defectiva	5	Gorilla/Alouatta/Homo specific (non-pan related anicent humans specific)
Streptococcus	Streptococcus_cristatus	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Streptococcus	Streptococcus_sanguinis	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Lautropia	Lautropia_mirabilis	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Rothia	Rothia_aeria	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Haemophilus	Haemophilus_parainfluenzae	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Neisseria	Neisseria_elongata	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Eikenella	Eikenella_corrodens	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Cardiobacterium	Cardiobacterium_valvarum	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Streptococcus	Streptococcus_oralis	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Streptococcus	Streptococcus_gordonii	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Cardiobacterium	Cardiobacterium_hominis	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Capnocytophaga	Capnocytophaga_sputigena	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Capnocytophaga	Capnocytophaga_gingivalis	6	Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)
Candidatus	Candidatus_Kryptonium_thompsoni	NA	
