sample	five_pc_pass	more_env
ABM006.A0101	TRUE	FALSE
ABM007.A0101	TRUE	FALSE
ABM008.A0101	TRUE	FALSE
ARS001.A0101.SG1.2	FALSE	TRUE
ARS004.A0101.SG1.2	FALSE	TRUE
ARS005.A0101.SG1.2	FALSE	TRUE
ARS010.A0101.SG1.2	FALSE	TRUE
ARS011.A0101.SG1.2	FALSE	TRUE
ARS012.A0101.SG1.2	FALSE	TRUE
ARS013.A0101.SG1.2	FALSE	TRUE
ARS015.A0101.SG1.2	FALSE	TRUE
ARS017.A0101.SG1.2	FALSE	TRUE
ARS020.A0101.SG1.2	FALSE	TRUE
BAN001.A0101	FALSE	TRUE
BIT001.A0101	FALSE	TRUE
BSQ001.A0101	TRUE	FALSE
CDC005.A0101	FALSE	TRUE
CDC006.A0101	TRUE	FALSE
CDC007.A0101	FALSE	TRUE
CDC008.A0101	TRUE	FALSE
CDC009.A0101	FALSE	TRUE
CDC010.A0101	TRUE	FALSE
CDC011.A0101	TRUE	FALSE
Chimp.150519	TRUE	FALSE
DJA002.A0101	TRUE	FALSE
DJA006.A0101	TRUE	FALSE
DJA007.A0101	TRUE	FALSE
DLV001.A0101	FALSE	TRUE
DLV002.A0101	FALSE	TRUE
EBO001.A0101	TRUE	FALSE
EBO003.A0101	TRUE	FALSE
EBO008.A0101	TRUE	FALSE
EBO009.A0101	TRUE	FALSE
ECO002.B0101	TRUE	FALSE
ECO004.B0101	TRUE	FALSE
ECO006.B0101	FALSE	TRUE
ECO010.B0101	FALSE	TRUE
ElSidron1	TRUE	FALSE
ElSidron2	TRUE	FALSE
EMN001.A0101	TRUE	FALSE
ERR1883418	FALSE	TRUE
ERR1883419	FALSE	TRUE
ERR1883420	FALSE	TRUE
ERR1883421	FALSE	TRUE
ERR1883422	FALSE	TRUE
ERR1883423	FALSE	TRUE
ERR1883424	FALSE	TRUE
ERR1883430	FALSE	TRUE
ERR1883436	FALSE	TRUE
ERR1883438	FALSE	TRUE
