Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,# of reads on mitochondrium,AVG Coverage on mitochondrium,MT/NUC Ratio,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/184,ABM006.A0101,28442,28431,129,28302,99.961,1.005,0.0004,0.0575,0.04,0,0,0,0,4,0.01394169835234474,31.16,0.0975,0.0723,0.0782,0.063,48.94,43.0,47.77
Sample 2/184,ABM007.A0101,7627,7623,22,7601,99.948,1.003,0.0001,0.0212,0.01,0,0,0,0,1,0.0020520248657130784,17.87,0.0935,0.0757,0.0857,0.0686,46.77,42.0,48.13
Sample 3/184,ABM007.A0101.171215,15572,15568,93,15475,99.974,1.006,0.0002,0.0431,0.02,0,0,0,0,3,0.008811636188062043,37.6,0.0898,0.0679,0.0816,0.07,46.89,42.0,47.75
Sample 4/184,ABM008.A0101,3364,3362,17,3345,99.941,1.005,0.0001,0.019,0.01,0,0,0,0,5,0.012976039592009174,224.7,0.0748,0.0465,0.0609,0.0523,53.51,45.0,50.82
Sample 5/184,ABM008.A0101.171215,3437,3433,32,3401,99.884,1.009,0.0001,0.0231,0.01,0,0,0,0,5,0.014062405697386687,238.85,0.0798,0.0439,0.0542,0.035,53.66,46.0,51.93
Sample 6/184,BAN001.A0101,87415,87411,915,86496,99.995,1.011,0.0014,0.1582,0.1,0.01,0,0,0,33,0.11123181845615306,76.99,0.0171,0.0153,0.0127,0.0101,51.73,46.0,45.76
Sample 7/184,BIT001.A0101,346296,346285,374,345911,99.997,1.001,0.0066,0.1216,0.63,0.01,0,0,0,25,0.084615848874404,12.91,0.0409,0.0379,0.0355,0.0354,58.67,53.0,45.52
Sample 8/184,BIT001.A0101.171215,739814,739804,980,738824,99.999,1.001,0.014,0.2101,1.33,0.02,0.01,0,0,48,0.15245337678797755,10.9,0.0403,0.0391,0.0354,0.0355,58.63,53.0,45.28
Sample 9/184,BSQ001.A0101,10923,10919,132,10787,99.963,1.012,0.0002,0.1398,0.01,0,0,0,0,2,0.006819964994869938,41.18,0.0601,0.0557,0.0342,0.0414,47.54,41.0,48.58
Sample 10/184,CDC005.A0101,7077,7077,19,7058,100.000,1.003,0.0001,0.0117,0.01,0,0,0,0,5,0.017864687066207977,144.94,0.0953,0.0559,0.0764,0.0571,54.1,51.0,44.2
Sample 11/184,CDC005.A0101.170817,10019,10018,18,10000,99.990,1.002,0.0002,0.0213,0.02,0,0,0,0,3,0.019433882551753275,107.07,0.0879,0.0623,0.086,0.0522,56.22,50.0,44.42
Sample 12/184,CDC006.A0101,20089,20079,203,19876,99.950,1.010,0.0003,0.0773,0.03,0,0,0,0,15,0.04737763292896373,163.2,0.067,0.0547,0.0653,0.0521,45.25,41.0,49.9
Sample 13/184,CDC007.A0101,14697,14692,206,14486,99.966,1.014,0.0002,0.0763,0.02,0,0,0,0,2,0.004104049731426157,20.42,0.1008,0.0798,0.1005,0.0739,42.96,37.0,51.31
Sample 14/184,CDC008.A0101,28298,28294,189,28105,99.986,1.007,0.0004,0.0972,0.04,0,0,0,0,10,0.027702335687126562,67.01,0.0915,0.0731,0.0863,0.0668,45.55,41.0,45.82
Sample 15/184,CDC009.A0101,64256,64251,224,64027,99.992,1.003,0.001,0.0836,0.09,0,0,0,0,14,0.044239241957873134,44.93,0.0836,0.0729,0.076,0.067,47.62,45.0,42.74
Sample 16/184,CDC010.A0101,51661,51652,211,51441,99.983,1.004,0.0008,0.0746,0.07,0,0,0,0,13,0.05172309735047378,67.07,0.1234,0.0951,0.117,0.0882,46.43,41.0,44.9
Sample 17/184,CDC011.A0101,10032,10032,24,10008,100.000,1.002,0.0002,0.0149,0.02,0,0,0,0,3,0.013277807954614038,68.88,0.0528,0.0287,0.0374,0.0274,59.65,61.0,46.35
Sample 18/184,CDC011.A0101.170817,14234,14231,40,14191,99.979,1.003,0.0003,0.033,0.03,0,0,0,0,13,0.06023296517593096,210.44,0.0465,0.0437,0.0406,0.0282,62.51,58.0,47.12
Sample 19/184,DJA002.A0101,24926,24920,152,24768,99.976,1.006,0.0004,0.0636,0.03,0,0,0,0,12,0.0345223006819965,97.8,0.0833,0.0734,0.073,0.0717,44.14,39.0,48.06
Sample 20/184,DJA006.A0101,2596,2593,23,2570,99.884,1.009,0,0.0174,0,0,0,0,0,1,0.004828293801677832,126.3,0.0556,0.0461,0.0519,0.0426,46.08,38.0,55.94
Sample 21/184,DJA006.A0101.171215,7160,7149,85,7064,99.846,1.012,0.0001,0.0463,0.01,0,0,0,0,5,0.019373528879232303,181.58,0.0613,0.037,0.0533,0.0351,46.8,39.0,55.28
Sample 22/184,DJA007.A0101,6920,6918,43,6875,99.971,1.006,0.0001,0.0269,0.01,0,0,0,0,7,0.023900054318305268,209.13,0.0602,0.0399,0.0316,0.0356,51.52,44.0,50.97
Sample 23/184,DJA007.A0101.171215,14051,14047,110,13937,99.972,1.008,0.0002,0.0495,0.02,0,0,0,0,11,0.04079908262417768,174.99,0.0522,0.0421,0.0438,0.0431,51.84,45.0,50.02
Sample 24/184,EBO001.A0101,83434,83419,333,83086,99.982,1.004,0.0015,0.0836,0.14,0,0,0,0,596,2.3225903796246,1593.87,0.0732,0.0557,0.0647,0.0518,54.76,48.0,45.37
Sample 25/184,EBO003.A0101,18756,18745,226,18519,99.941,1.012,0.0003,0.0756,0.03,0,0,0,0,10,0.034220532319391636,106.82,0.0433,0.0364,0.0377,0.0369,53.58,46.0,51.18
Sample 26/184,EBO008.A0101,29765,29762,56,29706,99.990,1.002,0.0006,0.0423,0.05,0,0,0,0,8,0.026072786529060293,46.79,0.0498,0.0475,0.0348,0.0396,58.09,53.0,48.35
Sample 27/184,EBO008.A0101.171215,64001,63996,184,63812,99.992,1.003,0.0012,0.0811,0.11,0,0,0,0,7,0.02890940913754602,24.15,0.0447,0.0471,0.0357,0.0391,58.09,53.0,48.25
Sample 28/184,EBO009.A0101,3272,3272,12,3260,100.000,1.004,0.0001,0.0125,0.01,0,0,0,0,4,0.009898002293439555,171.88,0.0691,0.0526,0.0521,0.0436,54.73,48.0,49.43
Sample 29/184,EBO009.A0101.171215,3730,3727,13,3714,99.920,1.004,0.0001,0.0172,0.01,0,0,0,0,1,0.004043696058905184,61.34,0.0778,0.0585,0.0434,0.0546,54.96,49.0,50.04
Sample 30/184,ECO002.B0101,23003,22997,130,22867,99.974,1.006,0.0004,0.0655,0.04,0,0,0,0,7,0.02619349387410224,59.93,0.0438,0.0366,0.0425,0.0299,59.19,56.0,43.86
Sample 31/184,ECO002.C0101,13407,13395,122,13273,99.910,1.009,0.0002,0.058,0.02,0,0,0,0,4,0.014303820387470578,63.4,0.0523,0.0377,0.0434,0.0367,52.64,44.0,46.28
Sample 32/184,ECO004.B0101,323329,323323,375,322948,99.998,1.001,0.007,0.1177,0.68,0.01,0,0,0,99,0.3921781640412819,55.87,0.0162,0.0131,0.016,0.0118,67.31,66.0,43.44
Sample 33/184,ECO004.C0101,41094,41090,143,40947,99.990,1.003,0.0008,0.0631,0.08,0,0,0,0,15,0.05618926911702577,66.24,0.0253,0.0194,0.0199,0.0166,64.15,61.0,44.94
Sample 34/184,ECO006.B0101,39836,39831,105,39726,99.987,1.003,0.0009,0.0647,0.09,0,0,0,0,33,0.12825155410706743,143.45,0.0121,0.0107,0.0088,0.0082,69.72,70.0,45.55
Sample 35/184,ECO010.B0101,7239,7226,109,7117,99.820,1.015,0.0001,0.0559,0.01,0,0,0,0,0,NaN,0.0,0.0699,0.0557,0.0829,0.064,37.83,31.0,47.78
Sample 36/184,EMN001.A0101,6995,6989,122,6867,99.914,1.018,0.0001,0.0623,0.01,0,0,0,0,3,0.012131088176715554,102.02,0.0824,0.0618,0.1215,0.0635,53.63,48.0,52.59
Sample 37/184,ESA003.A0101,6915,6911,128,6783,99.942,1.019,0.0001,0.0455,0.01,0,0,0,0,3,0.011346490433942905,110.69,0.0847,0.0618,0.0604,0.0515,46.81,42.0,52.09
Sample 38/184,ESA004.A0101,3727,3725,78,3647,99.946,1.021,0,0.0349,0,0,0,0,0,2,0.005371476854366588,119.64,0.0737,0.0541,0.0502,0.0397,38.14,32.0,62.23
Sample 39/184,ESA006.A0101,6377,6369,65,6304,99.875,1.010,0.0001,0.0386,0.01,0,0,0,0,4,0.014122759369907659,160.56,0.0973,0.0652,0.1057,0.081,43.23,39.0,53.88
Sample 40/184,ESA007.A0101,6740,6722,265,6457,99.733,1.041,0.0001,0.064,0.01,0,0,0,0,2,0.007845977427726478,89.57,0.0775,0.0578,0.0509,0.0467,42.01,38.0,60.59
Sample 41/184,ESA008.A0101,4552,4545,135,4410,99.846,1.031,0.0001,0.0472,0,0,0,0,0,1,0.0026555615909228075,45.6,0.0942,0.0612,0.0725,0.0439,40.89,36.0,60.25
Sample 42/184,EXB002.A1101,2194,2194,14,2180,100.000,1.006,0,0.0074,0,0,0,0,0,0,NaN,0.0,0.0113,0.014,0.0019,0.0023,61.25,69.0,43.83
Sample 43/184,EXB015.A1701,3231,3225,133,3092,99.814,1.043,0.0001,0.0535,0,0,0,0,0,0,NaN,0.0,0.0908,0.0528,0.004,0.0021,57.33,54.0,60.01
Sample 44/184,EXB015.A1901,7216,7205,182,7023,99.848,1.026,0.0001,0.0524,0.01,0,0,0,0,3,0.011286136761421933,80.15,0.0516,0.0298,0.0014,0.0045,62.1,59.0,51.25
Sample 45/184,EXB015.A2001,5748,5740,156,5584,99.861,1.028,0.0001,0.048,0.01,0,0,0,0,2,0.005975013579576317,50.67,0.0687,0.0362,0.0017,0.0045,65.39,68.0,51.46
Sample 46/184,EXB015.A2101,3661,3648,130,3518,99.645,1.037,0.0001,0.0539,0.01,0,0,0,0,1,0.003560866678737401,49.81,0.0759,0.0489,0.0091,0.0124,62.92,65.0,56.64
Sample 47/184,EXB015.A2201,5695,5683,180,5503,99.789,1.033,0.0001,0.0615,0.01,0,0,0,0,1,0.006699257649827992,58.99,0.0767,0.0371,0.0057,0.0051,63.91,63.0,54.48
Sample 48/184,EXB015.A2301,2018,2010,86,1924,99.604,1.045,0,0.0515,0,0,0,0,0,2,0.00917375822318788,254.12,0.1374,0.0654,0.0055,0.0,58.16,58.0,67.12
Sample 49/184,EXB015.A2401,16699,16699,207,16492,100.000,1.013,0.0003,0.018,0.03,0,0,0,0,3,0.012312149194278471,41.34,0.0053,0.008,0.0071,0.0039,55.92,49.0,44.9
Sample 50/184,EXB015.A2501,5489,5489,194,5295,100.000,1.037,0.0001,0.0129,0.01,0,0,0,0,3,0.01309674693705112,122.69,0.0129,0.0027,0.0083,0.0114,62.45,63.0,44.74
Sample 51/184,EXB015.A2601,6616,6616,186,6430,100.000,1.029,0.0001,0.0149,0.01,0,0,0,0,3,0.008811636188062043,66.06,0.0097,0.0035,0.0098,0.0082,64.24,66.0,44.11
Sample 52/184,EXB015.A2801,8621,8621,313,8308,100.000,1.038,0.0002,0.0159,0.02,0,0,0,0,4,0.010742953708733176,62.97,0.0105,0.0053,0.0071,0.0069,63.59,62.0,44.21
Sample 53/184,EXB015.A2901,7392,7392,159,7233,100.000,1.022,0.0002,0.0141,0.02,0,0,0,0,3,0.008871989860583017,52.19,0.0115,0.0046,0.0087,0.0048,72.77,76.0,44.39
Sample 54/184,EXB020.A0101,1463,1459,22,1437,99.727,1.015,0,0.0259,0,0,0,0,0,0,NaN,0.0,0.0511,0.0234,0.0119,0.0041,67.83,68.0,58.29
Sample 55/184,EXB021.A0101,1260,1257,48,1209,99.762,1.040,0,0.0355,0,0,0,0,0,0,NaN,0.0,0.0621,0.0339,0.0,0.0153,60.92,63.0,68.57
Sample 56/184,EXB022.A0101,22504,22488,562,21926,99.929,1.026,0.0004,0.0999,0.04,0,0,0,0,31,0.1266823586215221,284.15,0.0505,0.0367,0.0268,0.021,63.04,60.0,48.34
Sample 57/184,EXB023.A0101,92484,92473,2531,89942,99.988,1.028,0.0019,0.1115,0.15,0.02,0,0,0,30,0.11702577101816647,62.05,0.0376,0.0229,0.0297,0.0158,64.94,63.0,46.05
Sample 58/184,EXB033.A0401,18003,18003,163,17840,100.000,1.009,0.0004,0.0249,0.04,0,0,0,0,5,0.02184802945259219,48.67,0.0048,0.0068,0.0051,0.0031,77.92,76.0,40.94
Sample 59/184,EXB033.A0801,18016,18015,677,17338,99.994,1.039,0.0003,0.0254,0.02,0.01,0,0,0,5,0.01394169835234474,45.74,0.0155,0.0103,0.0041,0.005,54.44,53.0,45.47
Sample 60/184,EXB033.A1401,3533,3533,0,3533,100.000,1.000,0.0001,0.0091,0.01,0,0,0,0,1,0.0032590983161325366,40.14,0.0029,0.0031,0.0045,0.0016,71.16,75.0,42.92
Sample 61/184,FDM001.A0101,36261,36260,30,36230,99.997,1.001,0.0006,0.0284,0.06,0,0,0,0,4,0.017140442995956302,29.15,0.1228,0.0938,0.1049,0.0796,50.25,45.0,43.93
Sample 62/184,FDM001.A0101.171215,37528,37526,29,37497,99.995,1.001,0.0006,0.0331,0.06,0,0,0,0,5,0.017381857686040194,28.53,0.1268,0.0884,0.1087,0.0782,50.3,46.0,43.85
Sample 63/184,FUM001.A0101,1745639,1745630,44452,1701178,99.999,1.026,0.0407,0.3929,3.16,0.66,0.12,0.03,0.01,1146,5.215221196209789,128.2,0.0068,0.0054,0.0055,0.0042,74.08,76.0,45.38
Sample 64/184,FUM002.A0101,124801,124792,261,124531,99.993,1.002,0.0029,0.0814,0.28,0,0,0,0,105,0.46900838916048043,163.93,0.0101,0.008,0.0071,0.0056,71.19,74.0,47.13
Sample 65/184,FUM003.A0101,1112767,1112757,6041,1106716,99.999,1.005,0.025,0.2913,2.28,0.13,0.02,0.01,0.01,741,3.186070372382159,127.59,0.0075,0.0058,0.0064,0.0049,69.9,72.0,47.44
Sample 66/184,GDC002.A0101,40811,40804,171,40633,99.983,1.004,0.0006,0.0868,0.06,0,0,0,0,14,0.04623091315106524,74.6,0.1074,0.0805,0.0928,0.0739,47.24,42.0,46.74
Sample 67/184,GDC004.A0101,102776,102766,517,102249,99.990,1.005,0.0015,0.23,0.12,0,0,0,0,17,0.05093849960770113,34.06,0.1168,0.0983,0.1015,0.0848,45.29,41.0,42.76
Sample 68/184,GDC005.A0101,1992775,1992769,84490,1908279,100.000,1.044,0.0296,1.4704,2,0.2,0.04,0.02,0.02,748,2.0767095177741566,70.23,0.0379,0.0417,0.03,0.0324,47.99,44.0,47.86
Sample 69/184,GDN001.A0101,20760,20747,744,20003,99.937,1.037,0.0004,0.0731,0.03,0.01,0,0,0,2,0.009656587603355664,22.57,0.0196,0.0191,0.0113,0.0082,66.23,72.0,48.73
Sample 70/184,GDN001.B0101,28581,28571,211,28360,99.965,1.007,0.0006,0.0619,0.06,0,0,0,0,14,0.06512161265012976,110.73,0.0238,0.0179,0.0135,0.0099,64.23,63.0,48.52
Sample 71/184,GOY005.A0101,164729,164729,86,164643,100.000,1.001,0.0033,0.0648,0.32,0,0,0,0,75,0.2910254088961313,87.63,0.018,0.01,0.0114,0.0085,62.47,70.0,45.8
Sample 72/184,GOY006.A0101,1224830,1224830,1281,1223549,100.000,1.001,0.0273,0.227,2.61,0.07,0.01,0.01,0,902,3.7524895889914904,137.33,0.0078,0.0043,0.0035,0.0027,69.19,75.0,45.21
Sample 73/184,GUE001.A0101,252597,252585,3612,248973,99.995,1.015,0.0062,0.124,0.53,0.07,0.01,0,0,190,0.9036755386565274,146.97,0.0064,0.0056,0.0054,0.004,76.51,76.0,48.58
Sample 74/184,IBA001.A0101,33793,33793,41,33752,100.000,1.001,0.0006,0.034,0.06,0,0,0,0,10,0.03253062948880439,50.2,0.1217,0.0863,0.098,0.0731,59.45,53.0,44.8
Sample 75/184,IBA001.A0101.171215,74375,74375,105,74270,100.000,1.001,0.0014,0.0639,0.14,0,0,0,0,10,0.03476371537208039,24.5,0.1227,0.0898,0.0987,0.0758,59.14,52.0,44.71
Sample 76/184,IBA002.A0101,24225,24220,60,24160,99.979,1.002,0.0005,0.039,0.05,0,0,0,0,15,0.058724123362906624,115.19,0.0351,0.0257,0.0232,0.0183,65.36,61.0,46.65
