KOrtholog	Pathway_name	Pathway_number	Enzyme_name
K00004	Butanoate metabolism	ko00650	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.303 1.1.1.- 1.1.1.4]
K00005	Propanoate metabolism	ko00640	glycerol dehydrogenase [EC:1.1.1.6]
K00008	Pentose and glucuronate interconversions	ko00040	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00008	Fructose and mannose metabolism	ko00051	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	Fructose and mannose metabolism	ko00051	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	Inositol phosphate metabolism	ko00562	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.369 1.1.1.18]
K00012	Pentose and glucuronate interconversions	ko00040	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00012	Ascorbate and aldarate metabolism	ko00053	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00012	Amino sugar and nucleotide sugar metabolism	ko00520	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00016	Glycolysis / Gluconeogenesis	ko00010	L-lactate dehydrogenase [EC:1.1.1.27]
K00016	Pyruvate metabolism	ko00620	L-lactate dehydrogenase [EC:1.1.1.27]
K00016	Propanoate metabolism	ko00640	L-lactate dehydrogenase [EC:1.1.1.27]
K00018	Glyoxylate and dicarboxylate metabolism	ko00630	glycerate dehydrogenase [EC:1.1.1.29]
K00024	Citrate cycle (TCA cycle)	ko00020	malate dehydrogenase [EC:1.1.1.37]
K00024	Pyruvate metabolism	ko00620	malate dehydrogenase [EC:1.1.1.37]
K00024	Glyoxylate and dicarboxylate metabolism	ko00630	malate dehydrogenase [EC:1.1.1.37]
K00027	Pyruvate metabolism	ko00620	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00029	Pyruvate metabolism	ko00620	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00031	Citrate cycle (TCA cycle)	ko00020	isocitrate dehydrogenase [EC:1.1.1.42]
K00033	Pentose phosphate pathway	ko00030	6-phosphogluconate dehydrogenase [EC:1.1.1.343 1.1.1.44]
K00036	Pentose phosphate pathway	ko00030	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.363 1.1.1.49]
K00042	Glyoxylate and dicarboxylate metabolism	ko00630	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00052	C5-Branched dibasic acid metabolism	ko00660	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00068	Fructose and mannose metabolism	ko00051	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00074	Butanoate metabolism	ko00650	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	Amino sugar and nucleotide sugar metabolism	ko00520	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00100	Butanoate metabolism	ko00650	butanol dehydrogenase [EC:1.1.1.-]
K00101	Pyruvate metabolism	ko00620	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00104	Glyoxylate and dicarboxylate metabolism	ko00630	glycolate oxidase [EC:1.1.3.15]
K00116	Citrate cycle (TCA cycle)	ko00020	malate dehydrogenase (quinone) [EC:1.1.5.4]
K00116	Pyruvate metabolism	ko00620	malate dehydrogenase (quinone) [EC:1.1.5.4]
K00121	Glycolysis / Gluconeogenesis	ko00010	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.1 1.1.1.284]
K00123	Glyoxylate and dicarboxylate metabolism	ko00630	formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	Glyoxylate and dicarboxylate metabolism	ko00630	formate dehydrogenase iron-sulfur subunit
K00127	Glyoxylate and dicarboxylate metabolism	ko00630	formate dehydrogenase subunit gamma
K00128	Glycolysis / Gluconeogenesis	ko00010	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00128	Ascorbate and aldarate metabolism	ko00053	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00128	Pyruvate metabolism	ko00620	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00131	Glycolysis / Gluconeogenesis	ko00010	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00131	Pentose phosphate pathway	ko00030	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00134	Glycolysis / Gluconeogenesis	ko00010	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00135	Butanoate metabolism	ko00650	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.20 1.2.1.79 1.2.1.16]
K00138	Glycolysis / Gluconeogenesis	ko00010	aldehyde dehydrogenase [EC:1.2.1.-]
K00138	Pyruvate metabolism	ko00620	aldehyde dehydrogenase [EC:1.2.1.-]
K00140	Propanoate metabolism	ko00640	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.27 1.2.1.18]
K00140	Inositol phosphate metabolism	ko00562	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.27 1.2.1.18]
K00156	Pyruvate metabolism	ko00620	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00158	Pyruvate metabolism	ko00620	pyruvate oxidase [EC:1.2.3.3]
K00161	Glycolysis / Gluconeogenesis	ko00010	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00161	Citrate cycle (TCA cycle)	ko00020	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00161	Pyruvate metabolism	ko00620	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00162	Glycolysis / Gluconeogenesis	ko00010	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00162	Citrate cycle (TCA cycle)	ko00020	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00162	Pyruvate metabolism	ko00620	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00163	Glycolysis / Gluconeogenesis	ko00010	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00163	Citrate cycle (TCA cycle)	ko00020	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00163	Pyruvate metabolism	ko00620	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	Citrate cycle (TCA cycle)	ko00020	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00169	Glycolysis / Gluconeogenesis	ko00010	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00169	Citrate cycle (TCA cycle)	ko00020	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00169	Pyruvate metabolism	ko00620	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00169	Propanoate metabolism	ko00640	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00169	Butanoate metabolism	ko00650	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	Glycolysis / Gluconeogenesis	ko00010	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00170	Citrate cycle (TCA cycle)	ko00020	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00170	Pyruvate metabolism	ko00620	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00170	Propanoate metabolism	ko00640	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00170	Butanoate metabolism	ko00650	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00172	Glycolysis / Gluconeogenesis	ko00010	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00172	Citrate cycle (TCA cycle)	ko00020	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00172	Pyruvate metabolism	ko00620	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00172	Propanoate metabolism	ko00640	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00172	Butanoate metabolism	ko00650	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	Glycolysis / Gluconeogenesis	ko00010	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.11 1.2.7.3]
K00174	Citrate cycle (TCA cycle)	ko00020	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.11 1.2.7.3]
K00174	Pyruvate metabolism	ko00620	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.11 1.2.7.3]
K00174	Butanoate metabolism	ko00650	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.11 1.2.7.3]
K00175	Glycolysis / Gluconeogenesis	ko00010	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.11 1.2.7.3]
K00175	Citrate cycle (TCA cycle)	ko00020	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.11 1.2.7.3]
K00175	Pyruvate metabolism	ko00620	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.11 1.2.7.3]
