Pathway_name	Pathway_number	KOrtholog	Enzyme_name
Oxidative phosphorylation	ko00190	K00329	NADH dehydrogenase [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00330	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00331	NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00332	NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00333	NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K13378	NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K13380	NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00334	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00335	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00336	NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00337	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00338	NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00339	NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00340	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00341	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00342	NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K15863	NADH-quinone oxidoreductase subunit L/M [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K00343	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05572	NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05573	NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05574	NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05575	NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05576	NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05577	NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05578	NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05579	NAD(P)H-quinone oxidoreductase subunit H [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05580	NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05581	NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05582	NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05583	NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05584	NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05585	NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05586	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05587	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K05588	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K03878	NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K03879	NADH-ubiquinone oxidoreductase chain 2 [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K03880	NADH-ubiquinone oxidoreductase chain 3 [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K03881	NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K03882	NADH-ubiquinone oxidoreductase chain 4L [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K03883	NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K03884	NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2]
Oxidative phosphorylation	ko00190	K03934	NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:1.6.99.3 7.1.1.2]
Oxidative phosphorylation	ko00190	K03935	NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.99.3 7.1.1.2]
Oxidative phosphorylation	ko00190	K03936	NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:1.6.99.3 7.1.1.2]
Oxidative phosphorylation	ko00190	K03937	NADH dehydrogenase (ubiquinone) Fe-S protein 4
Oxidative phosphorylation	ko00190	K03938	NADH dehydrogenase (ubiquinone) Fe-S protein 5
Oxidative phosphorylation	ko00190	K03939	NADH dehydrogenase (ubiquinone) Fe-S protein 6
Oxidative phosphorylation	ko00190	K03940	NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:1.6.99.3 7.1.1.2]
Oxidative phosphorylation	ko00190	K03941	NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:1.6.99.3 7.1.1.2]
Oxidative phosphorylation	ko00190	K03942	NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:1.6.99.3 7.1.1.2]
Oxidative phosphorylation	ko00190	K03943	NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:1.6.99.3 7.1.1.2]
Oxidative phosphorylation	ko00190	K03944	NADH dehydrogenase (ubiquinone) flavoprotein 3
Oxidative phosphorylation	ko00190	K03945	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1
Oxidative phosphorylation	ko00190	K03946	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2
Oxidative phosphorylation	ko00190	K03947	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3
Oxidative phosphorylation	ko00190	K03948	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4
Oxidative phosphorylation	ko00190	K03949	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5
Oxidative phosphorylation	ko00190	K03950	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6
Oxidative phosphorylation	ko00190	K03951	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7
Oxidative phosphorylation	ko00190	K03952	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8
Oxidative phosphorylation	ko00190	K03953	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9
Oxidative phosphorylation	ko00190	K03954	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10
Oxidative phosphorylation	ko00190	K03955	NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein
Oxidative phosphorylation	ko00190	K03956	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11
Oxidative phosphorylation	ko00190	K11352	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12
Oxidative phosphorylation	ko00190	K11353	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13
Oxidative phosphorylation	ko00190	K03957	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1
Oxidative phosphorylation	ko00190	K03958	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2
Oxidative phosphorylation	ko00190	K03959	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3
Oxidative phosphorylation	ko00190	K03960	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4
Oxidative phosphorylation	ko00190	K03961	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5
Oxidative phosphorylation	ko00190	K03962	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6
Oxidative phosphorylation	ko00190	K03963	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7
Oxidative phosphorylation	ko00190	K03964	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8
Oxidative phosphorylation	ko00190	K03965	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9
Oxidative phosphorylation	ko00190	K03966	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10
Oxidative phosphorylation	ko00190	K11351	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11
