Pathway_name	Pathway_number	KOrtholog	Enzyme_name
N-Glycan biosynthesis	ko00510	K12345	3-oxo-5-alpha-steroid 4-dehydrogenase 3 / polyprenol reductase [EC:1.3.1.94 1.3.1.22]
N-Glycan biosynthesis	ko00510	K00902	dolichol kinase [EC:2.7.1.108]
N-Glycan biosynthesis	ko00510	K01001	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]
N-Glycan biosynthesis	ko00510	K00729	dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]
N-Glycan biosynthesis	ko00510	K07432	beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]
N-Glycan biosynthesis	ko00510	K07441	beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]
N-Glycan biosynthesis	ko00510	K00721	dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
N-Glycan biosynthesis	ko00510	K09658	dolichol phosphate-mannose biosynthesis regulatory protein
N-Glycan biosynthesis	ko00510	K09659	dolichol-phosphate mannosyltransferase subunit 3
N-Glycan biosynthesis	ko00510	K03842	beta-1,4-mannosyltransferase [EC:2.4.1.142]
N-Glycan biosynthesis	ko00510	K03843	alpha-1,3/alpha-1,6-mannosyltransferase [EC:2.4.1.257 2.4.1.132]
N-Glycan biosynthesis	ko00510	K03844	alpha-1,2-mannosyltransferase [EC:2.4.1.131]
N-Glycan biosynthesis	ko00510	K03845	alpha-1,3-mannosyltransferase [EC:2.4.1.258]
N-Glycan biosynthesis	ko00510	K03846	alpha-1,2-mannosyltransferase [EC:2.4.1.261 2.4.1.259]
N-Glycan biosynthesis	ko00510	K03847	alpha-1,6-mannosyltransferase [EC:2.4.1.260]
N-Glycan biosynthesis	ko00510	K03848	alpha-1,3-glucosyltransferase [EC:2.4.1.267]
N-Glycan biosynthesis	ko00510	K03849	alpha-1,3-glucosyltransferase [EC:2.4.1.265]
N-Glycan biosynthesis	ko00510	K03850	alpha-1,2-glucosyltransferase [EC:2.4.1.256]
N-Glycan biosynthesis	ko00510	K07151	dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]
N-Glycan biosynthesis	ko00510	K12666	oligosaccharyltransferase complex subunit alpha (ribophorin I)
N-Glycan biosynthesis	ko00510	K12667	oligosaccharyltransferase complex subunit delta (ribophorin II)
N-Glycan biosynthesis	ko00510	K12668	oligosaccharyltransferase complex subunit epsilon
N-Glycan biosynthesis	ko00510	K12669	oligosaccharyltransferase complex subunit gamma
N-Glycan biosynthesis	ko00510	K12670	oligosaccharyltransferase complex subunit beta
N-Glycan biosynthesis	ko00510	K00730	oligosaccharyl transferase complex subunit OST4
N-Glycan biosynthesis	ko00510	K12691	oligosaccharyl transferase complex subunit OST5
N-Glycan biosynthesis	ko00510	K07252	dolichyldiphosphatase [EC:3.6.1.43]
N-Glycan biosynthesis	ko00510	K01228	mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]
N-Glycan biosynthesis	ko00510	K05546	mannosyl-oligosaccharide alpha-1,3-glucosidase [EC:3.2.1.207]
N-Glycan biosynthesis	ko00510	K01230	mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]
N-Glycan biosynthesis	ko00510	K00726	alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101]
N-Glycan biosynthesis	ko00510	K01231	alpha-mannosidase II [EC:3.2.1.114]
N-Glycan biosynthesis	ko00510	K00736	alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]
N-Glycan biosynthesis	ko00510	K00717	glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]
N-Glycan biosynthesis	ko00510	K07966	beta-1,4-galactosyltransferase 1 [EC:2.4.1.- 2.4.1.38 2.4.1.90 2.4.1.22]
N-Glycan biosynthesis	ko00510	K07967	beta-1,4-galactosyltransferase 2 [EC:2.4.1.- 2.4.1.38 2.4.1.90 2.4.1.22]
N-Glycan biosynthesis	ko00510	K07968	beta-1,4-galactosyltransferase 3 [EC:2.4.1.- 2.4.1.38 2.4.1.90]
N-Glycan biosynthesis	ko00510	K00778	beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 1) [EC:2.4.99.1]
N-Glycan biosynthesis	ko00510	K00779	beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 2) [EC:2.4.99.1]
N-Glycan biosynthesis	ko00510	K00737	beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]
N-Glycan biosynthesis	ko00510	K00738	alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B [EC:2.4.1.145]
N-Glycan biosynthesis	ko00510	K00744	alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [EC:2.4.1.155]
N-Glycan biosynthesis	ko00510	K09661	mannosyl alpha-1,6-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B [EC:2.4.1.-]
N-Glycan biosynthesis	ko00510	K13748	alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.145 2.4.1.201]
Other glycan degradation	ko00511	K01186	sialidase-1 [EC:3.2.1.18]
Other glycan degradation	ko00511	K12357	sialidase-2/3/4 [EC:3.2.1.18]
Other glycan degradation	ko00511	K23550	sialidase [EC:3.2.1.18]
Other glycan degradation	ko00511	K01190	beta-galactosidase [EC:3.2.1.23]
Other glycan degradation	ko00511	K12111	evolved beta-galactosidase subunit alpha [EC:3.2.1.23]
Other glycan degradation	ko00511	K12112	evolved beta-galactosidase subunit beta
Other glycan degradation	ko00511	K12309	beta-galactosidase [EC:3.2.1.23]
Other glycan degradation	ko00511	K12373	hexosaminidase [EC:3.2.1.52]
Other glycan degradation	ko00511	K14459	hexosaminidase [EC:3.2.1.52]
Other glycan degradation	ko00511	K20730	beta-hexosaminidase Fdl [EC:3.2.1.52]
Other glycan degradation	ko00511	K01191	alpha-mannosidase [EC:3.2.1.24]
Other glycan degradation	ko00511	K12311	lysosomal alpha-mannosidase [EC:3.2.1.24]
Other glycan degradation	ko00511	K12312	epididymis-specific alpha-mannosidase [EC:3.2.1.24]
Other glycan degradation	ko00511	K01192	beta-mannosidase [EC:3.2.1.25]
Other glycan degradation	ko00511	K01227	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]
Other glycan degradation	ko00511	K01206	alpha-L-fucosidase [EC:3.2.1.51]
Other glycan degradation	ko00511	K15923	alpha-L-fucosidase 2 [EC:3.2.1.51]
Other glycan degradation	ko00511	K01444	N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]
Other glycan degradation	ko00511	K01201	glucosylceramidase [EC:3.2.1.45]
Other glycan degradation	ko00511	K17108	non-lysosomal glucosylceramidase [EC:3.2.1.45]
Mucin type O-glycan biosynthesis	ko00512	K00710	polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
Mucin type O-glycan biosynthesis	ko00512	K00731	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122]
Mucin type O-glycan biosynthesis	ko00512	K09653	C1GALT1-specific chaperone 1 [EC:2.4.1.-]
Mucin type O-glycan biosynthesis	ko00512	K00727	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase [EC:2.4.1.102]
Mucin type O-glycan biosynthesis	ko00512	K09662	N-acetylglucosaminyltransferase 3, mucin type [EC:2.4.1.-]
Mucin type O-glycan biosynthesis	ko00512	K09663	beta-1,6-N-acetylglucosaminyltransferase 4 [EC:2.4.1.-]
Mucin type O-glycan biosynthesis	ko00512	K00780	beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4A) [EC:2.4.99.4]
Mucin type O-glycan biosynthesis	ko00512	K03368	beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4B) [EC:2.4.99.4]
Mucin type O-glycan biosynthesis	ko00512	K03479	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7A) [EC:2.4.99.3]
Mucin type O-glycan biosynthesis	ko00512	K00739	acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase [EC:2.4.1.147]
Mucin type O-glycan biosynthesis	ko00512	K09905	beta-1,4-galactosyltransferase 5 [EC:2.4.1.-]
Various types of N-glycan biosynthesis	ko00513	K07432	beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]
Various types of N-glycan biosynthesis	ko00513	K07441	beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]
Various types of N-glycan biosynthesis	ko00513	K03842	beta-1,4-mannosyltransferase [EC:2.4.1.142]
