Pathway_name	Pathway_number	KOrtholog	Enzyme_name
Fatty acid biosynthesis	ko00061	K11262	acetyl-CoA carboxylase / biotin carboxylase 1 [EC:2.1.3.15 6.3.4.14 6.4.1.2]
Fatty acid biosynthesis	ko00061	K01946	acetyl-CoA carboxylase / biotin carboxylase 2 [EC:2.1.3.15 6.3.4.14 6.4.1.2]
Fatty acid biosynthesis	ko00061	K01962	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:2.1.3.15 6.4.1.2]
Fatty acid biosynthesis	ko00061	K02160	acetyl-CoA carboxylase biotin carboxyl carrier protein
Fatty acid biosynthesis	ko00061	K01961	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.3.4.14 6.4.1.2]
Fatty acid biosynthesis	ko00061	K01963	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:2.1.3.15 6.4.1.2]
Fatty acid biosynthesis	ko00061	K11263	acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.3.4.14 6.4.1.3 6.4.1.2]
Fatty acid biosynthesis	ko00061	K18472	acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:2.1.3.15 6.4.1.3 6.4.1.2]
Fatty acid biosynthesis	ko00061	K18660	malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
Fatty acid biosynthesis	ko00061	K00645	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
Fatty acid biosynthesis	ko00061	K00665	fatty acid synthase, animal type [EC:2.3.1.85]
Fatty acid biosynthesis	ko00061	K00668	fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]
Fatty acid biosynthesis	ko00061	K00667	fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]
Fatty acid biosynthesis	ko00061	K11533	fatty acid synthase, bacteria type [EC:2.3.1.-]
Fatty acid biosynthesis	ko00061	K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
Fatty acid biosynthesis	ko00061	K18473	acetoacetyl-[acyl-carrier protein] synthase [EC:2.3.1.180]
Fatty acid biosynthesis	ko00061	K00647	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
Fatty acid biosynthesis	ko00061	K09458	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
Fatty acid biosynthesis	ko00061	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
Fatty acid biosynthesis	ko00061	K11539	carbonyl reductase 4 / 3-oxoacyl-[acyl-carrier protein] reductase beta subunit [EC:1.1.1.-]
Fatty acid biosynthesis	ko00061	K13370	17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) / 3-oxoacyl-[acyl-carrier protein] reductase alpha subunit [EC:1.1.1.239 1.1.1.62]
Fatty acid biosynthesis	ko00061	K01716	3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:5.3.3.14 4.2.1.59]
Fatty acid biosynthesis	ko00061	K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
Fatty acid biosynthesis	ko00061	K16363	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59 3.5.1.108]
Fatty acid biosynthesis	ko00061	K22540	3-hydroxyacyl-thioester dehydratase, animal type [EC:4.2.1.-]
Fatty acid biosynthesis	ko00061	K22541	3-hydroxyacyl-thioester dehydratase, fungi type [EC:4.2.1.-]
Fatty acid biosynthesis	ko00061	K00208	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.10 1.3.1.9]
Fatty acid biosynthesis	ko00061	K02371	enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]
Fatty acid biosynthesis	ko00061	K10780	enoyl-[acyl-carrier protein] reductase III [EC:1.3.1.104]
Fatty acid biosynthesis	ko00061	K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.44 1.3.1.9]
Fatty acid biosynthesis	ko00061	K07512	mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase [EC:1.3.1.38 1.3.1.-]
Fatty acid biosynthesis	ko00061	K18474	trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:5.3.3.14]
Fatty acid biosynthesis	ko00061	K10781	fatty acyl-ACP thioesterase B [EC:3.1.2.21 3.1.2.14]
Fatty acid biosynthesis	ko00061	K01071	medium-chain acyl-[acyl-carrier-protein] hydrolase [EC:3.1.2.21]
Fatty acid biosynthesis	ko00061	K10782	fatty acyl-ACP thioesterase A [EC:3.1.2.14]
Fatty acid biosynthesis	ko00061	K03921	acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.26 1.14.19.11 1.14.19.2]
Fatty acid biosynthesis	ko00061	K03922	acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2]
Fatty acid biosynthesis	ko00061	K01897	long-chain acyl-CoA synthetase [EC:6.2.1.3]
Fatty acid biosynthesis	ko00061	K15013	long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3]
Fatty acid elongation	ko00062	K07508	acetyl-CoA acyltransferase 2 [EC:2.3.1.16]
Fatty acid elongation	ko00062	K07509	acetyl-CoA acyltransferase [EC:2.3.1.16]
Fatty acid elongation	ko00062	K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
Fatty acid elongation	ko00062	K07515	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.211 4.2.1.17]
