Pathway_name	Pathway_number	KOrtholog	Enzyme_name
ABC transporters	ko02010	K02048	sulfate/thiosulfate transport system substrate-binding protein
ABC transporters	ko02010	K23163	sulfate/thiosulfate transport system substrate-binding protein
ABC transporters	ko02010	K02046	sulfate/thiosulfate transport system permease protein
ABC transporters	ko02010	K02047	sulfate/thiosulfate transport system permease protein
ABC transporters	ko02010	K02045	sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]
ABC transporters	ko02010	K05772	tungstate transport system substrate-binding protein
ABC transporters	ko02010	K05773	tungstate transport system permease protein
ABC transporters	ko02010	K06857	tungstate transport system ATP-binding protein [EC:7.3.2.6]
ABC transporters	ko02010	K15495	molybdate/tungstate transport system substrate-binding protein
ABC transporters	ko02010	K15496	molybdate/tungstate transport system permease protein
ABC transporters	ko02010	K15497	molybdate/tungstate transport system ATP-binding protein [EC:7.3.2.6 7.3.2.5]
ABC transporters	ko02010	K15576	nitrate/nitrite transport system substrate-binding protein
ABC transporters	ko02010	K15577	nitrate/nitrite transport system permease protein
ABC transporters	ko02010	K15578	nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]
ABC transporters	ko02010	K15579	nitrate/nitrite transport system ATP-binding protein
ABC transporters	ko02010	K11950	bicarbonate transport system substrate-binding protein
ABC transporters	ko02010	K11951	bicarbonate transport system permease protein
ABC transporters	ko02010	K11952	bicarbonate transport system ATP-binding protein [EC:3.6.3.-]
ABC transporters	ko02010	K11953	bicarbonate transport system ATP-binding protein [EC:3.6.3.-]
ABC transporters	ko02010	K15551	taurine transport system substrate-binding protein
ABC transporters	ko02010	K15552	taurine transport system permease protein
ABC transporters	ko02010	K10831	taurine transport system ATP-binding protein [EC:7.6.2.7]
ABC transporters	ko02010	K15553	sulfonate transport system substrate-binding protein
ABC transporters	ko02010	K15554	sulfonate transport system permease protein
ABC transporters	ko02010	K15555	sulfonate transport system ATP-binding protein [EC:3.6.3.-]
ABC transporters	ko02010	K15598	putative hydroxymethylpyrimidine transport system substrate-binding protein
ABC transporters	ko02010	K15599	putative hydroxymethylpyrimidine transport system permease protein
ABC transporters	ko02010	K15600	putative hydroxymethylpyrimidine transport system ATP-binding protein
ABC transporters	ko02010	K15556	phthalate transport system substrate-binding protein
ABC transporters	ko02010	K15557	phthalate transport system permease protein
ABC transporters	ko02010	K15558	phthalate transport system ATP-binding protein
ABC transporters	ko02010	K02020	molybdate transport system substrate-binding protein
ABC transporters	ko02010	K02018	molybdate transport system permease protein
ABC transporters	ko02010	K02017	molybdate transport system ATP-binding protein [EC:7.3.2.5]
ABC transporters	ko02010	K05776	molybdate transport system ATP-binding protein
ABC transporters	ko02010	K02012	iron(III) transport system substrate-binding protein
ABC transporters	ko02010	K02011	iron(III) transport system permease protein
ABC transporters	ko02010	K02010	iron(III) transport system ATP-binding protein [EC:7.2.2.7]
ABC transporters	ko02010	K02064	thiamine transport system substrate-binding protein
ABC transporters	ko02010	K02063	thiamine transport system permease protein
ABC transporters	ko02010	K02062	thiamine transport system ATP-binding protein
ABC transporters	ko02010	K11069	spermidine/putrescine transport system substrate-binding protein
ABC transporters	ko02010	K11070	spermidine/putrescine transport system permease protein
ABC transporters	ko02010	K11071	spermidine/putrescine transport system permease protein
ABC transporters	ko02010	K11072	spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]
ABC transporters	ko02010	K11073	putrescine transport system substrate-binding protein
ABC transporters	ko02010	K11074	putrescine transport system permease protein
ABC transporters	ko02010	K11075	putrescine transport system permease protein
ABC transporters	ko02010	K11076	putrescine transport system ATP-binding protein
ABC transporters	ko02010	K11077	mannopine transport system substrate-binding protein
ABC transporters	ko02010	K11078	mannopine transport system permease protein
ABC transporters	ko02010	K11079	mannopine transport system permease protein
ABC transporters	ko02010	K11080	mannopine transport system ATP-binding protein
ABC transporters	ko02010	K11081	2-aminoethylphosphonate transport system substrate-binding protein
ABC transporters	ko02010	K11082	2-aminoethylphosphonate transport system permease protein
ABC transporters	ko02010	K11083	2-aminoethylphosphonate transport system permease protein
ABC transporters	ko02010	K11084	2-aminoethylphosphonate transport system ATP-binding protein
ABC transporters	ko02010	K02002	glycine betaine/proline transport system substrate-binding protein
ABC transporters	ko02010	K02001	glycine betaine/proline transport system permease protein
ABC transporters	ko02010	K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]
ABC transporters	ko02010	K05845	osmoprotectant transport system substrate-binding protein
ABC transporters	ko02010	K05846	osmoprotectant transport system permease protein
ABC transporters	ko02010	K05847	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]
ABC transporters	ko02010	K10108	maltose/maltodextrin transport system substrate-binding protein
ABC transporters	ko02010	K10109	maltose/maltodextrin transport system permease protein
ABC transporters	ko02010	K10110	maltose/maltodextrin transport system permease protein
ABC transporters	ko02010	K10111	multiple sugar transport system ATP-binding protein [EC:3.6.3.-]
ABC transporters	ko02010	K10112	multiple sugar transport system ATP-binding protein
ABC transporters	ko02010	K15770	arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein
ABC transporters	ko02010	K15771	arabinogalactan oligomer / maltooligosaccharide transport system permease protein
ABC transporters	ko02010	K15772	arabinogalactan oligomer / maltooligosaccharide transport system permease protein
ABC transporters	ko02010	K10117	raffinose/stachyose/melibiose transport system substrate-binding protein
ABC transporters	ko02010	K10118	raffinose/stachyose/melibiose transport system permease protein
ABC transporters	ko02010	K10119	raffinose/stachyose/melibiose transport system permease protein
ABC transporters	ko02010	K10188	lactose/L-arabinose transport system substrate-binding protein
ABC transporters	ko02010	K10189	lactose/L-arabinose transport system permease protein
ABC transporters	ko02010	K10190	lactose/L-arabinose transport system permease protein
ABC transporters	ko02010	K10191	lactose/L-arabinose transport system ATP-binding protein
ABC transporters	ko02010	K10227	sorbitol/mannitol transport system substrate-binding protein
ABC transporters	ko02010	K10228	sorbitol/mannitol transport system permease protein
ABC transporters	ko02010	K10229	sorbitol/mannitol transport system permease protein
ABC transporters	ko02010	K10232	alpha-glucoside transport system substrate-binding protein
ABC transporters	ko02010	K10233	alpha-glucoside transport system permease protein
ABC transporters	ko02010	K10234	alpha-glucoside transport system permease protein
ABC transporters	ko02010	K10235	alpha-glucoside transport system ATP-binding protein
ABC transporters	ko02010	K10192	oligogalacturonide transport system substrate-binding protein
ABC transporters	ko02010	K10193	oligogalacturonide transport system permease protein
ABC transporters	ko02010	K10194	oligogalacturonide transport system permease protein
ABC transporters	ko02010	K10195	oligogalacturonide transport system ATP-binding protein
ABC transporters	ko02010	K17241	alpha-1,4-digalacturonate transport system substrate-binding protein
ABC transporters	ko02010	K17242	alpha-1,4-digalacturonate transport system permease protein
ABC transporters	ko02010	K17243	alpha-1,4-digalacturonate transport system permease protein
ABC transporters	ko02010	K17318	putative aldouronate transport system substrate-binding protein
ABC transporters	ko02010	K17319	putative aldouronate transport system permease protein
ABC transporters	ko02010	K17320	putative aldouronate transport system permease protein
ABC transporters	ko02010	K10236	trehalose/maltose transport system substrate-binding protein
ABC transporters	ko02010	K10237	trehalose/maltose transport system permease protein
ABC transporters	ko02010	K10238	trehalose/maltose transport system permease protein
ABC transporters	ko02010	K17311	trehalose transport system substrate-binding protein
ABC transporters	ko02010	K17312	trehalose transport system permease protein
ABC transporters	ko02010	K17313	trehalose transport system permease protein
ABC transporters	ko02010	K17314	trehalose transport system ATP-binding protein
ABC transporters	ko02010	K10200	N-acetylglucosamine transport system substrate-binding protein
ABC transporters	ko02010	K10201	N-acetylglucosamine transport system permease protein
ABC transporters	ko02010	K10202	N-acetylglucosamine transport system permease protein
ABC transporters	ko02010	K10240	cellobiose transport system substrate-binding protein
ABC transporters	ko02010	K10241	cellobiose transport system permease protein
ABC transporters	ko02010	K10242	cellobiose transport system permease protein
ABC transporters	ko02010	K17329	N,N'-diacetylchitobiose transport system substrate-binding protein
ABC transporters	ko02010	K17330	N,N'-diacetylchitobiose transport system permease protein
ABC transporters	ko02010	K17331	N,N'-diacetylchitobiose transport system permease protein
ABC transporters	ko02010	K17244	putative chitobiose transport system substrate-binding protein
ABC transporters	ko02010	K17245	putative chitobiose transport system permease protein
ABC transporters	ko02010	K17246	putative chitobiose transport system permease protein
ABC transporters	ko02010	K17234	arabinosaccharide transport system substrate-binding protein
ABC transporters	ko02010	K17235	arabinosaccharide transport system permease protein
ABC transporters	ko02010	K17236	arabinosaccharide transport system permease protein
ABC transporters	ko02010	K17326	xylobiose transport system substrate-binding protein
ABC transporters	ko02010	K17327	xylobiose transport system permease protein
ABC transporters	ko02010	K17328	xylobiose transport system permease protein
ABC transporters	ko02010	K23545	sugar transport system substrate-binding protein
ABC transporters	ko02010	K23546	sugar transport system permease protein
ABC transporters	ko02010	K23547	sugar transport system ATP-binding protein
ABC transporters	ko02010	K10546	putative multiple sugar transport system substrate-binding protein
ABC transporters	ko02010	K10547	putative multiple sugar transport system permease protein
ABC transporters	ko02010	K10548	putative multiple sugar transport system ATP-binding protein [EC:7.5.2.-]
ABC transporters	ko02010	K07323	phospholipid transport system substrate-binding protein
ABC transporters	ko02010	K02067	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
ABC transporters	ko02010	K02066	phospholipid/cholesterol/gamma-HCH transport system permease protein
ABC transporters	ko02010	K07122	phospholipid transport system transporter-binding protein
ABC transporters	ko02010	K02065	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
ABC transporters	ko02010	K07335	basic membrane protein A and related proteins
ABC transporters	ko02010	K23535	general nucleoside transport system permease protein
ABC transporters	ko02010	K23536	general nucleoside transport system permease protein
ABC transporters	ko02010	K23537	general nucleoside transport system ATP-binding protein
ABC transporters	ko02010	K10196	glucose/arabinose transport system substrate-binding protein
ABC transporters	ko02010	K10197	glucose/arabinose transport system permease protein
ABC transporters	ko02010	K10198	glucose/arabinose transport system permease protein
ABC transporters	ko02010	K10199	glucose/arabinose transport system ATP-binding protein
ABC transporters	ko02010	K17315	glucose/mannose transport system substrate-binding protein
ABC transporters	ko02010	K17316	glucose/mannose transport system permease protein
ABC transporters	ko02010	K17317	glucose/mannose transport system permease protein
ABC transporters	ko02010	K10439	ribose transport system substrate-binding protein
ABC transporters	ko02010	K10440	ribose transport system permease protein
ABC transporters	ko02010	K10441	ribose transport system ATP-binding protein [EC:7.5.2.7]
ABC transporters	ko02010	K06726	D-ribose pyranase [EC:5.4.99.62]
ABC transporters	ko02010	K10537	L-arabinose transport system substrate-binding protein
ABC transporters	ko02010	K10538	L-arabinose transport system permease protein
ABC transporters	ko02010	K10539	L-arabinose transport system ATP-binding protein [EC:7.5.2.12]
ABC transporters	ko02010	K23508	galactofuranose transport system substrate-binding protein
ABC transporters	ko02010	K23509	galactofuranose transport system permease protein
ABC transporters	ko02010	K10820	galactofuranose transport system ATP-binding protein [EC:7.5.2.9]
ABC transporters	ko02010	K10540	methyl-galactoside transport system substrate-binding protein
ABC transporters	ko02010	K10541	methyl-galactoside transport system permease protein
ABC transporters	ko02010	K10542	methyl-galactoside transport system ATP-binding protein [EC:7.5.2.11]
ABC transporters	ko02010	K10543	D-xylose transport system substrate-binding protein
ABC transporters	ko02010	K10544	D-xylose transport system permease protein
ABC transporters	ko02010	K10545	D-xylose transport system ATP-binding protein [EC:7.5.2.10]
ABC transporters	ko02010	K10549	D-allose transport system substrate-binding protein
ABC transporters	ko02010	K10550	D-allose transport system permease protein
ABC transporters	ko02010	K10551	D-allose transport system ATP-binding protein [EC:7.5.2.8]
ABC transporters	ko02010	K10552	fructose transport system substrate-binding protein
ABC transporters	ko02010	K10553	fructose transport system permease protein
