Pathway_name	Pathway_number	KOrtholog	Enzyme_name
DNA replication	ko03030	K02345	DNA polymerase III subunit theta [EC:2.7.7.7]
DNA replication	ko03030	K02342	DNA polymerase III subunit epsilon [EC:2.7.7.7]
DNA replication	ko03030	K14159	ribonuclease HI / DNA polymerase III subunit epsilon [EC:2.7.7.7 3.1.26.4]
DNA replication	ko03030	K02337	DNA polymerase III subunit alpha [EC:2.7.7.7]
DNA replication	ko03030	K03763	DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]
DNA replication	ko03030	K02343	DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
DNA replication	ko03030	K02341	DNA polymerase III subunit delta' [EC:2.7.7.7]
DNA replication	ko03030	K02340	DNA polymerase III subunit delta [EC:2.7.7.7]
DNA replication	ko03030	K02344	DNA polymerase III subunit psi [EC:2.7.7.7]
DNA replication	ko03030	K02339	DNA polymerase III subunit chi [EC:2.7.7.7]
DNA replication	ko03030	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]
DNA replication	ko03030	K02314	replicative DNA helicase [EC:3.6.4.12]
DNA replication	ko03030	K02316	DNA primase [EC:2.7.7.101]
DNA replication	ko03030	K03111	single-strand DNA-binding protein
DNA replication	ko03030	K03469	ribonuclease HI [EC:3.1.26.4]
DNA replication	ko03030	K22316	ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.3.73 3.1.26.4]
DNA replication	ko03030	K03470	ribonuclease HII [EC:3.1.26.4]
DNA replication	ko03030	K03471	ribonuclease HIII [EC:3.1.26.4]
DNA replication	ko03030	K02335	DNA polymerase I [EC:2.7.7.7]
DNA replication	ko03030	K01972	DNA ligase (NAD+) [EC:6.5.1.2]
DNA replication	ko03030	K02319	DNA polymerase, archaea type [EC:2.7.7.7]
DNA replication	ko03030	K02323	DNA polymerase II small subunit [EC:2.7.7.7]
DNA replication	ko03030	K02322	DNA polymerase II large subunit [EC:2.7.7.7]
DNA replication	ko03030	K10726	replicative DNA helicase Mcm [EC:3.6.4.-]
DNA replication	ko03030	K02683	DNA primase small subunit [EC:2.7.7.102]
DNA replication	ko03030	K18882	DNA primase large subunit
DNA replication	ko03030	K07466	replication factor A1
DNA replication	ko03030	K04802	proliferating cell nuclear antigen
DNA replication	ko03030	K04801	replication factor C small subunit
DNA replication	ko03030	K04800	replication factor C large subunit
DNA replication	ko03030	K10742	DNA replication ATP-dependent helicase Dna2 [EC:3.6.4.12]
DNA replication	ko03030	K04799	flap endonuclease-1 [EC:3.-.-.-]
DNA replication	ko03030	K10747	DNA ligase 1 [EC:6.5.1.7 6.5.1.6 6.5.1.1]
DNA replication	ko03030	K02320	DNA polymerase alpha subunit A [EC:2.7.7.7]
DNA replication	ko03030	K02321	DNA polymerase alpha subunit B
DNA replication	ko03030	K02684	DNA primase small subunit [EC:2.7.7.102]
DNA replication	ko03030	K02685	DNA primase large subunit
DNA replication	ko03030	K02327	DNA polymerase delta subunit 1 [EC:2.7.7.7]
DNA replication	ko03030	K02328	DNA polymerase delta subunit 2
DNA replication	ko03030	K03504	DNA polymerase delta subunit 3
DNA replication	ko03030	K03505	DNA polymerase delta subunit 4
DNA replication	ko03030	K02324	DNA polymerase epsilon subunit 1 [EC:2.7.7.7]
DNA replication	ko03030	K02325	DNA polymerase epsilon subunit 2 [EC:2.7.7.7]
DNA replication	ko03030	K02326	DNA polymerase epsilon subunit 3 [EC:2.7.7.7]
DNA replication	ko03030	K03506	DNA polymerase epsilon subunit 4 [EC:2.7.7.7]
DNA replication	ko03030	K02540	DNA replication licensing factor MCM2 [EC:3.6.4.12]
DNA replication	ko03030	K02541	DNA replication licensing factor MCM3 [EC:3.6.4.12]
DNA replication	ko03030	K02212	DNA replication licensing factor MCM4 [EC:3.6.4.12]
DNA replication	ko03030	K02209	DNA replication licensing factor MCM5 [EC:3.6.4.12]
DNA replication	ko03030	K02542	DNA replication licensing factor MCM6 [EC:3.6.4.12]
DNA replication	ko03030	K02210	DNA replication licensing factor MCM7 [EC:3.6.4.12]
DNA replication	ko03030	K10739	replication factor A2
DNA replication	ko03030	K10741	replication factor A4
DNA replication	ko03030	K10740	replication factor A3
DNA replication	ko03030	K10754	replication factor C subunit 1
DNA replication	ko03030	K10755	replication factor C subunit 2/4
DNA replication	ko03030	K10756	replication factor C subunit 3/5
DNA replication	ko03030	K10743	ribonuclease H2 subunit A [EC:3.1.26.4]
DNA replication	ko03030	K10744	ribonuclease H2 subunit B
DNA replication	ko03030	K10745	ribonuclease H2 subunit C
Base excision repair	ko03410	K10563	formamidopyrimidine-DNA glycosylase [EC:4.2.99.18 3.2.2.23]
Base excision repair	ko03410	K05522	endonuclease VIII [EC:4.2.99.18 3.2.2.-]
Base excision repair	ko03410	K03660	N-glycosylase/DNA lyase [EC:4.2.99.18 3.2.2.-]
Base excision repair	ko03410	K10773	endonuclease III [EC:4.2.99.18]
Base excision repair	ko03410	K10567	endonuclease VIII-like 1 [EC:4.2.99.18 3.2.2.-]
Base excision repair	ko03410	K10568	endonuclease VIII-like 2 [EC:4.2.99.18 3.2.2.-]
Base excision repair	ko03410	K10569	endonuclease VIII-like 3
Base excision repair	ko03410	K01247	DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
Base excision repair	ko03410	K13529	AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
Base excision repair	ko03410	K01246	DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
Base excision repair	ko03410	K03649	double-stranded uracil-DNA glycosylase [EC:3.2.2.28]
Base excision repair	ko03410	K21929	uracil-DNA glycosylase [EC:3.2.2.27]
Base excision repair	ko03410	K03648	uracil-DNA glycosylase [EC:3.2.2.27]
Base excision repair	ko03410	K10800	single-strand selective monofunctional uracil DNA glycosylase [EC:3.2.2.-]
Base excision repair	ko03410	K03575	A/G-specific adenine glycosylase [EC:3.2.2.31]
Base excision repair	ko03410	K03652	DNA-3-methyladenine glycosylase [EC:3.2.2.21]
Base excision repair	ko03410	K10801	methyl-CpG-binding domain protein 4 [EC:3.2.2.-]
Base excision repair	ko03410	K20813	thymine-DNA glycosylase [EC:3.2.2.29]
Base excision repair	ko03410	K01142	exodeoxyribonuclease III [EC:3.1.11.2]
Base excision repair	ko03410	K01151	deoxyribonuclease IV [EC:3.1.21.2]
Base excision repair	ko03410	K10771	AP endonuclease 1 [EC:4.2.99.18]
Base excision repair	ko03410	K10772	AP endonuclease 2 [EC:4.2.99.18]
Base excision repair	ko03410	K02335	DNA polymerase I [EC:2.7.7.7]
Base excision repair	ko03410	K07462	single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
Base excision repair	ko03410	K02330	DNA polymerase beta [EC:4.2.99.- 2.7.7.7]
Base excision repair	ko03410	K03512	DNA polymerase lambda [EC:4.2.99.- 2.7.7.7]
Base excision repair	ko03410	K10802	high mobility group protein B1
Base excision repair	ko03410	K10803	DNA-repair protein XRCC1
Base excision repair	ko03410	K04802	proliferating cell nuclear antigen
Base excision repair	ko03410	K02327	DNA polymerase delta subunit 1 [EC:2.7.7.7]
Base excision repair	ko03410	K02328	DNA polymerase delta subunit 2
Base excision repair	ko03410	K03504	DNA polymerase delta subunit 3
Base excision repair	ko03410	K03505	DNA polymerase delta subunit 4
Base excision repair	ko03410	K02324	DNA polymerase epsilon subunit 1 [EC:2.7.7.7]
Base excision repair	ko03410	K02325	DNA polymerase epsilon subunit 2 [EC:2.7.7.7]
Base excision repair	ko03410	K02326	DNA polymerase epsilon subunit 3 [EC:2.7.7.7]
Base excision repair	ko03410	K03506	DNA polymerase epsilon subunit 4 [EC:2.7.7.7]
Base excision repair	ko03410	K01972	DNA ligase (NAD+) [EC:6.5.1.2]
Base excision repair	ko03410	K10747	DNA ligase 1 [EC:6.5.1.7 6.5.1.6 6.5.1.1]
Base excision repair	ko03410	K10776	DNA ligase 3 [EC:6.5.1.1]
Base excision repair	ko03410	K10798	poly [ADP-ribose] polymerase [EC:2.4.2.30]
Base excision repair	ko03410	K04799	flap endonuclease-1 [EC:3.-.-.-]
Nucleotide excision repair	ko03420	K03723	transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]
Nucleotide excision repair	ko03420	K03701	excinuclease ABC subunit A
Nucleotide excision repair	ko03420	K03702	excinuclease ABC subunit B
Nucleotide excision repair	ko03420	K03703	excinuclease ABC subunit C
Nucleotide excision repair	ko03420	K03657	DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
Nucleotide excision repair	ko03420	K02335	DNA polymerase I [EC:2.7.7.7]
Nucleotide excision repair	ko03420	K01972	DNA ligase (NAD+) [EC:6.5.1.2]
Nucleotide excision repair	ko03420	K03868	RING-box protein 1 [EC:2.3.2.32]
Nucleotide excision repair	ko03420	K10609	cullin 4
Nucleotide excision repair	ko03420	K10610	DNA damage-binding protein 1
Nucleotide excision repair	ko03420	K10140	DNA damage-binding protein 2
Nucleotide excision repair	ko03420	K10838	xeroderma pigmentosum group C-complementing protein
Nucleotide excision repair	ko03420	K10839	UV excision repair protein RAD23
Nucleotide excision repair	ko03420	K10840	centrin-2
Nucleotide excision repair	ko03420	K10570	DNA excision repair protein ERCC-8
Nucleotide excision repair	ko03420	K10841	DNA excision repair protein ERCC-6
Nucleotide excision repair	ko03420	K02202	cyclin-dependent kinase 7 [EC:2.7.11.23 2.7.11.22]
Nucleotide excision repair	ko03420	K10842	CDK-activating kinase assembly factor MAT1
Nucleotide excision repair	ko03420	K06634	cyclin H
Nucleotide excision repair	ko03420	K10843	DNA excision repair protein ERCC-3 [EC:3.6.4.12]
Nucleotide excision repair	ko03420	K10844	DNA excision repair protein ERCC-2 [EC:3.6.4.12]
Nucleotide excision repair	ko03420	K10845	TFIIH basal transcription factor complex TTD-A subunit
Nucleotide excision repair	ko03420	K03141	transcription initiation factor TFIIH subunit 1
Nucleotide excision repair	ko03420	K03142	transcription initiation factor TFIIH subunit 2
Nucleotide excision repair	ko03420	K03143	transcription initiation factor TFIIH subunit 3
Nucleotide excision repair	ko03420	K03144	transcription initiation factor TFIIH subunit 4
Nucleotide excision repair	ko03420	K10846	DNA excision repair protein ERCC-5
Nucleotide excision repair	ko03420	K10847	DNA-repair protein complementing XP-A cells
Nucleotide excision repair	ko03420	K07466	replication factor A1
Nucleotide excision repair	ko03420	K10739	replication factor A2
Nucleotide excision repair	ko03420	K10740	replication factor A3
Nucleotide excision repair	ko03420	K10741	replication factor A4
Nucleotide excision repair	ko03420	K10848	DNA excision repair protein ERCC-4 [EC:3.1.-.-]
Nucleotide excision repair	ko03420	K10849	DNA excision repair protein ERCC-1
Nucleotide excision repair	ko03420	K02327	DNA polymerase delta subunit 1 [EC:2.7.7.7]
Nucleotide excision repair	ko03420	K02328	DNA polymerase delta subunit 2
Nucleotide excision repair	ko03420	K03504	DNA polymerase delta subunit 3
Nucleotide excision repair	ko03420	K03505	DNA polymerase delta subunit 4
