Genus	Sum	Percent	KOrtholog	Host_Genus
g__Acidaminococcus	0	0	K01999	Homo
g__Acidovorax	0	0	K01999	Homo
g__Advenella	0	0	K01999	Homo
g__Agrobacterium	1.706	0.191164523629437	K01999	Homo
g__Atopobium	2.994	0.335490377342634	K01999	Homo
g__Bifidobacterium	0	0	K01999	Homo
g__Citrobacter	0	0	K01999	Homo
g__Desulfovibrio	0.249	0.0279015043280948	K01999	Homo
g__Enterobacter	0.41	0.0459422360422444	K01999	Homo
g__Escherichia	0	0	K01999	Homo
g__Faecalibacterium	0	0	K01999	Homo
g__Fretibacterium	305.942	34.2820965347228	K01999	Homo
g__Janthinobacterium	0	0	K01999	Homo
g__Klebsiella	0	0	K01999	Homo
g__Leptotrichia	11.664	1.30700058828473	K01999	Homo
g__Lysinibacillus	0	0	K01999	Homo
g__Micromonospora	0	0	K01999	Homo
g__Oligotropha	0	0	K01999	Homo
g__Olsenella	12.144	1.36078662072443	K01999	Homo
g__Pantoea	0.157	0.0175925147771521	K01999	Homo
g__Paracoccus	0	0	K01999	Homo
g__Porphyromonas	0.342	0.0383225481132868	K01999	Homo
g__Propionibacterium	265.191	29.7157744348265	K01999	Homo
g__Pseudomonas	6.19	0.693615710003642	K01999	Homo
g__Rahnella	1.083	0.121354735692075	K01999	Homo
g__Ralstonia	9.492	1.06361879149508	K01999	Homo
g__Rhodococcus	0	0	K01999	Homo
g__Rhodopseudomonas	1.95	0.218505756786285	K01999	Homo
g__Selenomonas	4.442	0.497744908535731	K01999	Homo
g__Streptococcus	252.969	28.3462475838306	K01999	Homo
g__Streptosporangium	1.911	0.214135641650559	K01999	Homo
g__Variovorax	3.482	0.39017284365633	K01999	Homo
g__Veillonella	10.107	1.13253214555845	K01999	Homo
Total	892.425	100	K01999	Homo
g__Acidaminococcus	0	0	K01999	Pan
g__Acidovorax	0	0	K01999	Pan
g__Advenella	0.371	0.0892434035654063	K01999	Pan
g__Agrobacterium	0	0	K01999	Pan
g__Atopobium	0	0	K01999	Pan
g__Bifidobacterium	0.219	0.0526800684119245	K01999	Pan
