Genus	Sum	Percent	KOrtholog	Host_Genus
g__Acidaminococcus	0	0	K01999	Homo
g__Acidovorax	0	0	K01999	Homo
g__Advenella	0	0	K01999	Homo
g__Agrobacterium	1.706	0.0954220889271224	K01999	Homo
g__Atopobium	2.994	0.167464088070225	K01999	Homo
g__Bifidobacterium	0.575	0.0321616067603138	K01999	Homo
g__Burkholderia	126.173	7.05726332133752	K01999	Homo
g__Citrobacter	0	0	K01999	Homo
g__Desulfovibrio	0.606	0.0338955368639133	K01999	Homo
g__Enterobacter	0.41	0.0229326239508325	K01999	Homo
g__Escherichia	0	0	K01999	Homo
g__Faecalibacterium	0	0	K01999	Homo
g__Fretibacterium	491.075	27.4674105040367	K01999	Homo
g__Janthinobacterium	0	0	K01999	Homo
g__Klebsiella	0	0	K01999	Homo
g__Leptotrichia	34.668	1.93909318811575	K01999	Homo
g__Lysinibacillus	0	0	K01999	Homo
g__Micromonospora	0	0	K01999	Homo
g__Oligotropha	0	0	K01999	Homo
g__Olsenella	36.196	2.02455916225447	K01999	Homo
g__Pantoea	0.157	0.00878151697629438	K01999	Homo
g__Paracoccus	0	0	K01999	Homo
g__Porphyromonas	0.342	0.0191291643687432	K01999	Homo
g__Propionibacterium	437.719	24.4830371295962	K01999	Homo
g__Pseudomonas	6.19	0.346226688428422	K01999	Homo
g__Rahnella	1.083	0.0605756871676867	K01999	Homo
g__Ralstonia	9.492	0.530918211076346	K01999	Homo
g__Rhodococcus	0	0	K01999	Homo
g__Rhodopseudomonas	1.95	0.109069796839325	K01999	Homo
g__Selenomonas	13.531	0.756832523606619	K01999	Homo
g__Streptococcus	600.918	33.6112841933813	K01999	Homo
g__Streptosporangium	1.911	0.106888400902539	K01999	Homo
g__Variovorax	3.482	0.194759503894631	K01999	Homo
g__Veillonella	16.668	0.932295063445062	K01999	Homo
Total	1787.846	100	K01999	Homo
g__Acidaminococcus	0	0	K01999	Pan
g__Acidovorax	0	0	K01999	Pan
g__Advenella	0.371	0.0892434035654063	K01999	Pan
g__Agrobacterium	0	0	K01999	Pan
g__Atopobium	0	0	K01999	Pan
