Genus	Sum	Percent	KOrtholog	Host_Genus
g__Acidovorax	0	0	K00526	Homo
g__Acinetobacter	1.806	0.372010628875111	K00526	Homo
g__Actinobacillus	0	0	K00526	Homo
g__Advenella	0	0	K00526	Homo
g__Aggregatibacter	67.762	13.9580200630317	K00526	Homo
g__Agrobacterium	0.699	0.143984180278905	K00526	Homo
g__Arcanobacterium	0	0	K00526	Homo
g__Bacteroides	0.066	0.0135950728160339	K00526	Homo
g__Campylobacter	42.517	8.75790471089872	K00526	Homo
g__Capnocytophaga	8.223	1.69382248130678	K00526	Homo
g__Clostridium	0	0	K00526	Homo
g__Corynebacterium	0	0	K00526	Homo
g__Enterobacter	0.473	0.0974313551815766	K00526	Homo
g__Erysipelothrix	0	0	K00526	Homo
g__Escherichia	0	0	K00526	Homo
g__Exiguobacterium	0.437	0.0900158609182854	K00526	Homo
g__Faecalibacterium	0	0	K00526	Homo
g__Filifactor	3.803	0.783364574536017	K00526	Homo
g__Fusobacterium	25.389	5.22977732918615	K00526	Homo
g__Haemophilus	9.149	1.88456547263477	K00526	Homo
g__Klebsiella	0	0	K00526	Homo
g__Kocuria	1.113	0.229262364306754	K00526	Homo
g__Lachnospiraceae_noname	0.182	0.0374894432199724	K00526	Homo
g__Lactobacillus	0	0	K00526	Homo
g__Lactococcus	0.242	0.0498486003254578	K00526	Homo
g__Leptotrichia	6.479	1.33458298144067	K00526	Homo
g__Lysinibacillus	0	0	K00526	Homo
g__Macrococcus	0	0	K00526	Homo
g__Micrococcus	5.753	1.18503718046429	K00526	Homo
g__Micromonospora	0	0	K00526	Homo
g__Morganella	0	0	K00526	Homo
g__Neisseria	61.911	12.7527962592951	K00526	Homo
g__Nitrosomonas	0	0	K00526	Homo
g__Nitrosospira	0	0	K00526	Homo
g__Oligotropha	0	0	K00526	Homo
g__Pantoea	0.077	0.0158609182853729	K00526	Homo
g__Paracoccus	0	0	K00526	Homo
g__Prevotella	0	0	K00526	Homo
g__Propionibacterium	110.223	22.704389560632	K00526	Homo
g__Pseudomonas	5.395	1.1112942097349	K00526	Homo
g__Rhodococcus	0	0	K00526	Homo
g__Rhodopseudomonas	0.163	0.0335757101365687	K00526	Homo
g__Rothia	28.242	5.81745524955198	K00526	Homo
g__Staphylococcus	6.105	1.25754423548314	K00526	Homo
g__Stenotrophomonas	0.109	0.0224524687416318	K00526	Homo
g__Streptococcus	0	0	K00526	Homo
g__Streptomyces	0.361	0.0743609285846705	K00526	Homo
g__Streptosporangium	2.171	0.447195501266814	K00526	Homo
g__Tannerella	43.696	9.0007621480215	K00526	Homo
g__Variovorax	1.053	0.216903207201269	K00526	Homo
g__Veillonella	12.014	2.47471522442169	K00526	Homo
unclassified	39.857	8.2099820792222	K00526	Homo
Total	485.47	100	K00526	Homo
g__Acidovorax	0	0	K00526	Pan
g__Acinetobacter	0	0	K00526	Pan
g__Actinobacillus	0	0	K00526	Pan
g__Advenella	0.197	0.139394025161683	K00526	Pan
g__Aggregatibacter	0	0	K00526	Pan
g__Agrobacterium	0	0	K00526	Pan
g__Arcanobacterium	0	0	K00526	Pan
g__Bacteroides	0	0	K00526	Pan
g__Campylobacter	4.2	2.97185231309172	K00526	Pan
g__Capnocytophaga	0.651	0.460637108529216	K00526	Pan
g__Clostridium	0.175	0.123827179712155	K00526	Pan
g__Corynebacterium	0	0	K00526	Pan
g__Enterobacter	0.94	0.665128851025289	K00526	Pan
g__Erysipelothrix	0	0	K00526	Pan
g__Escherichia	0.41	0.290109392468477	K00526	Pan
g__Exiguobacterium	0	0	K00526	Pan
g__Faecalibacterium	0	0	K00526	Pan
g__Filifactor	1.697	1.20076985126587	K00526	Pan
g__Fusobacterium	25.388	17.9641396487554	K00526	Pan
g__Haemophilus	0	0	K00526	Pan
g__Klebsiella	0	0	K00526	Pan
g__Kocuria	1.809	1.28001924628165	K00526	Pan
g__Lachnospiraceae_noname	0	0	K00526	Pan
g__Lactobacillus	0	0	K00526	Pan
g__Lactococcus	0	0	K00526	Pan
g__Leptotrichia	0	0	K00526	Pan
g__Lysinibacillus	1.206	0.853346164187764	K00526	Pan
g__Macrococcus	0.092	0.06509771733439	K00526	Pan
g__Micrococcus	0	0	K00526	Pan
g__Micromonospora	1.663	1.17671199920751	K00526	Pan
g__Morganella	0.842	0.595785630386482	K00526	Pan
g__Neisseria	0	0	K00526	Pan
g__Nitrosomonas	0	0	K00526	Pan
g__Nitrosospira	0	0	K00526	Pan
g__Oligotropha	0	0	K00526	Pan
g__Pantoea	0	0	K00526	Pan
g__Paracoccus	4.555	3.22304459193637	K00526	Pan
g__Prevotella	0.143	0.101184495421932	K00526	Pan
g__Propionibacterium	0.583	0.412521404412493	K00526	Pan
g__Pseudomonas	0.93	0.658053012184595	K00526	Pan
g__Rhodococcus	0.719	0.508752812645939	K00526	Pan
g__Rhodopseudomonas	0.48	0.339640264353339	K00526	Pan
g__Rothia	0.279	0.197415903655378	K00526	Pan
g__Staphylococcus	0.196	0.138686441277613	K00526	Pan
g__Stenotrophomonas	0.598	0.423135162673535	K00526	Pan
g__Streptococcus	0	0	K00526	Pan
g__Streptomyces	0	0	K00526	Pan
g__Streptosporangium	0	0	K00526	Pan
g__Tannerella	21.68	15.3404186066258	K00526	Pan
g__Variovorax	0	0	K00526	Pan
g__Veillonella	0	0	K00526	Pan
unclassified	71.893	50.8703281774054	K00526	Pan
Total	141.326	100	K00526	Pan
g__Acidovorax	0	0	K00526	Gorilla
g__Acinetobacter	3.062	0.380301334780681	K00526	Gorilla
g__Actinobacillus	3.24	0.402408989121295	K00526	Gorilla
g__Advenella	0	0	K00526	Gorilla
g__Aggregatibacter	209.487	26.0183493531027	K00526	Gorilla
g__Agrobacterium	0	0	K00526	Gorilla
g__Arcanobacterium	0.113	0.0140346344971316	K00526	Gorilla
g__Bacteroides	0.11	0.0136620335812785	K00526	Gorilla
g__Campylobacter	1.342	0.166676809691598	K00526	Gorilla
g__Capnocytophaga	1.14	0.141588348024159	K00526	Gorilla
g__Clostridium	0	0	K00526	Gorilla
g__Corynebacterium	0	0	K00526	Gorilla
g__Enterobacter	0.551	0.0684343682116771	K00526	Gorilla
g__Erysipelothrix	1.781	0.221200743711428	K00526	Gorilla
g__Escherichia	6.797	0.84418947501773	K00526	Gorilla
g__Exiguobacterium	4.012	0.498291624800814	K00526	Gorilla
g__Faecalibacterium	0	0	K00526	Gorilla
g__Filifactor	1.242	0.154256779163163	K00526	Gorilla
