"Taxon"	"Group_Type"	"Combination"	"stat"	"p.value"	"BacDive_Data"	"aggregate_oxygen_tol"	"aggregate_gram_stain"	"oral_related"
"Acidipropionibacterium_acidipropionici"	"Multiple"	"Alouatta:Gorilla"	0.79317217862192	0.001	"TRUE"	"anaerobe"	"NA"	"NA"
"Actinobacillus_pleuropneumoniae"	"Multiple"	"Alouatta:Gorilla"	0.827170191868511	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Actinobacillus_succinogenes"	"Multiple"	"Alouatta:Gorilla"	0.888523316638639	0.001	"TRUE"	"aerobe"	"NA"	"NA"
"Actinomyces_hongkongensis"	"Multiple"	"Gorilla:Homo:Pan"	0.975750986028978	0.001	"TRUE"	"anaerobe"	"NA"	"NA"
"Actinomyces_meyeri"	"Multiple"	"Gorilla:Homo:Pan"	0.992561902627038	0.001	"TRUE"	"anaerobe"	"positive"	"NA"
"Adlercreutzia_equolifaciens"	"Multiple"	"Gorilla:Pan"	0.779057186562522	0.004	"TRUE"	"anaerobe"	"positive"	"NA"
"Aggregatibacter_actinomycetemcomitans"	"Multiple"	"Alouatta:Gorilla"	0.959598601078168	0.001	"TRUE"	"microaerophile"	"NA"	"NA"
"Aggregatibacter_aphrophilus"	"Multiple"	"Alouatta:Gorilla:Homo"	0.899010110111222	0.013	"TRUE"	"microaerophile"	"NA"	"NA"
"Atopobium_parvulum"	"Single"	"Pan"	0.726240103567957	0.007	"TRUE"	"anaerobe"	"NA"	"NA"
"Bacteroides_fragilis"	"Single"	"Pan"	0.660080615495829	0.01	"TRUE"	"anaerobe"	"NA"	"NA"
"Bacteroides_salanitronis"	"Single"	"Pan"	0.559016994374947	0.018	"TRUE"	"anaerobe"	"NA"	"NA"
"Bibersteinia_trehalosi"	"Multiple"	"Alouatta:Gorilla"	0.512989176042577	0.032	"TRUE"	"microaerophile"	"NA"	"NA"
"Campylobacter_curvus"	"Single"	"Alouatta"	0.764532582855054	0.002	"TRUE"	"anaerobe/microaerophile"	"NA"	"NA"
"Capnocytophaga_gingivalis"	"Multiple"	"Alouatta:Homo"	0.853068646077095	0.002	"TRUE"	"anaerobe/microaerophile"	"NA"	"TRUE"
"Capnocytophaga_leadbetteri"	"Single"	"Homo"	0.75657581912536	0.008	"TRUE"	"anaerobe/microaerophile"	"negative"	"TRUE"
"Capnocytophaga_ochracea"	"Single"	"Homo"	0.724995072518528	0.006	"TRUE"	"anaerobe/microaerophile"	"NA"	"TRUE"
"Capnocytophaga_sputigena"	"Multiple"	"Alouatta:Homo"	0.882179624572691	0.001	"TRUE"	"anaerobe/microaerophile"	"NA"	"TRUE"
"Cloacibacillus_porcorum"	"Single"	"Pan"	0.490760068773152	0.02	"TRUE"	"anaerobe"	"negative"	"NA"
"Clostridioides_difficile"	"Single"	"Pan"	0.684928351663049	0.017	"TRUE"	"anaerobe"	"NA"	"NA"
"Cryptobacterium_curtum"	"Multiple"	"Gorilla:Pan"	0.775263632804409	0.002	"TRUE"	"anaerobe"	"positive"	"TRUE"
"Cutibacterium_avidum"	"Single"	"Gorilla"	0.509186659394568	0.02	"TRUE"	"anaerobe/microaerophile"	"NA"	"NA"
"Denitrobacterium_detoxificans"	"Single"	"Pan"	0.679301429524011	0.004	"TRUE"	"anaerobe"	"NA"	"NA"
"Desulfomicrobium_orale"	"Multiple"	"Homo:Pan"	0.901389515401229	0.016	"TRUE"	"anaerobe"	"NA"	"TRUE"
"Eggerthella_lenta"	"Multiple"	"Gorilla:Pan"	0.7669956746493	0.005	"TRUE"	"anaerobe"	"NA"	"NA"
"Enterococcus_faecalis"	"Single"	"Gorilla"	0.474786424147588	0.021	"TRUE"	"microaerophile"	"NA"	"NA"
"Eubacterium_limosum"	"Single"	"Pan"	0.610821637475057	0.005	"TRUE"	"anaerobe"	"NA"	"NA"
"Faecalibacterium_prausnitzii"	"Single"	"Pan"	0.93817658160187	0.001	"TRUE"	"anaerobe"	"NA"	"NA"
"Fermentimonas_caenicola"	"Single"	"Pan"	0.612372435695794	0.002	"TRUE"	"anaerobe"	"negative"	"NA"
"Filifactor_alocis"	"Multiple"	"Homo:Pan"	0.834937767655742	0.015	"TRUE"	"anaerobe"	"NA"	"TRUE"
"Finegoldia_magna"	"Single"	"Pan"	0.581487580327598	0.012	"TRUE"	"anaerobe"	"NA"	"NA"
