Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Acidipropionibacterium	Multiple	1	0	1	0	1	20	0.7641222471305167	0.001	Alouatta:Gorilla:Pan
Acidovorax	Multiple	1	1	1	1	0	26	0.7147514009901564	0.041	Alouatta:Control:Gorilla:Homo
Actinobacillus	Multiple	1	0	1	0	0	7	0.8921556104523999	0.001	Alouatta:Gorilla
Actinomyces	Multiple	1	0	1	1	1	29	0.9990637599780451	0.001	Alouatta:Gorilla:Homo:Pan
Actinoplanes	Single	1	0	0	0	0	1	0.7557699767024876	0.001	Alouatta
Actinopolyspora	Single	0	0	0	0	1	5	0.6465004576389957	0.002	Pan
Adlercreutzia	Multiple	0	0	1	0	1	14	0.612010862715927	0.008	Gorilla:Pan
Aeromicrobium	Single	1	0	0	0	0	1	0.9993547440301894	0.001	Alouatta
Aeromonas	Multiple	1	0	1	0	0	7	0.688367585934441	0.002	Alouatta:Gorilla
Aggregatibacter	Multiple	1	0	1	1	0	19	0.9547175786981886	0.003	Alouatta:Gorilla:Homo
Alistipes	Single	0	0	0	0	1	5	0.4801568545891134	0.01	Pan
Amycolatopsis	Multiple	1	0	0	0	1	9	0.6047880565730211	0.009	Alouatta:Pan
Arthrobacter	Multiple	1	0	1	0	0	7	0.9670537801112803	0.001	Alouatta:Gorilla
Atopobium	Single	0	0	0	0	1	5	0.90282046098718	0.001	Pan
Bacillus	Multiple	1	0	1	0	0	7	0.8209763973490678	0.001	Alouatta:Gorilla
Bacteroides	Single	0	0	0	0	1	5	0.6892037800676742	0.004	Pan
Basfia	Multiple	1	0	1	0	0	7	0.8931231993760207	0.001	Alouatta:Gorilla
Bibersteinia	Multiple	1	0	1	0	0	7	0.5477225575051661	0.007	Alouatta:Gorilla
Bifidobacterium	Multiple	1	0	1	0	1	20	0.8572335715970953	0.002	Alouatta:Gorilla:Pan
Bordetella	Multiple	1	0	1	1	0	19	0.747938413891727	0.006	Alouatta:Gorilla:Homo
Brachybacterium	Multiple	1	0	1	0	0	7	0.7494648295408357	0.001	Alouatta:Gorilla
Brevibacterium	Multiple	1	0	1	0	0	7	0.614709774534392	0.043	Alouatta:Gorilla
Campylobacter	Multiple	1	0	1	1	1	29	0.9541220441027887	0.001	Alouatta:Gorilla:Homo:Pan
Candidatus Methanomethylophilus	Single	0	0	0	0	1	5	0.9468356617005298	0.001	Pan
Capnocytophaga	Multiple	1	0	0	1	1	21	0.9886316333181482	0.001	Alouatta:Homo:Pan
