Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
X Clostridium  saccharolyticum	Single	0	0	0	0	1	5	0.44721359549995793	0.013	Pan
X Eubacterium  minutum	Multiple	0	0	0	1	1	15	0.9197076709997557	0.001	Homo:Pan
X Eubacterium  sulci	Single	0	0	0	0	1	5	0.7741633110297386	0.003	Pan
X Mannheimia  succiniciproducens	Multiple	1	0	1	0	0	7	0.8931207441237924	0.001	Alouatta:Gorilla
Acidipropionibacterium acidipropionici	Multiple	1	0	1	0	1	20	0.7640863316200338	0.001	Alouatta:Gorilla:Pan
Actinobacillus pleuropneumoniae	Multiple	1	0	1	0	0	7	0.806225774829855	0.001	Alouatta:Gorilla
Actinobacillus succinogenes	Multiple	1	0	1	0	0	7	0.8937048148583516	0.001	Alouatta:Gorilla
Actinobacillus suis	Single	0	0	1	0	0	3	0.5163977794943222	0.017	Gorilla
Actinomyces hongkongensis	Multiple	0	0	1	1	1	25	0.9538558746825887	0.001	Gorilla:Homo:Pan
Actinomyces meyeri	Multiple	0	0	1	1	1	25	0.958749309725327	0.001	Gorilla:Homo:Pan
Actinomyces naeslundii	Multiple	1	0	1	1	1	29	0.9972776492364663	0.001	Alouatta:Gorilla:Homo:Pan
Actinomyces oris	Multiple	1	0	1	1	1	29	0.9974270130723029	0.001	Alouatta:Gorilla:Homo:Pan
Actinomyces radicidentis	Multiple	1	0	1	1	1	29	0.9916698996109675	0.001	Alouatta:Gorilla:Homo:Pan
Actinomyces sp. Chiba101	Multiple	1	0	1	1	1	29	0.9841080792944247	0.001	Alouatta:Gorilla:Homo:Pan
Actinomyces sp. oral taxon 414	Multiple	1	0	1	1	1	29	0.9918196731922655	0.001	Alouatta:Gorilla:Homo:Pan
Actinomyces succiniciruminis	Multiple	1	0	1	1	1	29	0.9913078876632972	0.001	Alouatta:Gorilla:Homo:Pan
Actinopolyspora erythraea	Single	0	0	0	0	1	5	0.6464134235315853	0.001	Pan
Adlercreutzia equolifaciens	Multiple	0	0	1	0	1	14	0.6120089120044033	0.008	Gorilla:Pan
Aeromicrobium choanae	Single	1	0	0	0	0	1	0.8944271909999159	0.001	Alouatta
Aggregatibacter actinomycetemcomitans	Multiple	1	0	1	0	0	7	0.9562640134229129	0.001	Alouatta:Gorilla
Aggregatibacter aphrophilus	Multiple	1	0	1	1	0	19	0.9456630897883754	0.001	Alouatta:Gorilla:Homo
Anaerolineaceae bacterium oral taxon 439	Multiple	0	0	0	1	1	15	0.9581833245082977	0.001	Homo:Pan
Arthrobacter sp. LS16	Single	0	0	1	0	0	3	0.4469487694959058	0.019	Gorilla
Arthrobacter sp. YC RL1	Single	0	0	1	0	0	3	0.5138492649314632	0.02	Gorilla
Atopobium parvulum	Single	0	0	0	0	1	5	0.9023564705572706	0.001	Pan
Bacteroides fragilis	Single	0	0	0	0	1	5	0.6194047214235007	0.003	Pan
Bacteroides salanitronis	Single	0	0	0	0	1	5	0.5477225575051661	0.008	Pan
Bibersteinia trehalosi	Multiple	1	0	1	0	0	7	0.5477225575051661	0.012	Alouatta:Gorilla
Campylobacter concisus	Single	0	0	0	1	0	4	0.677834389404565	0.004	Homo
Campylobacter curvus	Multiple	1	0	0	1	0	8	0.7237468644557459	0.003	Alouatta:Homo
Campylobacter gracilis	Multiple	0	0	1	1	1	25	0.9141551950563259	0.001	Gorilla:Homo:Pan
Candidatus Methanomethylophilus alvus	Single	0	0	0	0	1	5	0.9461985697945976	0.001	Pan
Candidatus Saccharibacteria oral taxon TM7x	Multiple	0	0	0	1	1	15	0.9630499039037371	0.001	Homo:Pan
Capnocytophaga gingivalis	Multiple	1	0	0	1	0	8	0.8993430666209541	0.001	Alouatta:Homo
Capnocytophaga haemolytica	Single	1	0	0	0	0	1	0.9283747957594136	0.001	Alouatta
Capnocytophaga leadbetteri	Single	0	0	0	1	0	4	0.8378110509745386	0.001	Homo
Capnocytophaga ochracea	Single	0	0	0	1	0	4	0.809663335356846	0.002	Homo
Capnocytophaga sp. ChDC OS43	Multiple	1	0	0	1	0	8	0.8721183444533253	0.001	Alouatta:Homo
Capnocytophaga sp. oral taxon 323	Single	0	0	0	1	0	4	0.8310699766077527	0.002	Homo
Capnocytophaga sputigena	Multiple	1	0	0	1	0	8	0.9380526537878788	0.001	Alouatta:Homo
Chryseobacterium gallinarum	Single	0	0	0	0	1	5	0.44721359549995793	0.009	Pan
Cloacibacillus porcorum	Single	0	0	0	0	1	5	0.44721359549995793	0.015	Pan
Clostridioides difficile	Single	0	0	0	0	1	5	0.7496588582390096	0.001	Pan
Coriobacteriaceae bacterium 68 1 3	Single	0	0	0	0	1	5	0.768390706389905	0.002	Pan
Corynebacterium glyciniphilum	Single	0	0	1	0	0	3	0.44721359549995793	0.014	Gorilla
Corynebacterium variabile	Multiple	1	0	1	0	0	7	0.5475842989032921	0.025	Alouatta:Gorilla
Cryptobacterium curtum	Multiple	1	0	1	0	1	20	0.7071067811865476	0.004	Alouatta:Gorilla:Pan
Denitrobacterium detoxificans	Multiple	0	0	1	0	1	14	0.5000974505597209	0.036	Gorilla:Pan
Desulfobulbus propionicus	Multiple	0	0	0	1	1	15	0.6358107573397419	0.008	Homo:Pan
Desulfomicrobium orale	Multiple	0	0	0	1	1	15	0.8372644913562531	0.01	Homo:Pan
Eggerthella lenta	Single	0	0	0	0	1	5	0.7191192456086304	0.001	Pan
Eikenella corrodens	Multiple	1	0	1	1	0	19	0.935449115908857	0.001	Alouatta:Gorilla:Homo
Enterococcus faecalis	Single	0	0	1	0	0	3	0.5773502691896257	0.007	Gorilla
Erysipelothrix rhusiopathiae	Single	0	0	1	0	0	3	0.6359657705738548	0.005	Gorilla
Eubacterium limosum	Single	0	0	0	0	1	5	0.5439500535741539	0.01	Pan
Faecalibacterium prausnitzii	Single	0	0	0	0	1	5	0.8807589609715507	0.001	Pan
Fermentimonas caenicola	Single	0	0	0	0	1	5	0.6324555320336759	0.001	Pan
Filifactor alocis	Multiple	0	0	0	1	1	15	0.7672688422567016	0.005	Homo:Pan
Finegoldia magna	Single	0	0	0	0	1	5	0.7745966692414834	0.001	Pan
Flavonifractor plautii	Single	0	0	0	0	1	5	0.4793786499343444	0.024	Pan
Fretibacterium fastidiosum	Multiple	0	0	0	1	1	15	0.932230362007847	0.001	Homo:Pan
Fusobacterium hwasookii	Multiple	1	0	0	1	1	21	0.8219050726012784	0.002	Alouatta:Homo:Pan
