Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Abiotrophia	Single	0	0	0	1	0	4	0.9070002425987506	0.001	Homo
Actinobacillus	Multiple	1	0	1	0	0	7	0.8939054249619703	0.001	Alouatta:Gorilla
Actinobaculum	Single	1	0	0	0	0	1	0.8604778430856987	0.001	Alouatta
Actinomyces	Multiple	1	0	1	1	1	29	0.998921369208744	0.001	Alouatta:Gorilla:Homo:Pan
Actinopolyspora	Single	0	0	0	0	1	5	0.5177780715642505	0.01	Pan
Aeromicrobium	Single	1	0	0	0	0	1	0.9994296214454583	0.001	Alouatta
Aeromonas	Multiple	1	0	1	0	0	7	0.5703548114788352	0.02	Alouatta:Gorilla
Aggregatibacter	Multiple	1	0	1	1	0	19	0.9520621966358923	0.002	Alouatta:Gorilla:Homo
Anaeroglobus	Single	0	0	0	0	1	5	0.7890022397992533	0.001	Pan
Atopobium	Single	0	0	0	0	1	5	0.8555428831640645	0.001	Pan
Bacteroides	Multiple	1	0	1	1	1	29	0.7119608759719191	0.015	Alouatta:Gorilla:Homo:Pan
Basfia	Multiple	1	0	1	0	0	7	0.7745966692414834	0.001	Alouatta:Gorilla
Bifidobacterium	Multiple	0	0	1	0	1	14	0.5505839779136398	0.042	Gorilla:Pan
Campylobacter	Multiple	1	0	1	1	1	29	0.9676825222605324	0.001	Alouatta:Gorilla:Homo:Pan
Candidatus Methanomethylophilus	Single	0	0	0	0	1	5	0.9418422299040289	0.001	Pan
Capnocytophaga	Multiple	1	0	0	1	0	8	0.9833394315836539	0.001	Alouatta:Homo
Cardiobacterium	Multiple	1	0	0	1	0	8	0.9759210135239572	0.001	Alouatta:Homo
Catonella	Multiple	1	0	0	1	0	8	0.7420102389594412	0.002	Alouatta:Homo
Cloacibacillus	Single	0	0	0	0	1	5	0.4714045207910317	0.012	Pan
Clostridium	Single	0	0	0	0	1	5	0.7510441937669988	0.001	Pan
Collinsella	Single	0	0	0	0	1	5	0.7536520828284179	0.002	Pan
Conchiformibius	Single	0	0	1	0	0	3	0.44721359549995793	0.022	Gorilla
Corynebacterium	Multiple	1	0	1	1	0	19	0.9688249605006322	0.001	Alouatta:Gorilla:Homo
Cryptobacterium	Single	0	0	0	0	1	5	0.6939715424568557	0.003	Pan
Desulfobulbus	Multiple	0	0	0	1	1	15	0.9092135032765913	0.001	Homo:Pan
Desulfomicrobium	Multiple	0	0	0	1	1	15	0.6469865528580807	0.017	Homo:Pan
Dialister	Single	0	0	0	0	1	5	0.7945886457473452	0.002	Pan
Dorea	Single	0	0	1	0	0	3	0.4432778401237883	0.018	Gorilla
Eggerthella	Single	0	0	0	0	1	5	0.7264672945630642	0.002	Pan
Eggerthia	Single	0	0	0	0	1	5	0.819091159720705	0.001	Pan
Eikenella	Multiple	1	0	1	1	0	19	0.941346673099076	0.001	Alouatta:Gorilla:Homo
Erysipelothrix	Multiple	1	0	1	0	0	7	0.5446925852923067	0.03	Alouatta:Gorilla
Eubacterium	Multiple	0	0	0	1	1	15	0.9267478049800353	0.001	Homo:Pan
Exiguobacterium	Single	0	0	1	0	0	3	0.44691457742369434	0.029	Gorilla
Faecalibacterium	Single	0	0	0	0	1	5	0.4384952010039562	0.043	Pan
Filifactor	Multiple	0	0	0	1	1	15	0.6817395398526486	0.016	Homo:Pan
Fusobacterium	Multiple	1	0	1	1	1	29	0.975742997258404	0.001	Alouatta:Gorilla:Homo:Pan
Gemella	Multiple	1	0	0	1	1	21	0.8779210119859417	0.001	Alouatta:Homo:Pan
Glutamicibacter	Single	0	0	1	0	0	3	0.5124025469891335	0.018	Gorilla
Gordonibacter	Single	0	0	0	0	1	5	0.7341928018646715	0.001	Pan
Granulicatella	Single	0	0	0	1	0	4	0.7625595475025315	0.003	Homo
Haemophilus	Multiple	1	0	1	1	0	19	0.8603069630251704	0.001	Alouatta:Gorilla:Homo
Halopolyspora	Single	0	0	0	0	1	5	0.4257930267238068	0.023	Pan
Intestinimonas	Single	0	0	0	0	1	5	0.5773502691896257	0.005	Pan
Johnsonella	Multiple	0	0	1	1	1	25	0.7542980294561158	0.002	Gorilla:Homo:Pan
Jonquetella	Single	0	0	0	0	1	5	0.816496580927726	0.001	Pan
Kingella	Multiple	1	0	0	1	0	8	0.8540533605028368	0.001	Alouatta:Homo
Kurthia	Single	0	0	1	0	0	3	0.44022138692432716	0.032	Gorilla
Lachnoanaerobaculum	Single	0	0	0	0	1	5	0.5412630871838685	0.033	Pan
Lautropia	Multiple	1	0	0	1	0	8	0.9633799506836934	0.001	Alouatta:Homo
Lawsonella	Single	0	0	0	0	1	5	0.9998911903590825	0.001	Pan
Lelliottia	Single	0	0	1	0	0	3	0.51088898664491	0.019	Gorilla
Lentzea	Single	1	0	0	0	0	1	0.6309062966039931	0.004	Alouatta
Leptotrichia	Multiple	1	0	0	1	0	8	0.9547171495011559	0.001	Alouatta:Homo
Leucobacter	Single	1	0	0	0	0	1	0.42793448307183074	0.045	Alouatta
Lysinibacillus	Single	0	0	1	0	0	3	0.575014360089998	0.009	Gorilla
Macrococcus	Single	0	0	1	0	0	3	0.5123224163518488	0.027	Gorilla
Mannheimia	Multiple	1	0	1	0	0	7	0.7071067811865476	0.001	Alouatta:Gorilla
Megasphaera	Single	1	0	0	0	0	1	0.6324555320336759	0.001	Alouatta
Methanobrevibacter	Multiple	0	0	0	1	1	15	0.6802381824386093	0.01	Homo:Pan
Mogibacterium	Single	0	0	0	0	1	5	0.8808309314918609	0.001	Pan
Morganella	Single	0	0	1	0	0	3	0.4463688687614883	0.031	Gorilla
Morococcus	Multiple	0	0	1	1	0	13	0.6998542122237652	0.005	Gorilla:Homo
Necropsobacter	Single	1	0	0	0	0	1	0.764375499589732	0.001	Alouatta
Neisseria	Multiple	1	0	1	1	0	19	0.9809088026011643	0.001	Alouatta:Gorilla:Homo
Olsenella	Multiple	0	0	1	1	1	25	0.9530320303860084	0.001	Gorilla:Homo:Pan
Oribacterium	Single	0	0	0	0	1	5	0.6893495423011651	0.005	Pan
Ottowia	Multiple	1	0	0	1	0	8	0.918843608716234	0.001	Alouatta:Homo
Oxalobacter	Multiple	0	0	1	0	1	14	0.5400617248673217	0.01	Gorilla:Pan
Parabacteroides	Single	0	0	0	0	1	5	0.9981132848707625	0.001	Pan
Paraeggerthella	Single	0	0	0	0	1	5	0.8074607491339926	0.001	Pan
Parvimonas	Multiple	1	0	0	1	1	21	0.7569637747822745	0.003	Alouatta:Homo:Pan
Pasteurella	Single	1	0	0	0	0	1	0.8522880767865727	0.001	Alouatta
Peptoanaerobacter	Multiple	0	0	0	1	1	15	0.8352690695845568	0.001	Homo:Pan
Peptoniphilus	Single	0	0	0	0	1	5	0.5797545906112916	0.004	Pan
Phocaeicola	Multiple	0	0	0	1	1	15	0.8661831434368881	0.001	Homo:Pan
Porphyromonas	Multiple	1	0	0	1	1	21	0.9389610606804113	0.001	Alouatta:Homo:Pan
Prevotella	Multiple	1	0	0	1	1	21	0.9607241813628301	0.001	Alouatta:Homo:Pan
Propionibacterium	Multiple	1	0	1	1	1	29	0.8155115934523104	0.003	Alouatta:Gorilla:Homo:Pan
Pseudopropionibacterium	Multiple	1	0	1	1	1	29	0.9834367857871918	0.001	Alouatta:Gorilla:Homo:Pan
Pseudoramibacter	Multiple	0	0	0	1	1	15	0.8008855121418212	0.003	Homo:Pan
Rothia	Multiple	1	0	1	1	0	19	0.9220342534535461	0.001	Alouatta:Gorilla:Homo
Ruminococcus	Single	0	0	0	0	1	5	0.7246618675465039	0.001	Pan
Saccharopolyspora	Multiple	1	0	0	0	1	9	0.7731531329692466	0.001	Alouatta:Pan
Selenomonas	Multiple	1	0	1	1	1	29	0.9838478523520917	0.001	Alouatta:Gorilla:Homo:Pan
Shuttleworthia	Multiple	0	0	1	0	1	14	0.5758077419271631	0.019	Gorilla:Pan
Slackia	Multiple	0	0	1	0	1	14	0.8126605203751364	0.001	Gorilla:Pan
Solobacterium	Single	0	0	0	0	1	5	0.8755533941334694	0.001	Pan
Streptococcus	Multiple	1	0	1	1	1	29	0.9997222243387383	0.001	Alouatta:Gorilla:Homo:Pan
Tannerella	Multiple	0	0	0	1	1	15	0.9632903432198655	0.001	Homo:Pan
Tessaracoccus	Single	1	0	0	0	0	1	0.8458899152356583	0.001	Alouatta
Tissierella	Single	0	0	0	0	1	5	0.4714045207910317	0.012	Pan
Treponema	Multiple	0	0	0	1	1	15	0.9652826746684472	0.001	Homo:Pan
Vagococcus	Single	0	0	1	0	0	3	0.44500287677385864	0.025	Gorilla
Veillonella	Multiple	1	0	1	1	0	19	0.7281267306061306	0.006	Alouatta:Gorilla:Homo
