Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
X Eubacterium  brachy	Multiple	1	0	0	0	1	9	0.8330386935131772	0.002	Alouatta:Pan
X Eubacterium  infirmum	Single	0	0	0	0	1	5	0.6370285193605515	0.024	Pan
X Eubacterium  minutum	Multiple	0	0	0	1	1	15	0.9056996576572188	0.001	Homo:Pan
X Eubacterium  saphenum	Single	0	0	0	1	0	4	0.6285509901138657	0.033	Homo
X Eubacterium  sulci	Single	0	0	0	0	1	5	0.9258200997725514	0.001	Pan
X Eubacterium  yurii	Single	0	0	0	1	0	4	0.7071067811865476	0.004	Homo
Abiotrophia defectiva	Single	0	0	0	1	0	4	0.7858412917273054	0.003	Homo
Abiotrophia sp. HMSC24B09	Single	0	0	0	1	0	4	0.8574676847598751	0.002	Homo
Actinobacillus pleuropneumoniae	Multiple	1	0	1	0	0	7	0.4629100498862757	0.027	Alouatta:Gorilla
Actinobacillus succinogenes	Multiple	1	0	1	0	0	7	0.7071067811865476	0.001	Alouatta:Gorilla
Actinobaculum sp. oral taxon 183	Single	1	0	0	0	0	1	0.8501022780702728	0.001	Alouatta
Actinomyces cardiffensis	Multiple	0	0	0	1	1	15	0.8115026712006891	0.003	Homo:Pan
Actinomyces culturomici	Single	0	0	0	0	1	5	0.9260034037857648	0.001	Pan
Actinomyces dentalis	Multiple	1	0	1	1	1	29	0.9718132782365654	0.001	Alouatta:Gorilla:Homo:Pan
Actinomyces georgiae	Multiple	0	0	1	0	1	14	0.6085025505006362	0.032	Gorilla:Pan
Actinomyces gerencseriae	Multiple	1	0	1	1	1	29	0.9603707001898367	0.001	Alouatta:Gorilla:Homo:Pan
Actinomyces glycerinitolerans	Single	0	0	1	0	0	3	0.4714045207910317	0.015	Gorilla
Actinomyces israelii	Multiple	1	0	1	1	1	29	0.9627597899608499	0.001	Alouatta:Gorilla:Homo:Pan
Actinomyces johnsonii	Multiple	1	0	1	1	0	19	0.871266764982817	0.001	Alouatta:Gorilla:Homo
Actinomyces massiliensis	Multiple	1	0	0	1	0	8	0.897433866452944	0.001	Alouatta:Homo
