Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Abiotrophia	Single	0	0	0	1	0	4	0.9721209302223612	0.001	Homo
Acinetobacter	Single	0	0	1	0	0	3	0.65624580384101	0.015	Gorilla
Actinobacillus	Multiple	1	0	1	1	0	19	0.7836039099693788	0.001	Alouatta:Gorilla:Homo
Actinobaculum	Multiple	1	0	1	1	0	19	0.8463924409509748	0.018	Alouatta:Gorilla:Homo
Actinomyces	Multiple	1	0	1	1	0	19	0.9975112956418277	0.001	Alouatta:Gorilla:Homo
Actinoplanes	Single	1	0	0	0	0	1	0.5890616069250927	0.004	Alouatta
Aeromicrobium	Single	1	0	0	0	0	1	0.44721359549995793	0.045	Alouatta
Aeromonas	Multiple	1	0	1	0	0	7	0.4931246263979199	0.035	Alouatta:Gorilla
Aggregatibacter	Multiple	1	0	1	1	0	19	0.9548309220230794	0.001	Alouatta:Gorilla:Homo
Alloprevotella	Single	0	0	0	1	0	4	0.7456431607485252	0.01	Homo
Anaeroglobus	Multiple	0	0	1	0	1	14	0.8811947501223737	0.001	Gorilla:Pan
Anelloviridae_noname	Single	0	0	0	0	1	5	0.4197504927816955	0.017	Pan
Arcanobacterium	Single	0	0	1	0	0	3	0.44721359549995793	0.014	Gorilla
Atopobium	Multiple	0	0	0	1	1	15	0.6598085887984595	0.026	Homo:Pan
Bacillus	Single	0	0	1	0	0	3	0.44721359549995793	0.018	Gorilla
Bacteroidetes_noname	Multiple	0	0	0	1	1	15	0.9387835285948337	0.001	Homo:Pan
Bartonella	Single	1	0	0	0	0	1	0.5275920975749389	0.015	Alouatta
Bordetella	Multiple	1	0	0	1	0	8	0.5164507437810665	0.032	Alouatta:Homo
Brevibacterium	Multiple	1	0	1	0	0	7	0.7452349734472508	0.015	Alouatta:Gorilla
Bulleidia	Multiple	0	0	0	1	1	15	0.5498302716889651	0.027	Homo:Pan
Campylobacter	Multiple	1	0	0	1	0	8	0.9526147775844687	0.001	Alouatta:Homo
