Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Abiotrophia_defectiva	Single	0	0	0	1	0	4	0.9721209302223612	0.001	Homo
Acinetobacter_unclassified	Multiple	1	0	1	0	0	7	0.6053740734163073	0.013	Alouatta:Gorilla
Actinobacillus_succinogenes	Single	0	0	1	0	0	3	0.5163977794943222	0.016	Gorilla
Actinobacillus_unclassified	Multiple	1	0	1	1	0	19	0.7608859102526822	0.005	Alouatta:Gorilla:Homo
Actinobaculum_sp_oral_taxon_183	Single	1	0	0	0	0	1	0.6176816610595308	0.007	Alouatta
Actinobaculum_unclassified	Multiple	0	0	1	1	1	25	0.7828813612588127	0.002	Gorilla:Homo:Pan
Actinomyces_cardiffensis	Single	0	0	0	1	0	4	0.9080026624783409	0.001	Homo
Actinomyces_georgiae	Multiple	0	0	1	1	0	13	0.6491907408070093	0.025	Gorilla:Homo
Actinomyces_johnsonii	Multiple	0	0	1	1	0	13	0.929440554326798	0.001	Gorilla:Homo
Actinomyces_massiliensis	Multiple	1	0	0	1	0	8	0.897157271254701	0.001	Alouatta:Homo
Actinomyces_naeslundii	Multiple	0	0	1	1	0	13	0.938995912703789	0.001	Gorilla:Homo
Actinomyces_odontolyticus	Single	0	0	0	1	0	4	0.8852827233240789	0.001	Homo
Actinomyces_oris	Single	0	0	0	1	0	4	0.9751530235091136	0.001	Homo
Actinomyces_timonensis	Single	0	0	0	1	0	4	0.5927489783638191	0.015	Homo
Actinomyces_viscosus	Multiple	0	0	1	1	0	13	0.9876860539073874	0.001	Gorilla:Homo
Actinoplanes_unclassified	Single	1	0	0	0	0	1	0.5890616069250927	0.005	Alouatta
Aeromonas_unclassified	Multiple	1	0	1	0	0	7	0.48996879329284954	0.032	Alouatta:Gorilla
Aggregatibacter_actinomycetemcomitans	Single	1	0	0	0	0	1	0.9844494067620294	0.001	Alouatta
Aggregatibacter_aphrophilus	Multiple	1	0	1	1	0	19	0.8983109234966616	0.003	Alouatta:Gorilla:Homo
Aggregatibacter_segnis	Single	0	0	0	1	0	4	0.9195034029499426	0.001	Homo
Aggregatibacter_unclassified	Single	0	0	1	0	0	3	0.7969561831357955	0.004	Gorilla
Alloprevotella_tannerae	Single	0	0	0	1	0	4	0.6121574927625119	0.019	Homo
Anaeroglobus_geminatus	Multiple	0	0	1	0	1	14	0.8811947501223737	0.001	Gorilla:Pan
Arcanobacterium_haemolyticum	Single	0	0	1	0	0	3	0.44721359549995793	0.012	Gorilla
Atopobium_rimae	Multiple	0	0	1	1	1	25	0.6350006350009525	0.016	Gorilla:Homo:Pan
Bacteroides_pyogenes	Single	1	0	0	0	0	1	0.44174473573301903	0.035	Alouatta
Bacteroidetes_bacterium_oral_taxon_272	Multiple	0	0	0	1	1	15	0.8494797845587057	0.001	Homo:Pan
Bacteroidetes_oral_taxon_274	Multiple	0	0	0	1	1	15	0.944995577417246	0.001	Homo:Pan
Bartonella_unclassified	Single	1	0	0	0	0	1	0.5275920975749389	0.022	Alouatta
Bordetella_unclassified	Multiple	1	0	0	1	0	8	0.5164507437810665	0.028	Alouatta:Homo
Brevibacterium_unclassified	Multiple	1	0	1	0	0	7	0.7451333071671332	0.016	Alouatta:Gorilla
Bulleidia_extructa	Multiple	0	0	0	1	1	15	0.5498302716889651	0.03	Homo:Pan
Campylobacter_concisus	Single	0	0	0	1	0	4	0.46499055497527714	0.048	Homo
Campylobacter_curvus	Multiple	1	0	0	1	0	8	0.7237468644557459	0.003	Alouatta:Homo
Campylobacter_gracilis	Multiple	0	0	1	1	1	25	0.8869836614693737	0.001	Gorilla:Homo:Pan
Campylobacter_rectus	Single	0	0	0	1	0	4	0.8156354506508329	0.001	Homo
Campylobacter_showae	Single	0	0	0	1	0	4	0.9820717896091723	0.001	Homo
candidate_division_TM7_single_cell_isolate_TM7b	Single	0	0	0	1	0	4	0.8813941969535759	0.001	Homo
candidate_division_TM7_single_cell_isolate_TM7c	Single	0	0	0	1	0	4	0.9657323728641197	0.001	Homo
Candidatus_Prevotella_conceptionensis	Single	0	0	0	1	0	4	0.7807860974245349	0.002	Homo
Capnocytophaga_gingivalis	Multiple	1	0	0	1	0	8	0.8726604971788149	0.002	Alouatta:Homo
Capnocytophaga_granulosa	Single	0	0	0	1	0	4	0.8382736442849094	0.001	Homo
Capnocytophaga_ochracea	Single	0	0	0	1	0	4	0.8869084738923677	0.001	Homo
Capnocytophaga_sp_oral_taxon_329	Single	0	0	0	1	0	4	0.6974858324629157	0.004	Homo
Capnocytophaga_sp_oral_taxon_332	Single	0	0	0	1	0	4	0.4931969619160719	0.048	Homo
Capnocytophaga_unclassified	Single	0	0	0	1	0	4	0.965924548633451	0.001	Homo
Cardiobacterium_hominis	Multiple	1	0	0	1	0	8	0.8835077681659671	0.002	Alouatta:Homo
Cardiobacterium_valvarum	Single	0	0	0	1	0	4	0.9400528803081025	0.001	Homo
Catonella_morbi	Multiple	1	0	0	1	0	8	0.8728715609439694	0.001	Alouatta:Homo
Centipeda_periodontii	Multiple	1	0	0	1	0	8	0.748390354365162	0.009	Alouatta:Homo
Clostridium_bifermentans	Single	0	0	1	0	0	3	0.5163977794943222	0.01	Gorilla
Collinsella_unclassified	Multiple	1	0	1	1	1	29	0.6691496051182058	0.012	Alouatta:Gorilla:Homo:Pan
Corynebacterium_durum	Multiple	1	0	0	1	0	8	0.8124072492390711	0.003	Alouatta:Homo
Corynebacterium_matruchotii	Single	0	0	0	1	0	4	0.9702108999304656	0.001	Homo
Corynebacterium_variabile	Multiple	1	0	1	0	0	7	0.5	0.017	Alouatta:Gorilla
Cryptobacterium_curtum	Multiple	0	0	1	0	1	14	0.6627553851504173	0.006	Gorilla:Pan
Dasheen_mosaic_virus	Multiple	1	0	0	1	1	21	0.7703361299860195	0.003	Alouatta:Homo:Pan
Desulfobulbus_sp_oral_taxon_041	Multiple	0	0	0	1	1	15	0.9593968733029584	0.001	Homo:Pan
Dialister_invisus	Multiple	0	0	1	1	1	25	0.8603709346316042	0.001	Gorilla:Homo:Pan
Eikenella_corrodens	Single	0	0	0	1	0	4	0.9652645670377471	0.001	Homo
Enterococcus_faecalis	Single	0	0	1	0	0	3	0.6324555320336759	0.002	Gorilla
Erysipelothrix_rhusiopathiae	Single	0	0	1	0	0	3	0.6786592358755041	0.005	Gorilla
Escherichia_coli	Single	0	0	1	0	0	3	0.4454587945194093	0.024	Gorilla
Escherichia_unclassified	Single	0	0	1	0	0	3	0.6539337634150554	0.004	Gorilla
Eubacteriaceae_bacterium_ACC19a	Single	0	0	0	1	0	4	0.5198752449100363	0.028	Homo
Eubacteriaceae_bacterium_CM5	Single	0	0	0	1	0	4	0.5422394422362719	0.035	Homo
Eubacteriaceae_bacterium_OBRC8	Single	0	0	0	1	0	4	0.6679435336602871	0.004	Homo
Eubacterium_brachy	Multiple	1	0	0	1	1	21	0.8396055766658024	0.002	Alouatta:Homo:Pan
Eubacterium_infirmum	Multiple	0	0	1	1	1	25	0.8327955253822958	0.001	Gorilla:Homo:Pan
Eubacterium_saphenum	Single	0	0	0	1	0	4	0.7808241851596831	0.004	Homo
Eubacterium_yurii	Single	0	0	0	1	0	4	0.9720591714547667	0.001	Homo
Filifactor_alocis	Multiple	0	0	0	1	1	15	0.8323285734799992	0.002	Homo:Pan
Fretibacterium_fastidiosum	Multiple	0	0	0	1	1	15	0.9714698509863069	0.001	Homo:Pan
Fusobacterium_nucleatum	Multiple	1	0	1	1	1	29	0.9773555548504418	0.001	Alouatta:Gorilla:Homo:Pan
Fusobacterium_periodonticum	Single	0	0	0	1	0	4	0.74451670670411	0.002	Homo
Gemella_bergeri	Single	0	0	0	0	1	5	0.7917960745676773	0.001	Pan
Gemella_haemolysans	Single	0	0	0	1	0	4	0.5198752449100363	0.028	Homo
Gemella_morbillorum	Single	0	0	0	1	0	4	0.9584744954208123	0.001	Homo
Gemella_sanguinis	Single	0	0	0	1	0	4	0.46499055497527714	0.048	Homo
Gemella_unclassified	Single	1	0	0	0	0	1	0.8216793309789837	0.001	Alouatta
Granulicatella_adiacens	Single	0	0	0	1	0	4	0.912160970480542	0.001	Homo
Granulicella_unclassified	Single	0	0	0	0	1	5	0.5326097979116278	0.017	Pan
Haemophilus_haemolyticus	Single	0	0	0	1	0	4	0.4931969619160719	0.022	Homo
Haemophilus_parainfluenzae	Single	0	0	0	1	0	4	0.8382736442849094	0.001	Homo
Human_herpesvirus_4	Single	0	0	1	0	0	3	0.44721359549995793	0.016	Gorilla
Johnsonella_ignava	Multiple	0	0	1	1	1	25	0.8890008890013334	0.001	Gorilla:Homo:Pan
Kingella_denitrificans	Single	0	0	0	1	0	4	0.7708721690193485	0.003	Homo
Kingella_oralis	Multiple	1	0	0	1	0	8	0.6722040477894845	0.006	Alouatta:Homo
Kingella_unclassified	Multiple	1	0	1	0	0	7	0.80222203762369515	0.001	Alouatta:Gorilla
Kocuria_unclassified	Single	1	0	0	0	0	1	0.6636592872197273	0.002	Alouatta
Lachnoanaerobaculum_saburreum	Single	0	0	0	1	0	4	0.5452497568062706	0.023	Homo
Lachnospiraceae_oral_taxon_107	Single	0	0	0	1	0	4	0.7884298457197201	0.001	Homo
Lautropia_mirabilis	Single	0	0	0	1	0	4	0.9632756859499415	0.001	Homo
Leptotrichia_buccalis	Single	0	0	0	1	0	4	0.9153348228041135	0.001	Homo
Leptotrichia_goodfellowii	Single	1	0	0	0	0	1	0.9804389321615573	0.001	Alouatta
Leptotrichia_hofstadii	Single	0	0	0	1	0	4	0.7352146220938077	0.004	Homo
Leptotrichia_shahii	Single	0	0	0	1	0	4	0.5198752449100363	0.025	Homo
Leptotrichia_unclassified	Single	0	0	0	1	0	4	0.9280066459619625	0.001	Homo
Leptotrichia_wadei	Single	0	0	0	1	0	4	0.677834389404565	0.007	Homo
Leucobacter_unclassified	Single	1	0	0	0	0	1	0.6203035839916203	0.013	Alouatta
Limnohabitans_unclassified	Single	0	0	0	1	0	4	0.6455557204621251	0.004	Homo
Lymphocryptovirus_unclassified	Single	0	0	1	0	0	3	0.44721359549995793	0.019	Gorilla
Lysinibacillus_sphaericus	Single	0	0	1	0	0	3	0.44721359549995793	0.025	Gorilla
