Taxon	OME007.A0101	OME009.A0101	OME005.A0101	OME002.A0101	OME003.A0101	MTM009.A0101	MTM006.A0101	MTM005.A0101	MTM004.A0101	MTM001.A0101	MTM008.A0101	MTK001.A0101	MTS001.A0101	DJA002.A0101	MTM010.A0101	EBO001.A0101	ABM006.A0101	EBO003.A0101	FDM001.A0101	CDC008.A0101	CDC010.A0101	KNP004.A0102	KNP005.A0102	KNP006.A0102	KNP007.A0102	KNP009.A0102	KNP003.A0102	KNP001.A0102	ABM008.A0101	DJA006.A0101	ABM007.A0101	DJA007.A0101	EBO008.A0101	EBO009.A0101	Chimp.150519	GOY005.A0101	SpyNew	GOY006.A0101	FUM002.A0101	ElSidron1	PES001.B0101	ElSidron2	OAK004.A0101	OAK003.A0101	TAF017.A0101	OAK001.A0101	MOA001.A0101	OAK002.A0101	TAF018.A0101	OAK005.A0101	TAF008.B0101	ECO004.B0101	ECO002.B0101	EMN001.A0101	ECO010.B0101	RIG001.A0101	PLV001.A0101	OFN001.A0101	PYK005.A0101	ESA004.A0101	PYK004.A0101	ESA007.A0101	ESA008.A0101	PYK003.A0101	ESA006.A0101	ESA003.A0101	PYK002.A0101	PYK001.A0101	LIS003.A0101	LIS002.A0101	LIS001.A0101	JAE012.A0101	JAE013.A0101	JAE010.A0101	JAE014.A0101	JAE006.A0101	JAE007.A0101	JAE015.A0101	JAE009.A0101	JAE016.A0101	JAE008.A0101	VLC008.A0101	VLC005.A0101	VLC002.A0101	VLC001.A0101	VLC003.A0101	VLC010.A0101	VLC004.A0101	VLC009.A0101	EXB015.A2001	EXB023.A0101	EXB033.A0801	EXB015.A2101	EXB015.A1901	EXB015.A2201	EXB022.A0101	EXB033.A1401	EXB015.A2901	EXB015.A2501	EXB021.A0101	EXB020.A0101	EXB015.A2601	EXB033.A0401	EXB002.A1101	EXB015.A2301	EXB015.A2801	EXB015.A2401	EXB015.A1701	LIB007.A0119	LIB017.A0101	LIB007.A0118	LIB025.A0301	LIB014.A0101	LIB013.A0101	LIB025.A0701	LIB007.A0124	LIB012.A0101	LIB007.A0123	LIB025.A0601	LIB007.A0120	LIB015.A0101	LIB007.A0117	LIB017.A0102	LIB009.A0102	LIB007.A0122	SRR514202	SRR514329	SRR514306	SRR513165	SRR514239	SRR062298	SRR513768	SRR062299	SRR061294	SRR513775	SRR1804823	SRR061365	SRR061320	SRR513828	SRR1804664	SRR062083	SRR061192	SRR063517	SRR512767	SRR061562	SRR1930141	SRR1761705	SRR1761721	SRR1929408	SRR1761710	SRR1930145	SRR1930121	SRR1761718	SRR1930123	SRR1761698	SRR1761688	SRR1761692	SRR1761677	SRR1761682	SRR060358	SRR059425	SRR059917	SRR059389	SRR1761697	SRR059455	SRR3189411	SRR3189416	SRR1633008	SRR1631064	SRR1631063	SRR3184100	SRR1631060	SRR1631061	SRR3189418	SRR3184876	ARS020.A0101.SG1.2	ARS012.A0101.SG1.2	ARS013.A0101.SG1.2	ARS004.A0101.SG1.2	ARS017.A0101.SG1.2	ARS005.A0101.SG1.2	ARS011.A0101.SG1.2	ARS001.A0101.SG1.2	ARS010.A0101.SG1.2	ARS015.A0101.SG1.2	ERR1883438	ERR1883424	ERR1883423	ERR1883421	ERR1883418	ERR1883420	ERR1883419	ERR1883430	ERR1883422	ERR1883436
Actinomyces sp. oral taxon 414	14880	19872	16456	77803	43439	28388	32166	8614	20379	7701	9377	18329	28807	229855	4501	34212	222977	929362	6952	76342	414299	7333	251027	129843	522139	388074	638030	395783	215121	78557	84399	616507	491377	166478	713147	36284	1942	49281	167512	502986	480759	172086	229803	730972	132389	627226	576405	24295	45315	1845799	673651	189562	374637	122973	282597	328814	38126	1243510	1223584	251543	1972887	771519	574861	1610677	687318	500401	1024551	1001065	351205	1549300	898503	451567	147040	2106737	6748329	139564	0	8213529	4674559	10845951	2902787	1634695	1247498	618046	1280429	404946	2574211	2478985	2989432	0	3477	0	0	0	0	11375	53	0	780	0	300	0	2283	0	282	49757	0	0	0	0	0	745	1416	0	0	594	153	0	0	0	7522	0	0	335	0	67159	50517	681362	38234	125266	132393	192040	36777	64382	355137	36090	85928	156230	133663	478380	113351	220524	135976	621347	250965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20209	19478	4712	5744	5787	17390	4920	4985	17454	13281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces hongkongensis	0	0	0	2775	1011	1386	3273	1241	1538	1221	1785	2889	2765	5761	0	12297	20352	7458	1273	2317	6221	194	6692	8784	6162	9608	13074	14575	3423	2560	6540	11080	7839	1798	15260	21498	10999	7737	24386	80304	25472	66482	42450	4773	9427	0	3416	6948	30143	70225	18897	8778	12812	28224	7685	278779	15552	16438	2978	1339	81547	5144	7912	2841	10227	17853	4955	7078	2720	11355	5040	198754	90308	171506	43433	24572	41341	26245	88590	43591	27949	9257	0	9613	10351	10214	70617	110517	626964	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	4193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7184	17917	153076	7393	19830	13328	77719	1528	37228	79267	7664	15668	11957	123761	37767	12960	30783	18682	169629	31978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13964	13248	0	0	0	0	0	0	11921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerolineaceae bacterium oral taxon 439	0	0	0	0	0	24726	1521	0	2888	0	0	0	3416	26036	0	7875	0	97774	0	118663	90853	2146	220393	90553	90319	78000	49169	107916	20763	114200	169454	146034	88817	12055	92419	6563	4000	37407	60631	945260	180182	241614	2116	1223254	142824	216430	2491116	12864	60022	0	923720	1309986	1559286	63087	883017	275560	99631	438689	1061032	104391	377057	280108	366658	242164	482101	263066	102860	185713	101225	110012	279415	63158	35924	115728	1503730	0	0	1950522	646234	3483754	305792	491002	582069	64526	381921	62930	95773	165940	71888	0	605	0	0	0	0	1873	0	0	376	0	121	0	1306	0	41	0	0	0	0	0	0	82	372	0	0	835	55	0	0	0	1424	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfomicrobium orale	0	0	0	0	0	715	0	0	0	0	0	0	0	1306	0	0	0	2173	0	35335	7728	260	9001	4341	4455	6358	4170	11832	4582	5328	112441	16657	6620	1061	24671	27294	5325	15661	17773	268200	8216	344381	0	568755	39464	42656	15846	2989	3721	5342	14944	15519	74739	32100	15493	202803	5762	91471	10659	30789	6563	50562	143324	6488	379770	255060	10713	3538	4071	65342	4605	0	0	112639	156323	0	0	3383103	0	52756	0	0	0	0	7741	0	0	0	10541	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces oris	13288	17994	10025	18383	12669	11199	94201	11157	42990	4492	36050	68991	25716	6682	24545	112624	18703	8240	27425	6348	5551	47	1680	2698	2222	5053	4380	7853	1628	3262	1216	7452	3839	1588	4567	59215	3388	29073	520523	112831	188611	519233	57845	9605	9950	1966	2401	139127	29862	30061	7214	13713	14436	72928	2619	187999	30365	46484	18187	6247	45673	8632	11087	14052	19341	41386	13119	9949	20833	11661	16173	216684	173228	1623227	207555	458919	40894	156870	643089	151241	349856	92108	187992	34348	69038	21742	145275	176181	319495	0	1516	0	0	0	0	1374	26	0	0	0	111	0	406	0	0	24819	0	0	0	0	0	0	896	0	0	0	57	0	0	0	2763	0	0	0	0	362514	526177	766738	52056	246775	100107	997631	20776	177810	561013	595278	1972223	487473	925560	937826	1084505	703111	1336087	3369009	289715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49928	47192	10943	29324	29080	171708	25465	25499	42798	17161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus sanguinis	71643	19064	42360	28974	37464	589	2356	1438	2264	3258	6621	15701	3070	0	6326	15894	0	0	9471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109203	97415	21709	52530	48757	643162	290006	338894	30545	116596	0	0	577092	125554	32552	7607	260475	158385	148872	0	179970	220323	21411	0	10089	194251	6902	26989	0	32782	151749	20056	0	92630	2791	9564	2835505	2060888	1665259	645356	6891855	3047973	98670	1863124	95705	838012	590049	1574319	308220	1693552	734446	185440	954858	914507	0	419	0	0	0	0	0	88	0	0	0	0	0	791	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	520	0	0	113	0	190045	233849	112654	150627	62564	7315	299897	15309	32939	504384	838473	303223	697910	757736	144109	463656	145381	168759	1032372	174865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45371	41138	33061	50698	50628	82891	44836	45875	37802	10591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces meyeri	0	0	0	1188	0	1320	1682	874	1241	966	1201	1865	2444	35344	0	7564	230574	11740	8991	1273	2597	128	3225	5022	3772	3656	8045	8666	1315	1266	4516	5590	4202	985	11875	15603	21536	17830	10781	102390	89692	174299	12343	25573	2626	1484	4697	4591	53155	21888	5220	11162	13086	46685	5400	172400	41825	68260	4320	1316	12920	4466	5024	4783	2382	6383	40051	7275	7435	7348	35891	577098	278848	396535	19191	54200	133147	23011	139810	18718	37452	33055	25154	9151	31824	22989	7919	10060	51610	0	0	0	0	0	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9608	8744	17247	12537	3440	6713	14955	3988	2527	31394	9749	6365	34970	28663	13883	0	20491	18192	0	20651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6041	5579	0	0	0	15498	0	0	5089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces naeslundii	11652	15781	8863	16997	11705	10121	82711	9933	37459	4192	30794	58912	22884	6432	22361	103789	17659	7871	25396	6105	5157	47	1632	2406	2595	5350	4015	7241	1518	2996	1182	6790	3570	1405	3957	55517	2891	26576	468391	106387	169900	447921	53234	9119	10223	1993	2143	127679	28365	27165	6931	12691	13002	65392	2460	170931	27377	41961	18209	5429	40399	7126	9916	13172	17057	36775	12138	8925	18742	10366	14600	187760	148262	1406710	178529	410798	36590	135498	553219	132871	300175	76495	158991	28897	59576	18375	121860	152422	267676	0	1266	0	0	0	0	1252	29	0	0	0	89	0	377	0	0	23500	0	0	0	0	0	0	826	0	0	0	57	0	0	0	2285	0	0	0	0	311555	453029	637292	45190	212156	85484	838395	17905	156432	476501	513754	1664767	423853	792808	791451	948378	579126	1142848	2934713	265085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41392	39450	9223	24455	24765	143677	21427	21934	35517	14445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olsenella sp. oral taxon 807	0	0	0	0	0	359	2302	1694	3157	0	0	0	0	131096	0	4926	96423	701720	0	206237	247729	3769	83045	33523	42369	109322	115935	64511	42522	1039511	259881	293151	309188	117269	206190	10483	1149	9713	77946	902606	136390	157436	40256	231470	13721	37490	366852	2615	0	1221059	819855	180888	296151	5151	261400	149678	3770	143262	353954	353047	549882	1076849	431918	187420	148690	262976	260172	468550	3493	630237	391608	103299	172827	466206	1606945	0	0	2231072	1336524	2747317	196106	1496991	151365	461941	827034	136068	529414	869375	371932	0	1140	0	0	0	0	6990	24	0	492	0	86	0	803	0	0	23454	0	0	0	0	0	82	550	0	0	319	43	0	0	0	3946	0	0	0	0	50261	8867	0	26615	80150	42343	0	67911	5654	50907	0	0	0	8780	37180	0	17281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium] minutum	0	0	0	0	0	3216	0	0	0	0	0	0	0	0	0	5004	0	21552	0	76518	81570	861	117395	48936	144012	131461	86809	204957	13300	22596	59079	56189	29805	10887	168793	7617	5576	9680	15852	914082	54594	1414252	113310	531755	181479	108507	510424	6811	82096	113342	42233	194943	1018603	118356	194085	140146	18808	96124	486143	45878	158326	126101	178344	305692	286409	112097	630639	87048	294305	142243	486887	0	0	101742	530991	0	0	1120612	350339	851975	53758	82261	144300	48981	134752	0	0	22070	0	0	414	0	0	0	0	2435	0	0	0	0	0	0	733	0	0	347	0	0	0	0	0	61	209	0	0	442	0	0	0	0	1250	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
