pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	125660.68879293534	2.7659334968304408	0.04959898137431247	0.019	0.19	
Pan vs Gorilla	1	358218.7183298704	5.553942797935985	0.10370744912081506	0.001	0.01	*
Pan vs Alouatta	1	241596.19147975525	6.123343881995613	0.20327570225878763	0.001	0.01	*
Pan vs Homo	1	454657.1042519347	8.884376652893524	0.09170081864409853	0.001	0.01	*
Control vs Gorilla	1	322284.53719356743	5.328201318855448	0.08033085795952036	0.001	0.01	*
Control vs Alouatta	1	149741.77915512404	3.5960808581699544	0.08858197102162496	0.013	0.13	
Control vs Homo	1	343261.2449347676	6.801702767126053	0.06309457636136913	0.001	0.01	*
Gorilla vs Alouatta	1	124863.843228061	1.7927927874961678	0.0530525191797562	0.121	1	
Gorilla vs Homo	1	69610.90684951193	1.1551284546373888	0.011889526296872005	0.33	1	
Alouatta vs Homo	1	79579.56468890455	1.5757426469163762	0.02141660539504479	0.148	1	
