pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	309582.2445953614	5.451051968309777	0.10198212696621226	0.001	0.01	*
Pan vs Gorilla	1	818785.2786943595	11.20180760123861	0.28574722153589366	0.001	0.01	*
Pan vs Alouatta	1	357566.0049851188	8.191531496077193	0.30125303891981775	0.001	0.01	*
Pan vs Homo	1	563886.4970262672	8.344824399284027	0.1093043891965817	0.001	0.01	*
Control vs Gorilla	1	504290.48950263835	7.164673494682188	0.1347638012937075	0.001	0.01	*
Control vs Alouatta	1	175354.21561896484	3.2111833403869587	0.0798579667055393	0.018	0.18	
Control vs Homo	1	341202.07881555526	5.071368803698471	0.05568565478168721	0.001	0.01	*
Gorilla vs Alouatta	1	122933.1269854167	1.5583955180636504	0.08397253504737519	0.141	1	
Gorilla vs Homo	1	226900.57692858335	2.932536781714976	0.04254212768929839	0.017	0.17	
Alouatta vs Homo	1	93210.94408311056	1.3660336363909946	0.02340459940966895	0.206	1	
