pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	150713.99812802614	2.6160432015135138	0.08274416835906524	0.054	1	
Pan vs Gorilla	1	588303.6014166877	8.617416963634762	0.1522043467502184	0.001	0.036000000000000004	.
Pan vs Alouatta	1	126306.73418347827	1.7237936977937611	0.06701164369630305	0.162	1	
Pan vs Homo	1	1258966.5485381968	18.126964211740773	0.17080451086468937	0.001	0.036000000000000004	.
Pan vs Gut	1	1071896.8359194645	18.61284084269617	0.3230675760897807	0.001	0.036000000000000004	.
Pan vs Sediment	1	3212171.635536917	38.07275331258646	0.5676336728738697	0.001	0.036000000000000004	.
Pan vs Skin	1	3752269.3311381773	46.269780954199845	0.6147192188901689	0.001	0.036000000000000004	.
Pan vs Plaque	1	1260043.0818681095	17.035714107633176	0.3040152941552782	0.001	0.036000000000000004	.
Control vs Gorilla	1	176420.52562426776	2.8960241352598763	0.07258929174098798	0.019	0.6839999999999999	
Control vs Alouatta	1	56912.71997071433	1.0058051729770703	0.07181344882032774	0.405	1	
Control vs Homo	1	349511.8269278021	5.288462187317565	0.0642673595634727	0.004	0.14400000000000002	
Control vs Gut	1	456379.9984960028	10.448351143721192	0.2717503048353079	0.001	0.036000000000000004	.
Control vs Sediment	1	1981502.489119556	25.051233261613678	0.5818935106779027	0.001	0.036000000000000004	.
Control vs Skin	1	2243128.236239588	30.385022924786846	0.6279840555623898	0.002	0.07200000000000001	
Control vs Plaque	1	587304.7957142551	8.833163324070556	0.2398154957898515	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	150688.33457496963	2.059127054447117	0.06045742309118448	0.106	1	
Gorilla vs Homo	1	203317.7271797831	2.915350707139068	0.02947318779438606	0.023	0.828	
Gorilla vs Gut	1	377186.41675633565	6.265962027416376	0.11763538644418438	0.001	0.036000000000000004	.
Gorilla vs Sediment	1	1839904.833765049	22.467848531708054	0.3778150561429555	0.001	0.036000000000000004	.
Gorilla vs Skin	1	2336663.91447919	29.456995430397658	0.4432489798797604	0.001	0.036000000000000004	.
Gorilla vs Plaque	1	396310.987889141	5.371200895544838	0.10256020109712169	0.001	0.036000000000000004	.
Alouatta vs Homo	1	189642.96335593125	2.637643886362574	0.03533932408662905	0.042	1	
Alouatta vs Gut	1	223804.67722663842	3.9268812481241353	0.14583498222237312	0.005	0.18	
Alouatta vs Sediment	1	1467874.4867876377	12.624176559465207	0.4926666240442375	0.001	0.036000000000000004	.
Alouatta vs Skin	1	1697448.3669767613	15.57696640208006	0.5450881728631014	0.002	0.07200000000000001	
Alouatta vs Plaque	1	343513.81732473953	4.052760348671477	0.14980949435241278	0.001	0.036000000000000004	.
Homo vs Gut	1	163505.57668063245	2.51141347279045	0.028056907776949202	0.035	1	
Homo vs Sediment	1	1987617.2980183312	26.095469746784087	0.25311946112547873	0.001	0.036000000000000004	.
Homo vs Skin	1	2450808.7970591523	32.70617285545442	0.29812518296985074	0.001	0.036000000000000004	.
Homo vs Plaque	1	259186.63810753144	3.577661376209546	0.03949827498139876	0.009	0.32399999999999995	
Gut vs Sediment	1	1580864.8159053675	22.143095476862865	0.4415980957354374	0.001	0.036000000000000004	.
Gut vs Skin	1	1988329.1542858619	29.23911779858714	0.5108240469651135	0.001	0.036000000000000004	.
Gut vs Plaque	1	88082.85739472791	1.3735133202557643	0.03488419509541604	0.207	1	
Sediment vs Skin	1	234287.38520251287	2.0035970713831763	0.10016183910490228	0.145	1	
Sediment vs Plaque	1	1145394.210457017	12.158900263017845	0.3027697517457898	0.002	0.07200000000000001	
Skin vs Plaque	1	1610151.4099585302	17.730726618772525	0.38772020323626427	0.002	0.07200000000000001	
