pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	294788.26503996144	8.791555260545556	0.12245946237881723	0.001	0.036000000000000004	.
Pan vs Gorilla	1	299043.7262863119	10.388577470114202	0.17792140038745635	0.001	0.036000000000000004	.
Pan vs Alouatta	1	70216.34667624295	2.171650091390627	0.08297719417030601	0.103	1	
Pan vs Homo	1	502343.99127035943	16.556906599001447	0.15835306473345462	0.001	0.036000000000000004	.
Pan vs Gut	1	535249.6991935724	20.084854971371318	0.339932373213121	0.001	0.036000000000000004	.
Pan vs Sediment	1	1192635.566721021	33.06664680662965	0.5327603231031588	0.001	0.036000000000000004	.
Pan vs Skin	1	1395370.3375355755	39.77549617667787	0.5783381929299107	0.001	0.036000000000000004	.
Pan vs Plaque	1	565085.4765857348	16.71177300453738	0.2999684286331421	0.001	0.036000000000000004	.
Control vs Gorilla	1	87040.44563930889	2.6957357434947875	0.03657926359372487	0.028	1	
Control vs Alouatta	1	50177.49780721054	1.398166905256889	0.028888840108219547	0.201	1	
Control vs Homo	1	95523.55408347752	2.96118305169335	0.025984137514175706	0.016	0.5760000000000001	
Control vs Gut	1	188530.2067978342	5.994078942435172	0.08815589586131244	0.001	0.036000000000000004	.
Control vs Sediment	1	809442.7158408539	21.51118660554382	0.2926246684191269	0.001	0.036000000000000004	.
Control vs Skin	1	986666.705907631	26.61001684981549	0.3385066931184349	0.001	0.036000000000000004	.
Control vs Plaque	1	202387.51927033137	5.6282461412580505	0.08322330479341558	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	85829.41563672008	2.8729059131300563	0.0823821771631705	0.032	1	
Gorilla vs Homo	1	40581.92941211633	1.3669806250605672	0.014039468167596953	0.218	1	
Gorilla vs Gut	1	200643.02480708834	7.733835409125972	0.1412989853774523	0.001	0.036000000000000004	.
Gorilla vs Sediment	1	606757.4191756373	18.311900157326818	0.3310661919992123	0.001	0.036000000000000004	.
Gorilla vs Skin	1	752552.0239845164	23.25460928028134	0.38593909342453475	0.001	0.036000000000000004	.
Gorilla vs Plaque	1	174837.72712973852	5.482818404244249	0.10446882562619496	0.001	0.036000000000000004	.
Alouatta vs Homo	1	84007.7263239404	2.6951285162106653	0.036081717372315074	0.035	1	
Alouatta vs Gut	1	96677.22396533345	3.623684621860864	0.13610755510848546	0.004	0.14400000000000002	
Alouatta vs Sediment	1	546967.0515084759	11.463913376082052	0.4686050510336635	0.004	0.14400000000000002	
Alouatta vs Skin	1	628608.9052132105	13.812097349751099	0.515144233947044	0.004	0.14400000000000002	
Alouatta vs Plaque	1	138003.1871825533	3.554287139598897	0.1338498420580303	0.003	0.108	
Homo vs Gut	1	158759.03823821782	5.508100085691256	0.05954181396644232	0.001	0.036000000000000004	.
Homo vs Sediment	1	704244.4422879136	21.568047613989805	0.21881378536028387	0.001	0.036000000000000004	.
Homo vs Skin	1	842948.5839396272	26.11309745169002	0.25324714412661675	0.001	0.036000000000000004	.
Homo vs Plaque	1	153885.77690665235	4.803771269491318	0.05232651342165212	0.003	0.108	
Gut vs Sediment	1	628083.6320791652	19.903328174190243	0.41548946456947694	0.001	0.036000000000000004	.
Gut vs Skin	1	779925.2349101149	25.542002096061125	0.4770460777734001	0.001	0.036000000000000004	.
Gut vs Plaque	1	40991.8116972638	1.347064809161721	0.034235458621758884	0.196	1	
Sediment vs Skin	1	107997.97269894405	2.2561879572066244	0.11138265314150245	0.129	1	
Sediment vs Plaque	1	446714.110014081	10.755016573376098	0.2775128879899531	0.001	0.036000000000000004	.
Skin vs Plaque	1	629917.1518014295	15.548245745167202	0.3570349500678263	0.001	0.036000000000000004	.
