pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	418291.53664578503	12.839553848996376	0.1812483725739653	0.001	0.036000000000000004	.
Pan vs Gorilla	1	315450.97901824635	11.720494660361707	0.2950742371307361	0.001	0.036000000000000004	.
Pan vs Alouatta	1	280984.84870850586	11.481046355692396	0.3766618186828841	0.001	0.036000000000000004	.
Pan vs Homo	1	486467.8898042231	17.843169573636022	0.2078577673944134	0.001	0.036000000000000004	.
Pan vs Gut	1	718109.3343702902	22.137044193113674	0.3943393263984715	0.001	0.036000000000000004	.
Pan vs Sediment	1	726390.1830079176	21.404637502727834	0.47141963200216885	0.001	0.036000000000000004	.
Pan vs Skin	1	1506105.326598633	43.0118495340003	0.6418543859497126	0.001	0.036000000000000004	.
Pan vs Plaque	1	935172.4073307064	20.073976553969146	0.37123174275770315	0.001	0.036000000000000004	.
Control vs Gorilla	1	126511.65275104973	3.711855103404274	0.06216278320237039	0.003	0.108	
Control vs Alouatta	1	84417.01282412725	2.4490564090546143	0.04952685828411819	0.036	1	
Control vs Homo	1	41358.41947973864	1.319523804374073	0.013558675102300145	0.215	1	
Control vs Gut	1	188585.82325670996	5.178210303368274	0.07708169479335834	0.001	0.036000000000000004	.
Control vs Sediment	1	354155.5629345144	9.350562050533917	0.1524120030527502	0.001	0.036000000000000004	.
Control vs Skin	1	981203.9705964042	25.56965999159745	0.329634808175867	0.001	0.036000000000000004	.
Control vs Plaque	1	397453.1389695766	8.996799521159938	0.12672119844611482	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	32505.44321426274	1.141453288096246	0.06291961674565652	0.298	1	
Gorilla vs Homo	1	90516.72065127424	3.189537434224466	0.04609855120445953	0.011	0.39599999999999996	
Gorilla vs Gut	1	171558.4148424688	4.892732090770007	0.1326204868409324	0.002	0.07200000000000001	
Gorilla vs Sediment	1	214761.8326892537	5.668050906652743	0.20485906021265374	0.001	0.036000000000000004	.
Gorilla vs Skin	1	535847.8793846422	13.715770491568492	0.38402560837393684	0.002	0.07200000000000001	
Gorilla vs Plaque	1	218069.2868105955	4.353100414389604	0.11974495613217412	0.011	0.39599999999999996	
Alouatta vs Homo	1	65157.803267160925	2.3440599837683997	0.03949948797587391	0.04	1	
Alouatta vs Gut	1	63542.26299882795	1.753536454237089	0.07083983565253095	0.096	1	
Alouatta vs Sediment	1	65399.566296455116	1.5600626731795992	0.10714670040901106	0.192	1	
Alouatta vs Skin	1	233602.24355931728	5.319435414727163	0.29037114377721596	0.026	0.9359999999999999	
Alouatta vs Plaque	1	59308.78398679811	1.0377801663877386	0.043172878660354706	0.357	1	
Homo vs Gut	1	156507.07276276694	5.070512879211279	0.06579056878936355	0.002	0.07200000000000001	
Homo vs Sediment	1	355490.2936343808	11.396908595839935	0.15527777414437183	0.001	0.036000000000000004	.
Homo vs Skin	1	944291.5565589031	29.873322759840054	0.32515774832624617	0.001	0.036000000000000004	.
Homo vs Plaque	1	378974.37328742497	10.093421149171489	0.12295042657353492	0.001	0.036000000000000004	.
Gut vs Sediment	1	199661.2775166801	4.726081815536292	0.14441331052630457	0.002	0.07200000000000001	
Gut vs Skin	1	577117.4971055471	13.36775783320829	0.3231443649207697	0.001	0.036000000000000004	.
Gut vs Plaque	1	122912.65496913479	2.392307502067336	0.059226809509332796	0.074	1	
Sediment vs Skin	1	279502.5888579877	5.466404113717964	0.23294596339634413	0.017	0.6120000000000001	
Sediment vs Plaque	1	45202.213087033546	0.7606568323092973	0.026447825470202288	0.48	1	
Skin vs Plaque	1	351388.8783488976	5.822429447487767	0.1721469906982167	0.013	0.46799999999999997	
