pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	73678.63525155833	1.9953854567364446	0.0369547404812072	0.094	0.94	
Pan vs Gorilla	1	309191.87520402885	6.18680816520592	0.11417554151452222	0.002	0.02	.
Pan vs Alouatta	1	212564.77955121797	5.769161539624113	0.19379657475220105	0.001	0.01	*
Pan vs Homo	1	390716.22871961124	9.205755756392033	0.0947038134188539	0.001	0.01	*
Control vs Gorilla	1	202564.19272405084	4.561983415094082	0.07066052146761535	0.004	0.04	.
Control vs Alouatta	1	153170.63586807103	4.796608601269077	0.11757370932837459	0.002	0.02	.
Control vs Homo	1	298809.7180277316	7.469755744838602	0.06950565480556001	0.001	0.01	*
Gorilla vs Alouatta	1	90699.07535056453	1.7823832302252962	0.05276073088385865	0.121	1	
Gorilla vs Homo	1	56268.98844586174	1.2060241248731316	0.012406886669120884	0.26	1	
Alouatta vs Homo	1	80996.31249792343	1.9672122510286427	0.026595733314273784	0.056	0.56	
