pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	352327.93516210647	7.58286178374854	0.13892385880738586	0.001	0.01	*
Pan vs Gorilla	1	839642.6924114374	12.558265171033387	0.30963516605247865	0.001	0.01	*
Pan vs Alouatta	1	435381.098739127	9.516827226092735	0.3337267203900191	0.001	0.01	*
Pan vs Homo	1	721746.0166714571	10.980362410816198	0.13902648804904014	0.001	0.01	*
Control vs Gorilla	1	325438.4601847529	5.770290529441767	0.11365486526210772	0.002	0.02	.
Control vs Alouatta	1	209557.73637203456	4.914379857694708	0.12011375645402746	0.002	0.02	.
Control vs Homo	1	290431.72023625195	4.807009323971589	0.05352599268316227	0.002	0.02	.
Gorilla vs Alouatta	1	97171.61387076632	1.3502878435543633	0.07358401432534799	0.213	1	
Gorilla vs Homo	1	189644.04426235796	2.594717846737039	0.037826787953767586	0.029	0.29000000000000004	
Alouatta vs Homo	1	108847.81405825193	1.6237480176268604	0.027697785838234623	0.103	1	
