pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	115968.4270099067	3.5965730541283514	0.11033592544087532	0.031	1	
Pan vs Gorilla	1	58548.76247799848	1.773322645057593	0.035627973999314284	0.139	1	
Pan vs Alouatta	1	86054.570079996993	2.624812208605429	0.09858519143872352	0.059	1	
Pan vs Homo	1	173168.41959951093	4.480569325045896	0.04844876451071386	0.004	0.14400000000000002	
Pan vs Gut	1	331885.67846743716	10.599297459406296	0.21369854014728962	0.001	0.036000000000000004	.
Pan vs Sediment	1	217531.11969564806	6.855349866648089	0.19119461648385128	0.002	0.07200000000000001	
Pan vs Skin	1	162028.15555270627	5.640103772344543	0.1628200599343298	0.006	0.216	
Pan vs Plaque	1	346113.02813950425	10.11312829790079	0.20591496914141894	0.001	0.036000000000000004	.
Control vs Gorilla	1	124889.43464494497	3.6369649227410457	0.0894989310755771	0.008	0.28800000000000003	
Control vs Alouatta	1	56525.76368652854	1.5549009593777277	0.10683006114005224	0.161	1	
Control vs Homo	1	164724.32807772583	4.108980214321651	0.050659991081926044	0.005	0.18	
Control vs Gut	1	298471.71291586995	9.214917998541047	0.24761355107385438	0.001	0.036000000000000004	.
Control vs Sediment	1	345001.4037660222	10.248110980534785	0.36278924943322954	0.001	0.036000000000000004	.
Control vs Skin	1	346196.418979866	12.010052154492962	0.4002009757485501	0.001	0.036000000000000004	.
Control vs Plaque	1	355950.9269030872	9.766482074826483	0.25860184847178025	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	49774.78020914115	1.419221340752644	0.0424672174818745	0.208	1	
Gorilla vs Homo	1	82334.16786263062	2.1153417317788685	0.021559744831360292	0.069	1	
Gorilla vs Gut	1	229462.54812684414	6.928264099381663	0.12847185451053858	0.001	0.036000000000000004	.
Gorilla vs Sediment	1	238125.3957464643	7.016652471445407	0.15940904356589286	0.001	0.036000000000000004	.
Gorilla vs Skin	1	227106.19096542356	7.190792686614244	0.1627215139046916	0.001	0.036000000000000004	.
Gorilla vs Plaque	1	255491.7628181145	7.189622335006758	0.13267526188980705	0.001	0.036000000000000004	.
Alouatta vs Homo	1	47297.90221964848	1.1588666984014728	0.01584041348233179	0.278	1	
Alouatta vs Gut	1	92560.0757108241	2.80602542428152	0.10873528093331498	0.013	0.46799999999999997	
Alouatta vs Sediment	1	221574.1338825079	6.2929526467422745	0.3261788261220283	0.001	0.036000000000000004	.
Alouatta vs Skin	1	212981.86887299566	7.4706146019116755	0.36494334670411027	0.001	0.036000000000000004	.
Alouatta vs Plaque	1	122035.62877378661	3.2178937057510564	0.12273654557708392	0.004	0.14400000000000002	
Homo vs Gut	1	144645.30234049418	3.7309209320281145	0.041120721510400714	0.004	0.14400000000000002	
Homo vs Sediment	1	300447.35829489696	7.530798568551371	0.08908940523546777	0.001	0.036000000000000004	.
Homo vs Skin	1	308552.4069092584	7.959654795983232	0.09368746630500142	0.001	0.036000000000000004	.
Homo vs Plaque	1	215566.52586565094	5.379111303362495	0.05822865393993785	0.001	0.036000000000000004	.
Gut vs Sediment	1	253978.89173370972	7.971919335006262	0.2216150675965835	0.001	0.036000000000000004	.
Gut vs Skin	1	287103.7907946086	9.986845237255627	0.26290272790173747	0.001	0.036000000000000004	.
Gut vs Plaque	1	37442.53560511319	1.0889602506103575	0.027858511549775842	0.35	1	
Sediment vs Skin	1	68012.08318738984	2.4290235519583865	0.11890061929687938	0.117	1	
Sediment vs Plaque	1	184432.07668813798	5.135193814497653	0.15497702663959823	0.003	0.108	
Skin vs Plaque	1	226774.55286087084	6.9129485558545625	0.1980052914979399	0.001	0.036000000000000004	.
