pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	214154.01203632343	5.521586515550213	0.18703556167761412	0.014	0.504	
Pan vs Gorilla	1	85495.38414449248	2.8520912767345656	0.09244401785124097	0.069	1	
Pan vs Alouatta	1	138519.6672110185	3.7930970643462105	0.1664142899772717	0.029	1	
Pan vs Homo	1	251474.23306205176	4.764107081909784	0.06547331195237344	0.005	0.18	
Pan vs Gut	1	296388.59184138494	7.702440622921571	0.18469999616012778	0.001	0.036000000000000004	.
Pan vs Sediment	1	388765.13587251655	9.07418453716043	0.2743585265712341	0.001	0.036000000000000004	.
Pan vs Skin	1	182939.6823189438	5.297921894948814	0.18082927225846065	0.006	0.216	
Pan vs Plaque	1	381959.9064399495	7.745920840246206	0.18554916706445138	0.001	0.036000000000000004	.
Control vs Gorilla	1	426875.7530174789	14.817498297952735	0.4024580425872301	0.001	0.036000000000000004	.
Control vs Alouatta	1	115599.01270560877	3.0774909611538748	0.19141612137053285	0.02	0.72	
Control vs Homo	1	256809.24921389492	4.705344055649151	0.07053923673227294	0.008	0.28800000000000003	
Control vs Gut	1	511005.60261881026	12.974729765683628	0.3166519911145326	0.001	0.036000000000000004	.
Control vs Sediment	1	593186.4250182097	12.978612549345053	0.41895396472878665	0.001	0.036000000000000004	.
Control vs Skin	1	572538.2635177964	16.537046708796257	0.478820521286333	0.001	0.036000000000000004	.
Control vs Plaque	1	644591.4493406012	12.269298296133396	0.3046812041746324	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	160245.78252604394	6.865064245005406	0.28766167040351287	0.004	0.14400000000000002	
Gorilla vs Homo	1	302562.72892304143	6.065313562503577	0.08416411811270366	0.001	0.036000000000000004	.
Gorilla vs Gut	1	177754.38087814456	5.624732672816169	0.14949561826069885	0.001	0.036000000000000004	.
Gorilla vs Sediment	1	260019.29779182674	7.823440217681572	0.262325209988459	0.002	0.07200000000000001	
Gorilla vs Skin	1	75568.06119121022	3.126817767256819	0.12444145519021625	0.039	1	
Gorilla vs Plaque	1	234206.60805569252	5.4327031266445145	0.1451325358006948	0.003	0.108	
Alouatta vs Homo	1	40629.397182580076	0.7359296770141117	0.012746476607045974	0.519	1	
Alouatta vs Gut	1	111530.49870320963	2.9628346280453712	0.1141183029700802	0.011	0.39599999999999996	
Alouatta vs Sediment	1	264522.1777234833	5.871140592196874	0.3111174209906826	0.003	0.108	
Alouatta vs Skin	1	267725.383888039	9.011757854357118	0.4094065505346855	0.001	0.036000000000000004	.
Alouatta vs Plaque	1	210008.54384761554	3.914080945056191	0.1454287424135567	0.004	0.14400000000000002	
Homo vs Gut	1	201443.70861190342	3.856072608450632	0.05083406609190907	0.007	0.252	
Homo vs Sediment	1	427919.85117161425	7.62113582111825	0.10946583578727716	0.001	0.036000000000000004	.
Homo vs Skin	1	441323.82966146467	8.337665832913418	0.11853770997632304	0.001	0.036000000000000004	.
Homo vs Plaque	1	422308.46248522284	7.363009958728871	0.09277634457863752	0.001	0.036000000000000004	.
Gut vs Sediment	1	243887.87509674134	5.689930831647274	0.16889114020686352	0.001	0.036000000000000004	.
Gut vs Skin	1	212933.86193883218	5.958184315626504	0.1754565043951638	0.001	0.036000000000000004	.
Gut vs Plaque	1	116359.09195534134	2.3920029132008818	0.05921971530703988	0.037	1	
Sediment vs Skin	1	195490.201585502	4.8833028765020225	0.213400264064	0.005	0.18	
Sediment vs Plaque	1	108942.16063544192	1.9448633812081062	0.06494814674721824	0.068	1	
Skin vs Plaque	1	162242.50810208748	3.318500383750549	0.10595974721293924	0.01	0.36	
