pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	43545.42936721885	1.9550555484741508	0.030569210388572552	0.093	1	
Pan vs Gorilla	1	32953.56847903743	2.070284433309681	0.04134756686008372	0.082	1	
Pan vs Alouatta	1	51091.872802215206	2.9109286448827287	0.10816901502342838	0.043	1	
Pan vs Homo	1	64276.0264165019	3.3676801115302597	0.03685854896851289	0.014	0.504	
Pan vs Gut	1	213229.19742816297	12.48506203975321	0.24249872769140507	0.001	0.036000000000000004	.
Pan vs Sediment	1	113605.04589253145	6.67634101786892	0.18713637181921197	0.001	0.036000000000000004	.
Pan vs Skin	1	91514.14595138545	5.616538167308099	0.16225014009668837	0.002	0.07200000000000001	
Pan vs Plaque	1	202699.94237059745	10.797807980915907	0.21683299765029757	0.001	0.036000000000000004	.
Control vs Gorilla	1	37526.32928560639	1.787819704839547	0.024904220690784143	0.121	1	
Control vs Alouatta	1	28795.0997079718	1.1758257386347568	0.024924327666231216	0.279	1	
Control vs Homo	1	37902.98241501587	1.748259806786452	0.015644626679728223	0.106	1	
Control vs Gut	1	141977.19179554016	6.31545764306384	0.09381883246714555	0.001	0.036000000000000004	.
Control vs Sediment	1	158884.5496692094	6.759748139028029	0.11703216092212311	0.001	0.036000000000000004	.
Control vs Skin	1	156295.31747855988	6.767863043911219	0.11715619528398942	0.001	0.036000000000000004	.
Control vs Plaque	1	157023.15655980067	6.663778343723112	0.09848368664652442	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	38530.60343928881	2.419501935945702	0.0702945074698747	0.047	1	
Gorilla vs Homo	1	26827.645361460123	1.456754769651385	0.014947704477689288	0.18	1	
Gorilla vs Gut	1	139957.841136271	8.719193533264367	0.15648456089119464	0.001	0.036000000000000004	.
Gorilla vs Sediment	1	101554.25390324848	6.45814596167922	0.14860610867693072	0.002	0.07200000000000001	
Gorilla vs Skin	1	99630.73189491786	6.572467037139757	0.15083991070640088	0.001	0.036000000000000004	.
Gorilla vs Plaque	1	126781.68939406142	7.262510960436337	0.1338403039573961	0.001	0.036000000000000004	.
Alouatta vs Homo	1	31701.228745019027	1.6015829078323114	0.02176016934089442	0.148	1	
Alouatta vs Gut	1	49403.31210529465	2.7603919848133494	0.10715644336626154	0.009	0.32399999999999995	
Alouatta vs Sediment	1	124874.8229557425	6.791485261546256	0.3431518742426942	0.001	0.036000000000000004	.
Alouatta vs Skin	1	123446.46537292706	7.358724806158848	0.36145313010629787	0.004	0.14400000000000002	
Alouatta vs Plaque	1	62522.85757291804	3.0104037259799026	0.11573844672672377	0.011	0.39599999999999996	
Homo vs Gut	1	132511.16686406086	6.9033813351193425	0.07351579077310091	0.001	0.036000000000000004	.
Homo vs Sediment	1	143016.5928345851	7.35441619182715	0.08718472041941176	0.001	0.036000000000000004	.
Homo vs Skin	1	146850.57896988568	7.658721697614045	0.0904658320375973	0.001	0.036000000000000004	.
Homo vs Plaque	1	138873.87837639303	6.959596443975776	0.074070097226582865	0.001	0.036000000000000004	.
Gut vs Sediment	1	177494.73289365642	10.271265224004292	0.26838060262408064	0.001	0.036000000000000004	.
Gut vs Skin	1	196743.26959441873	11.90036746515095	0.2982520768898871	0.001	0.036000000000000004	.
Gut vs Plaque	1	21565.117604880306	1.134197843853259	0.028982268868235034	0.316	1	
Sediment vs Skin	1	34342.15776644809	2.1293366687310584	0.10578275398606518	0.148	1	
Sediment vs Plaque	1	127018.26436193076	6.467450306158035	0.187639359706353	0.001	0.036000000000000004	.
Skin vs Plaque	1	149908.76424957914	7.935270726281988	0.22082123122780223	0.001	0.036000000000000004	.
