pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	76909.24666519792	3.258288835332876	0.05407204383511061	0.024	0.864	
Pan vs Gorilla	1	25199.847096741865	1.7821691788251222	0.0598401401900648	0.139	1	
Pan vs Alouatta	1	41661.88233206247	2.5066454544183685	0.11655213546580312	0.074	1	
Pan vs Homo	1	75318.12845714443	3.4742558211083567	0.048608492403250894	0.015	0.54	
Pan vs Gut	1	165558.41746398088	8.57189478615185	0.20135102816565706	0.001	0.036000000000000004	.
Pan vs Sediment	1	169652.32251795472	8.455801918687351	0.26053282984262616	0.001	0.036000000000000004	.
Pan vs Skin	1	86265.96455271669	5.053259455309285	0.17393089622465188	0.003	0.108	
Pan vs Plaque	1	185150.61322850746	7.813625706950399	0.18686793060501308	0.001	0.036000000000000004	.
Control vs Gorilla	1	101216.18845547318	4.58123933946958	0.07689063521098559	0.004	0.14400000000000002	
Control vs Alouatta	1	33505.85542716465	1.3579217992983827	0.02867359351310261	0.212	1	
Control vs Homo	1	34763.985830011996	1.440038133592629	0.014931953174861156	0.182	1	
Control vs Gut	1	90927.2977072251	3.7580667616707197	0.05803241124386159	0.005	0.18	
Control vs Sediment	1	184857.95261450135	7.247927302854754	0.12443236417958396	0.001	0.036000000000000004	.
Control vs Skin	1	177752.1123578627	7.376553129553357	0.12636157385282393	0.001	0.036000000000000004	.
Control vs Plaque	1	188078.74124875563	7.060668007812159	0.1037407979451762	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	21036.598953711346	1.9278630440431794	0.1018531801269505	0.083	1	
Gorilla vs Homo	1	89148.64058565497	4.378233019343592	0.0622100446616815	0.005	0.18	
Gorilla vs Gut	1	126387.34338547321	7.683262426412174	0.19361468681310812	0.001	0.036000000000000004	.
Gorilla vs Sediment	1	117010.62293391585	7.329131581347867	0.24989255345047093	0.002	0.07200000000000001	
Gorilla vs Skin	1	41073.80840610705	3.233887271994256	0.1281565236911942	0.021	0.756	
Gorilla vs Plaque	1	120409.15298628609	5.705155410472723	0.1513096908994068	0.002	0.07200000000000001	
Alouatta vs Homo	1	24776.410616556506	1.1175124931125648	0.01922849835056172	0.333	1	
Alouatta vs Gut	1	29863.70293286201	1.539153666860187	0.06272236148628038	0.154	1	
Alouatta vs Sediment	1	44620.27023872558	2.1396316236994877	0.14132653137676884	0.08	1	
Alouatta vs Skin	1	40869.48010776654	2.6659179274661713	0.1701731069835472	0.072	1	
Alouatta vs Plaque	1	29627.550453759894	1.1448017396461097	0.047414004554294134	0.3	1	
Homo vs Gut	1	111117.59888879713	4.985840616173115	0.06476308599435743	0.001	0.036000000000000004	.
Homo vs Sediment	1	172159.51998221243	7.466972340389033	0.10748953191454459	0.001	0.036000000000000004	.
Homo vs Skin	1	172617.78458753688	7.882841634922374	0.11280081706040845	0.001	0.036000000000000004	.
Homo vs Plaque	1	181913.1517428095	7.468986913232263	0.0939861850936546	0.001	0.036000000000000004	.
Gut vs Sediment	1	113513.81126121948	5.193503057139566	0.15646143307620855	0.002	0.07200000000000001	
Gut vs Skin	1	136229.91965268672	7.061378826399339	0.20140048859352044	0.002	0.07200000000000001	
Gut vs Plaque	1	58223.904964588444	2.363462507688152	0.05855450352501291	0.055	1	
Sediment vs Skin	1	89435.49306826793	4.4102042146302916	0.19679446793042302	0.012	0.432	
Sediment vs Plaque	1	46625.95042324058	1.7156020028408125	0.057734048352000446	0.125	1	
Skin vs Plaque	1	92374.12122601664	3.7530667309940546	0.11819540968402588	0.02	0.72	
