pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	423988.30881568784	5.129194742664657	0.10440217409487426	0.005	0.05	.
Pan vs Gorilla	1	658540.6329587954	6.51459104545611	0.23676859433213202	0.001	0.01	*
Pan vs Alouatta	1	461241.615059118	8.01945790155133	0.36419869814262495	0.001	0.01	*
Pan vs Homo	1	557013.49239387	6.244004221470659	0.09719201499248833	0.002	0.02	.
Control vs Gorilla	1	534029.0190676264	5.445994612154193	0.10795692807773609	0.001	0.01	*
Control vs Alouatta	1	250068.10064672676	3.070259621640124	0.07475627497670818	0.015	0.15	
Control vs Homo	1	501506.5380417569	5.509674070220541	0.06296074266942651	0.002	0.02	.
Gorilla vs Alouatta	1	155915.6295630691	1.4795061315261906	0.08977854795635017	0.182	1	
Gorilla vs Homo	1	153492.3929948998	1.5221308298616896	0.025149987434194377	0.17	1	
Alouatta vs Homo	1	131887.73315826707	1.4806130282726826	0.02768504219444815	0.158	1	
