pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	399920.81499408255	5.203275256183987	0.1521279823996747	0.002	0.07200000000000001	
Pan vs Gorilla	1	554281.744797176	6.363315954095064	0.11705165224778255	0.001	0.036000000000000004	.
Pan vs Alouatta	1	108241.21331966977	1.2716806215388112	0.05032038195572043	0.281	1	
Pan vs Homo	1	1192164.4765333037	13.11162287513846	0.1296747347367755	0.001	0.036000000000000004	.
Pan vs Gut	1	864108.9715446143	12.673950482959718	0.24526769028698803	0.001	0.036000000000000004	.
Pan vs Sediment	1	1900748.8599312596	17.12032474896816	0.37120997829381475	0.001	0.036000000000000004	.
Pan vs Skin	1	2798291.6775531615	25.743473274245165	0.47025648418907584	0.001	0.036000000000000004	.
Pan vs Plaque	1	1016136.9047435918	12.294858533055743	0.23968988090946028	0.001	0.036000000000000004	.
Control vs Gorilla	1	317683.72646731924	3.5638306135712363	0.08785734876771976	0.009	0.32399999999999995	
Control vs Alouatta	1	139805.28929032123	1.5668623589921324	0.10756347663468566	0.15	1	
Control vs Homo	1	357559.43270029925	3.8676927290636267	0.047827415356362556	0.003	0.108	
Control vs Gut	1	687455.7280692867	10.837298162154859	0.2790435657214513	0.001	0.036000000000000004	.
Control vs Sediment	1	1356761.5857267724	10.450888220965389	0.36733082425399133	0.002	0.07200000000000001	
Control vs Skin	1	1857520.6180621204	14.733037098938844	0.4500968564086119	0.001	0.036000000000000004	.
Control vs Plaque	1	801140.5361247752	9.584714167738776	0.25501628467793197	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	104370.7567880415	1.0731879153983273	0.032448880287668576	0.362	1	
Gorilla vs Homo	1	222039.15200558645	2.349975427841763	0.02389401133674825	0.042	1	
Gorilla vs Gut	1	370808.10178086086	4.674494553739802	0.09046038271121315	0.001	0.036000000000000004	.
Gorilla vs Sediment	1	1105221.7256420413	9.534522755787183	0.2048913836685139	0.001	0.036000000000000004	.
Gorilla vs Skin	1	2324351.7815768067	20.371810854777284	0.3550839785472964	0.001	0.036000000000000004	.
Gorilla vs Plaque	1	501875.7043159989	5.495150011707672	0.10467919437285392	0.001	0.036000000000000004	.
Alouatta vs Homo	1	166236.88062397976	1.726550481661155	0.023418300061259743	0.126	1	
Alouatta vs Gut	1	240503.72542570165	3.478908469897468	0.1313841344273108	0.014	0.504	
Alouatta vs Sediment	1	907139.130891115	5.483284846046914	0.2966618158903526	0.002	0.07200000000000001	
Alouatta vs Skin	1	1453141.8771181528	9.067789791690963	0.4109061159856252	0.004	0.14400000000000002	
Alouatta vs Plaque	1	350518.71639151056	3.7423154473499802	0.13993984382982153	0.003	0.108	
Homo vs Gut	1	420158.3974614919	4.842478239284471	0.05272590997237662	0.002	0.07200000000000001	
Homo vs Sediment	1	1299582.7474625444	12.34001609587428	0.1381241758746912	0.001	0.036000000000000004	.
Homo vs Skin	1	2574832.407138157	24.653868431601627	0.2425275969521034	0.001	0.036000000000000004	.
Homo vs Plaque	1	625064.659901846	6.703067672857735	0.07153519985343407	0.001	0.036000000000000004	.
Gut vs Sediment	1	820336.9755956882	8.30150460228033	0.22868210817242154	0.001	0.036000000000000004	.
Gut vs Skin	1	1788939.0218120208	18.555341425179773	0.3985652528185303	0.001	0.036000000000000004	.
Gut vs Plaque	1	78325.1262767944	1.0743102626007686	0.027494030102663745	0.349	1	
Sediment vs Skin	1	605524.4306482235	3.343226060149349	0.15664108372030966	0.027	0.972	
Sediment vs Plaque	1	579643.5958309921	4.872229528982856	0.14821719119133975	0.001	0.036000000000000004	.
Skin vs Plaque	1	1425103.2082090783	12.226139592025145	0.30393519527409446	0.001	0.036000000000000004	.
