pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	283093.902246379	6.501326627228417	0.09221566370805753	0.001	0.036000000000000004	.
Pan vs Gorilla	1	204180.12658996772	4.80718784726808	0.0910328317647154	0.006	0.216	
Pan vs Alouatta	1	52603.525216632515	1.4562238122256963	0.05720502078263175	0.222	1	
Pan vs Homo	1	435422.8061507589	10.550817874995978	0.10705966832643507	0.001	0.036000000000000004	.
Pan vs Gut	1	370155.9497979234	12.188125262147443	0.238104544749958	0.001	0.036000000000000004	.
Pan vs Sediment	1	678086.3126252558	14.150890164375854	0.32793970438316533	0.001	0.036000000000000004	.
Pan vs Skin	1	1068132.6207374886	23.42535722869715	0.44683257238492075	0.001	0.036000000000000004	.
Pan vs Plaque	1	407636.4222710515	10.84900792192874	0.2176373888708069	0.001	0.036000000000000004	.
Control vs Gorilla	1	215094.25175695482	4.435811637934499	0.05803315936443906	0.004	0.14400000000000002	
Control vs Alouatta	1	50761.3604376383	1.050453359190308	0.02141577268405595	0.355	1	
Control vs Homo	1	123451.70110899191	2.7194993126402087	0.02370564140302663	0.024	0.864	
Control vs Gut	1	255431.66921490713	6.102467022706249	0.08831040750977893	0.001	0.036000000000000004	.
Control vs Sediment	1	525769.0887255076	9.80432707283341	0.15610910155065352	0.001	0.036000000000000004	.
Control vs Skin	1	979815.2385934691	18.714389482533797	0.2609572446697288	0.001	0.036000000000000004	.
Control vs Plaque	1	308766.24127626873	6.666461172504662	0.09569111248521005	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	70866.18978049852	1.4430747382998752	0.04315018130337246	0.199	1	
Gorilla vs Homo	1	135202.32725954254	2.993290585269327	0.0302373076758269	0.017	0.6120000000000001	
Gorilla vs Gut	1	177308.00553869398	4.411746058385892	0.08581202539543552	0.002	0.07200000000000001	
Gorilla vs Sediment	1	367508.4811225408	6.493327322840748	0.14929479353562225	0.001	0.036000000000000004	.
Gorilla vs Skin	1	774895.0058548317	14.14591621211943	0.27657958366512636	0.001	0.036000000000000004	.
Gorilla vs Plaque	1	196929.6134730045	4.265567252227758	0.08320530681424179	0.002	0.07200000000000001	
Alouatta vs Homo	1	75902.50007727547	1.7270293285622165	0.023424642824896195	0.122	1	
Alouatta vs Gut	1	101205.37805086478	3.245848337938627	0.12367092486954297	0.008	0.28800000000000003	
Alouatta vs Sediment	1	348323.4587439957	4.909524753966394	0.2741292592300133	0.001	0.036000000000000004	.
Alouatta vs Skin	1	577892.8301940386	8.786451822654016	0.40329888933624686	0.003	0.108	
Alouatta vs Plaque	1	141745.11524484842	3.2664373126136628	0.12435783634216183	0.001	0.036000000000000004	.
Homo vs Gut	1	218193.1555546311	5.451911542098905	0.05897024140616414	0.001	0.036000000000000004	.
Homo vs Sediment	1	433686.79920990777	9.057063852433581	0.10524486250151631	0.001	0.036000000000000004	.
Homo vs Skin	1	894804.9824228385	19.034485099425865	0.1982046874070204	0.001	0.036000000000000004	.
Homo vs Plaque	1	258316.79262113982	5.972571509518562	0.06424014537348886	0.001	0.036000000000000004	.
Gut vs Sediment	1	367934.59400663833	8.309466528849988	0.22885124247825656	0.001	0.036000000000000004	.
Gut vs Skin	1	785863.3052745967	18.766850584391225	0.4012853196202782	0.001	0.036000000000000004	.
Gut vs Plaque	1	35826.493545797704	1.0348560134175628	0.026511075461937116	0.378	1	
Sediment vs Skin	1	250589.72483539613	3.2740326284922037	0.15389807309533352	0.025	0.9	
Sediment vs Plaque	1	260523.2073983155	4.796764775965493	0.14625725460215863	0.001	0.036000000000000004	.
Skin vs Plaque	1	631977.5611959216	12.174864747589519	0.3030468135756451	0.001	0.036000000000000004	.
