pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	327038.098311871	7.960180548613264	0.12847252022398153	0.001	0.036000000000000004	.
Pan vs Gorilla	1	108171.93927570523	3.1093597776620436	0.12896898990005315	0.036	1	
Pan vs Alouatta	1	206074.7121518874	6.902015487120715	0.33020813190831094	0.001	0.036000000000000004	.
Pan vs Homo	1	401764.90095225244	10.040893957498211	0.14757145847863584	0.001	0.036000000000000004	.
Pan vs Gut	1	398628.3752573747	11.799845463795796	0.2892129940606398	0.001	0.036000000000000004	.
Pan vs Sediment	1	404566.33887217916	12.813224253466664	0.40276408802136476	0.001	0.036000000000000004	.
Pan vs Skin	1	913638.2850621364	16.750550425690346	0.4685396511728502	0.001	0.036000000000000004	.
Pan vs Plaque	1	533030.5398498003	9.41935296157404	0.24517208738510024	0.001	0.036000000000000004	.
Control vs Gorilla	1	187954.2709951322	4.1224382007018265	0.06972713450530343	0.003	0.108	
Control vs Alouatta	1	76312.6211897907	1.6687627171999329	0.03359783143182772	0.131	1	
Control vs Homo	1	73082.76379733521	1.6407909828568574	0.017522182006741514	0.148	1	
Control vs Gut	1	153444.3355685796	3.506681837778717	0.052726759791326225	0.004	0.14400000000000002	
Control vs Sediment	1	288629.3021153915	6.435704526938602	0.10828010836519467	0.001	0.036000000000000004	.
Control vs Skin	1	750574.8284666651	14.139770679519641	0.21060201034962495	0.001	0.036000000000000004	.
Control vs Plaque	1	410973.97367272334	7.574737843342804	0.1073293089682701	0.001	0.036000000000000004	.
Gorilla vs Alouatta	1	76801.74495957381	1.6293074400926109	0.09797806949941969	0.195	1	
Gorilla vs Homo	1	197652.93556505276	4.468341122985798	0.07040267705007869	0.002	0.07200000000000001	
Gorilla vs Gut	1	159518.8915215497	3.771853941925378	0.11168631572348732	0.003	0.108	
Gorilla vs Sediment	1	236461.59231763586	5.3198836015866995	0.21010695330579338	0.001	0.036000000000000004	.
Gorilla vs Skin	1	523009.7917064134	7.892127536070896	0.2829517944037998	0.001	0.036000000000000004	.
Gorilla vs Plaque	1	279957.53165030293	4.351352076911544	0.12667193032661453	0.009	0.32399999999999995	
Alouatta vs Homo	1	57181.796183369705	1.2943595809513593	0.024286990051645044	0.257	1	
Alouatta vs Gut	1	74020.15489846669	1.7804735326389907	0.07184985913581853	0.136	1	
Alouatta vs Sediment	1	82543.33684385024	1.8616597124133507	0.12526593586706747	0.115	1	
Alouatta vs Skin	1	265713.4300704204	3.410534973877765	0.207825947131318	0.019	0.6839999999999999	
Alouatta vs Plaque	1	121907.14388287313	1.733380162219194	0.07008262319385572	0.154	1	
Homo vs Gut	1	153071.30060999407	3.587276525334104	0.050820441047142735	0.006	0.216	
Homo vs Sediment	1	315939.96648597246	7.2640220955727255	0.1130340408007727	0.001	0.036000000000000004	.
Homo vs Skin	1	765874.190377511	14.972998069003452	0.20803632571548886	0.001	0.036000000000000004	.
Homo vs Plaque	1	457449.7398120958	8.70635885124765	0.11500168523960347	0.001	0.036000000000000004	.
Gut vs Sediment	1	180519.64119460707	4.441242400038913	0.1369011194230214	0.003	0.108	
Gut vs Skin	1	430644.5102489969	7.658250525205959	0.21476798251200033	0.001	0.036000000000000004	.
Gut vs Plaque	1	146621.80359811021	2.556657769798791	0.063039163244429125	0.054	1	
Sediment vs Skin	1	392056.84780734824	5.906779958651659	0.24707551451378318	0.003	0.108	
Sediment vs Plaque	1	79487.13391656503	1.2368250806368446	0.04230367275604002	0.273	1	
Skin vs Plaque	1	341636.73095893057	4.278286917248045	0.13254380346194652	0.009	0.32399999999999995	
