pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
Pan vs Control	1	288155.452173853	5.917282031619556	0.118541751289089	0.001	0.01	*
Pan vs Gorilla	1	514430.5773169366	6.07850543087151	0.224477139123844	0.001	0.01	*
Pan vs Alouatta	1	360570.09480539797	6.0455727054320025	0.3015914184279583	0.001	0.01	*
Pan vs Homo	1	454122.7530331923	5.8517300140821416	0.0916455985263293	0.001	0.01	*
Control vs Gorilla	1	303719.0380963235	5.011554137868541	0.10020792643342016	0.001	0.01	*
Control vs Alouatta	1	271849.66172540514	5.787585626382787	0.13217412066893375	0.001	0.01	*
Control vs Homo	1	408569.922294161	6.146164161237184	0.06972696111874596	0.001	0.01	*
Gorilla vs Alouatta	1	154405.38554835247	1.6316428735018094	0.09810473240147594	0.114	1	
Gorilla vs Homo	1	171549.58257931788	1.990223522537713	0.0326318450333645	0.059	0.59	
Alouatta vs Homo	1	154072.22720305913	1.933661998728009	0.0358525997877469	0.055	0.55	
